task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
3,siena11,57/9233d7,nf-579233d713e36eb2e39734020cacd8e4-6663e,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1751161989276,1751161992000,1751162017000,27724,4000,-,2.2,0.0,2920448,11575296,2920448,11579392,691788,9274,249,18,28672,20480,2,0,/input/data/work/57/9233d713e36eb2e39734020cacd8e4,true,-
2,siena15,ec/dbda53,nf-ecdbda53a9137c8deb1293059a584b6b-f7a65,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1751161989096,1751161993000,1751162033000,43904,29000,-,65.7,1.4,2856787968,2877743104,2856787968,2877747200,916297843,25693118,112012,3154,0,25702400,17,673,/input/data/work/ec/dbda53a9137c8deb1293059a584b6b,true,-
1,siena09,6c/c0de1d,nf-6cc0de1d2b48e303a3510f478cde2f75-8a0c9,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1751161988827,1751161992000,1751162039000,50173,35000,-,36.4,0.0,5074944,12410880,5074944,12414976,3147404615,5945,48263,20,0,16384,246,2035,/input/data/work/6c/c0de1d2b48e303a3510f478cde2f75,true,-
214,siena15,bf/423886,nf-bf4238862e1aa6a6d693852d66d26715-9a724,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1751162055340,1751162056000,1751162057000,1660,0,-,70.9,0.0,2744320,11575296,2744320,11579392,103660,26539,197,23,4775936,20480,5,5,/input/data/work/bf/4238862e1aa6a6d693852d66d26715,true,-
44,siena07,66/a41143,nf-66a41143b27ed1724cf6cd94b2b0d383-06797,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162026293,1751162027000,1751162100000,73707,72000,-,93.3,0.2,475820032,3961610240,475820032,3962974208,670680372,1758068,1276180,5487,0,2224128,3,0,/input/data/work/66/a41143b27ed1724cf6cd94b2b0d383,true,-
61,siena11,a4/d6ce10,nf-a4d6ce1087282e863efd6058b07a8bf9-f494e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162027318,1751162028000,1751162096000,68682,67000,-,80.2,0.2,457609216,3893448704,457895936,3956367360,589143486,1729970,1116930,5483,4194304,2170880,10,9,/input/data/work/a4/d6ce1087282e863efd6058b07a8bf9,true,-
66,siena11,de/e81349,nf-dee81349e3689357366d23369fac76cc-173f1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162027515,1751162028000,1751162095000,67485,66000,-,80.0,0.2,402571264,3608883200,402628608,3675996160,569624319,1717381,1078806,5458,23396352,2162688,12,5,/input/data/work/de/e81349e3689357366d23369fac76cc,true,-
85,siena07,8e/3cbfd5,nf-8e3cbfd544641f3b808565401fe40f5f-bfe15,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162028529,1751162030000,1751162098000,69471,67000,-,88.4,0.2,438161408,3889254400,438521856,3889258496,599629062,1727111,1137409,5473,0,2170880,3,2,/input/data/work/8e/3cbfd544641f3b808565401fe40f5f,true,-
5,siena09,b3/a906c5,nf-b3a906c551a4073db8ebe59e15d20065-2f1b0,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162020009,1751162020000,1751162112000,91991,91000,-,90.1,0.2,403718144,3813367808,403783680,3880689664,836374125,1751057,1599743,5510,0,2297856,11,2,/input/data/work/b3/a906c551a4073db8ebe59e15d20065,true,-
7,siena11,70/3e2133,nf-703e21330e2d8ab2f3b54559ed62acc5-e13da,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162020376,1751162023000,1751162113000,92624,87000,-,80.8,0.2,476692480,3893448704,476966912,3956367360,770978279,1748396,1472020,5459,0,2310144,62,25,/input/data/work/70/3e21330e2d8ab2f3b54559ed62acc5,true,-
10,siena11,3e/07ef37,nf-3e07ef376a7a44ced4acac35f19f99d0-0a198,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162020703,1751162023000,1751162115000,94297,89000,-,82.0,0.2,410394624,3679141888,410394624,3679145984,807693876,1747923,1543727,5488,9179136,2289664,73,0,/input/data/work/3e/07ef376a7a44ced4acac35f19f99d0,true,-
57,siena15,fc/15cbb6,nf-fc15cbb62527b72ddf5c71d94740db43-e13d6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162027094,1751162028000,1751162114000,86906,85000,-,82.7,0.2,402624512,3608883200,402649088,3675996160,772928592,1735530,1475829,5511,5287936,2289664,11,12,/input/data/work/fc/15cbb62527b72ddf5c71d94740db43,true,-
45,siena11,e5/8cd4c7,nf-e58cd4c76c7030e5f66eabd6ec9ad677-fcf8d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162026502,1751162027000,1751162115000,88498,86000,-,82.0,0.2,401530880,3608883200,401530880,3675996160,780355745,1754314,1490333,5499,0,2306048,16,10,/input/data/work/e5/8cd4c76c7030e5f66eabd6ec9ad677,true,-
20,siena15,4a/76245b,nf-4a76245b9ef4c9482ff8cacc3ba5a086-6a2b8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162023198,1751162024000,1751162117000,93802,92000,-,82.8,0.2,427388928,3684769792,427634688,3715825664,827202166,1751194,1581828,5511,69632,2363392,11,7,/input/data/work/4a/76245b9ef4c9482ff8cacc3ba5a086,true,-
23,siena11,62/76772a,nf-6276772a7f7e7eb313b959fcb7f5610a-9b6e6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162024404,1751162025000,1751162125000,100596,98000,-,82.9,0.2,437792768,3889254400,437792768,3956367360,873396918,1762711,1672052,5531,0,2490368,11,2,/input/data/work/62/76772a7f7e7eb313b959fcb7f5610a,true,-
27,siena11,39/d080bf,nf-39d080bfcfbfabd9f983128524d30eff-e30ea,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162025016,1751162025000,1751162125000,99984,99000,-,82.8,0.2,422330368,3851386880,422330368,3851390976,907588171,1760365,1738836,5507,4198400,2449408,12,6,/input/data/work/39/d080bfcfbfabd9f983128524d30eff,true,-
33,siena11,a3/68c167,nf-a368c167831d033231d6accd35f93be6-cd6ed,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162025400,1751162026000,1751162120000,94600,92000,-,81.2,0.2,410345472,3747303424,410460160,3747307520,832689008,1754257,1592547,5513,0,2441216,11,10,/input/data/work/a3/68c167831d033231d6accd35f93be6,true,-
40,siena13,23/16a8c9,nf-2316a8c909b13a64a1e60d61535d7638-ac19e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162026105,1751162026000,1751162127000,100895,99000,-,69.9,0.2,402702336,3677044736,402702336,3678343168,741672743,1748842,1414778,5490,995328,2301952,11,8,/input/data/work/23/16a8c909b13a64a1e60d61535d7638,true,-
12,siena15,97/ddee63,nf-97ddee63b29b3b16f587bd4059e831ad-22e01,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751162021598,1751162022000,1751162132000,110402,108000,-,86.6,0.2,401514496,3677044736,401514496,3678408704,1042607169,1756182,2002541,5522,8658944,2453504,72,0,/input/data/work/97/ddee63b29b3b16f587bd4059e831ad,true,-
