cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena07,5c/9451e8,nf-5c9451e89a7f6af415ca71257a460f1b-1b6a1,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1754292333193,1754292334000,1754292336000,2807,0,-,48.4,0.0,10960896,33923072,10960896,37969920,691824,9278,251,19,0,20480,2,2,wow://input/data/work/5c/9451e89a7f6af415ca71257a460f1b,true,-
-,-,3,siena07,53/9d9db3,nf-539d9db333f52d856d634197cad50b90-1b6a1,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1754292333085,1754292333000,1754292345000,11915,11000,-,100.7,0.0,4947968,12410880,4947968,12414976,3147404685,5949,48265,21,0,16384,1,32,wow://input/data/work/53/9d9db333f52d856d634197cad50b90,true,-
-,-,214,siena07,a6/a6e14c,nf-a6a6e14cee89025587936db3581ea9bb-5f731,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1754292364912,1754292365000,1754292367000,2088,0,-,152.4,0.0,2736128,11575296,2736128,11579392,103690,26543,199,24,0,20480,1,0,wow://input/data/work/a6/a6e14cee89025587936db3581ea9bb,true,-
-,-,2,siena07,34/7524e9,nf-347524e9690a4156bc42738c5dbfdc52-1b6a1,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1754292332961,1754292333000,1754292377000,44039,42000,-,43.4,1.4,2899189760,2920431616,2899189760,2920435712,916297871,25693121,112014,3155,0,25702400,11,254,wow://input/data/work/34/7524e9690a4156bc42738c5dbfdc52,true,-
-,-,7,siena07,b6/56d47e,nf-b656d47e82db9c55345dde3a2867ad84-66dab,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754292343385,1754292344000,1754292421000,77615,75000,-,86.4,0.5,1041641472,4765052928,1041641472,4766416896,770945212,1748396,1472010,5502,0,2256896,3,0,wow://input/data/work/b6/56d47e82db9c55345dde3a2867ad84,true,-
-,-,4,siena13,13/7638b2,nf-137638b28adbddacd1d8444c6a9090bd-66dab,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754292343672,1754292345000,1754292428000,84328,81000,-,86.0,0.5,1036877824,4696891392,1036877824,4698255360,836341427,1751063,1599734,5511,180224,2199552,11,0,wow://input/data/work/13/7638b28adbddacd1d8444c6a9090bd,true,-
-,-,11,siena13,0d/5606ab,nf-0d5606abee930485b8798bdb03a149fd-f4fb9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754292344760,1754292345000,1754292426000,81240,66000,-,101.4,0.5,1041227776,4901376000,1042444288,4902969344,807661124,1747928,1543717,5509,0,2199552,6,3,wow://input/data/work/0d/5606abee930485b8798bdb03a149fd,true,-
-,-,15,siena07,49/920d18,nf-49920d18ef6ebbd39cef415ff2f865e2-9e469,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754292346161,1754292357000,1754292448000,101839,89000,-,97.3,0.5,1040289792,4765052928,1040289792,4766416896,1042607225,1756184,2002541,5502,0,2338816,3,1,wow://input/data/work/49/920d18ef6ebbd39cef415ff2f865e2,true,-
-,-,12,siena11,2c/6dcc6c,nf-2c6dcc6c6a9716f63ddba12420109170-c4073,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754292345585,1754292346000,1754292435000,89415,73000,-,105.9,0.5,1040769024,4901376000,1040781312,4902969344,942087841,1753535,1806272,5513,0,2215936,5,0,wow://input/data/work/2c/6dcc6c6a9716f63ddba12420109170,true,-
-,-,9,siena11,9a/60ea78,nf-9a60ea7866b3b37b462d450924ccb4b9-b332a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754292345057,1754292346000,1754292460000,114943,100000,-,101.7,0.5,1041293312,4765052928,1041428480,4766416896,1241574191,1747022,2391147,5484,0,2310144,6,4,wow://input/data/work/9a/60ea7866b3b37b462d450924ccb4b9,true,-
