cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena07,c3/d6ea5a,nf-c3d6ea5a11f0a7280c979a9445caf286-ec66d,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1760937090144,1760937090000,1760937093000,2856,0,-,52.7,0.0,9449472,32706560,9449472,32710656,691358,9270,250,19,9224192,20480,33,1,wow://input/data/work/c3/d6ea5a11f0a7280c979a9445caf286,true,-
-,2,siena07,53/692436,nf-5369243679238a9cb3d60c5ec1a8bead-ec66d,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1760937090286,1760937091000,1760937103000,12714,11000,-,91.6,0.0,4825088,12410880,4825088,12414976,3147404219,5940,48264,21,839680,16384,8,105,wow://input/data/work/53/69243679238a9cb3d60c5ec1a8bead,true,-
-,214,siena13,a6/587234,nf-a658723431813bb8802927d8e3bd6912-dd623,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1760937126037,1760937128000,1760937132000,5963,1000,-,4.5,0.0,2895872,11575296,2895872,11579392,103207,26531,198,24,921600,20480,3,2,wow://input/data/work/a6/58723431813bb8802927d8e3bd6912,true,-
-,3,siena07,5d/01572c,nf-5d01572cedfe2e7a621ee9734a6c89dd-ec66d,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1760937090360,1760937091000,1760937145000,54640,52000,-,38.6,1.4,2890178560,2911510528,2890178560,2911514624,916297407,25693113,112013,3155,2322432,25702400,185,5328,wow://input/data/work/5d/01572cedfe2e7a621ee9734a6c89dd,true,-
-,39,siena13,0e/657fce,nf-0e657fce761a2a5d187b221ef6bed86d-af655,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760937107154,1760937108000,1760937184000,76846,72000,-,97.5,0.2,484634624,3893448704,487960576,3956367360,741640111,1748828,1414774,5512,46690304,2248704,95,0,wow://input/data/work/0e/657fce761a2a5d187b221ef6bed86d,true,-
-,58,siena14,c6/74053d,nf-c674053de8db8a244674c144512041c6-75584,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760937109125,1760937112000,1760937184000,74875,70000,-,74.9,0.2,402702336,3745206272,402702336,3812319232,601056356,1719625,1140198,5470,33542144,2179072,124,7,wow://input/data/work/c6/74053de8db8a244674c144512041c6,true,-
-,61,siena14,56/ff5892,nf-56ff589293cadab0e594dbb3cfc2d20b-4aa33,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760937109484,1760937113000,1760937185000,75516,61000,-,82.5,0.2,400334848,3608883200,400334848,3676262400,555674174,1718983,1051562,5446,0,2162688,6,3,wow://input/data/work/56/ff589293cadab0e594dbb3cfc2d20b,true,-
-,43,siena07,f6/fd97c3,nf-f6fd97c3f406e82823bf4a56e803bc3e-f8d60,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760937107672,1760937108000,1760937194000,86328,83000,-,78.0,0.2,407859200,3815464960,407859200,3815469056,670713558,1758064,1276191,5509,19558400,2269184,3,0,wow://input/data/work/f6/fd97c3f406e82823bf4a56e803bc3e,true,-
-,45,siena13,5e/dd12ef,nf-5edd12eff828cc86e8dda27a032e3c8e-28048,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760937107780,1760937110000,1760937197000,89220,73000,-,100.0,0.2,433569792,3889254400,435441664,3956367360,780323158,1754309,1490326,5500,0,2273280,6,2,wow://input/data/work/5e/dd12eff828cc86e8dda27a032e3c8e,true,-
-,7,siena07,54/f0bac1,nf-54f0bac14b4b9550db3774e089d42a9b-cf997,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760937100127,1760937102000,1760937204000,103873,100000,-,73.4,0.2,404430848,3813367808,404430848,3814961152,770978536,1748389,1472020,5523,0,2330624,3,0,wow://input/data/work/54/f0bac14b4b9550db3774e089d42a9b,true,-
