cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena07,67/a2fc20,nf-67a2fc20e020174cf77bbf376ab4c85a-7a360,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1768761168549,1768761169000,1768761172000,3451,0,-,44.9,0.0,9068544,32444416,9068544,32448512,691833,9278,251,19,5324800,20480,39,0,wow://input/data/work/67/a2fc20e020174cf77bbf376ab4c85a,true,-
-,2,siena07,08/0b6bde,nf-080b6bde64816e0ad6315459cae33cc6-7a360,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1768761168690,1768761169000,1768761180000,11310,10000,-,100.3,0.0,6483968,12410880,6483968,12414976,3147404695,5949,48265,21,8241152,16384,24,40,wow://input/data/work/08/0b6bde64816e0ad6315459cae33cc6,true,-
-,187,siena07,48/a5b90e,nf-48a5b90e037d2713577787e2c467e076-51951,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1768761197372,1768761198000,1768761200000,2628,0,-,51.1,0.0,3821568,16461824,3821568,16465920,103698,26542,199,24,8404992,20480,3,0,wow://input/data/work/48/a5b90e037d2713577787e2c467e076,true,-
-,3,siena07,85/2bd4da,nf-852bd4da65d054eb1c79d10748678334-7a360,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1768761168895,1768761169000,1768761208000,39105,37000,-,49.8,1.4,2896920576,2918125568,2896920576,2918129664,916297880,25693121,112014,3155,2359296,25702400,44,255,wow://input/data/work/85/2bd4da65d054eb1c79d10748678334,true,-
-,7,siena07,fc/41aa9f,nf-fc41aa9f8f7b7abd1c6526fb15360ef7-32f5e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768761178572,1768761179000,1768761255000,76428,74000,-,89.8,0.5,1041317888,4696891392,1042333696,4764004352,770945481,1748399,1472011,5481,51154944,2256896,114,1,wow://input/data/work/fc/41aa9f8f7b7abd1c6526fb15360ef7,true,-
-,11,siena13,56/9b8259,nf-569b82592f7b445751335510a359eb09-b4fea,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768761180049,1768761200000,1768761276000,95951,74000,-,104.7,0.5,1038651392,4833214464,1039216640,4900327424,942087588,1753535,1806272,5492,19771392,2220032,6,0,wow://input/data/work/56/9b82592f7b445751335510a359eb09,true,-
-,17,siena07,61/c400ca,nf-61c400ca6444e36081c0daa78cf68cc5-66417,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768761181349,1768761183000,1768761274000,92651,89000,-,95.2,0.5,1040928768,4765052928,1040928768,4766638080,1006924850,1751386,1932853,5496,4096,2338816,3,0,wow://input/data/work/61/c400ca6444e36081c0daa78cf68cc5,true,-
-,4,siena09,59/b40fa7,nf-59b40fa7dc69d520e280a12a2a42375c-62c41,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768761178875,1768761216000,1768761284000,105125,66000,-,105.2,0.5,1038614528,4765052928,1038614528,4766351360,836341122,1751062,1599735,5490,0,2183168,5,3,wow://input/data/work/59/b40fa7dc69d520e280a12a2a42375c,true,-
-,10,siena09,a2/39c6d9,nf-a239c6d9c7eda83eadad84c2bb458bd7-5641a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768761179076,1768761216000,1768761284000,104924,66000,-,105.8,0.5,1040400384,4901376000,1040400384,4902739968,807660817,1747928,1543719,5531,51580928,2179072,121,4,wow://input/data/work/a2/39c6d9c7eda83eadad84c2bb458bd7,true,-
-,13,siena11,4c/565382,nf-4c5653823bde8f4809ac7a7dbd45427d-29cec,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768761180377,1768761217000,1768761286000,105623,67000,-,103.8,0.6,1131159552,4981456896,1136603136,5042278400,821982477,1746351,1571691,5485,19726336,2179072,5,1,wow://input/data/work/4c/5653823bde8f4809ac7a7dbd45427d,true,-
