cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena07,86/d68b9a,nf-86d68b9a02a8ad7c279080a9d9c97c2a-e8278,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1760927576134,1760927577000,1760927579000,2866,0,-,38.7,0.0,10850304,34185216,10850304,37969920,691293,9268,250,19,8192,20480,2,1,wow://input/data/work/86/d68b9a02a8ad7c279080a9d9c97c2a,true,-
-,1,siena07,f5/8b26b5,nf-f58b26b55cd3249e4bc73d646d041931-7cfea,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1760927576557,1760927577000,1760927588000,11443,11000,-,92.0,0.0,4857856,12410880,4857856,12414976,3147404156,5938,48264,21,0,16384,1,103,wow://input/data/work/f5/8b26b55cd3249e4bc73d646d041931,true,-
-,2,siena07,14/f7be51,nf-14f7be51fc4a97db9c49c7ff056a1205-1eaf2,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1760927576357,1760927577000,1760927598000,21643,19000,-,96.4,1.4,2854371328,2875572224,2854371328,2875576320,916297344,25693111,112013,3155,2322432,25702400,35,159,wow://input/data/work/14/f7be51fc4a97db9c49c7ff056a1205,true,-
-,185,siena09,5f/c6e57d,nf-5fc6e57d2c7ec9d17d2b33de209ccef0-e98c9,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1760927608102,1760927610000,1760927614000,5898,1000,-,37.5,0.0,2883584,11575296,2883584,11579392,103124,26532,198,24,1155072,20480,1,1,wow://input/data/work/5f/c6e57d2c7ec9d17d2b33de209ccef0,true,-
-,67,siena15,ee/b7d284,nf-eeb7d2847446b21ba48f73b4b565c083-f4ab9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760927596154,1760927599000,1760927655000,58846,53000,-,102.1,0.2,442781696,3821092864,442781696,3821096960,555674332,1718982,1051562,5446,19996672,2134016,11,2,wow://input/data/work/ee/b7d2847446b21ba48f73b4b565c083,true,-
-,70,siena15,c2/f20b49,nf-c2f20b49f52bc8c0d205b982b1c42a77-b9359,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760927596365,1760927600000,1760927659000,62635,57000,-,100.6,0.2,472866816,3961610240,472866816,3963011072,591770389,1719331,1122063,5461,12709888,2170880,92,7,wow://input/data/work/c2/f20b49f52bc8c0d205b982b1c42a77,true,-
-,86,siena12,97/049b4c,nf-97049b4c257cc5ab3e57159031a1f080-dc06b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760927598750,1760927601000,1760927662000,63250,59000,-,100.3,0.2,400576512,3677044736,401166336,3678408704,599628134,1727105,1137408,5474,30232576,2134016,72,12,wow://input/data/work/97/049b4c257cc5ab3e57159031a1f080,true,-
-,41,siena13,25/995f96,nf-25995f96ded61f137c75ba86e4ab78f5-103d3,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760927592760,1760927595000,1760927671000,78240,70000,-,102.6,0.2,401694720,3745206272,401879040,3812319232,741640041,1748828,1414774,5470,6578176,2232320,68,2,wow://input/data/work/25/995f96ded61f137c75ba86e4ab78f5,true,-
-,44,siena14,4b/005586,nf-4b005586f1a390f919b66662c56c06e5-17a9e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760927593266,1760927594000,1760927665000,71734,64000,-,101.9,0.2,401973248,3677044736,401973248,3678343168,670680637,1758064,1276182,5509,12382208,2199552,6,2,wow://input/data/work/4b/005586f1a390f919b66662c56c06e5,true,-
-,54,siena14,86/5c5d7e,nf-865c5d7e4b99e0b7b57c6f8896f58edb-815f6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1760927594367,1760927597000,1760927669000,74633,63000,-,96.1,0.2,442286080,3821092864,442286080,3888205824,610684217,1723923,1159003,5449,4194304,2224128,5,4,wow://input/data/work/86/5c5d7e4b99e0b7b57c6f8896f58edb,true,-
