cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena09,80/10eca6,nf-8010eca6a23e3fc0fe1d02246df63998-c281a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,10,14400000,-,6442450944,1,1761151780646,1761151784000,1761151859000,78354,67408,-,940.3,0.0,38727680,45506560,40574976,47493120,8166026333,39034592,2685495,38972,5959680,36167680,4560,648,/input/data/work/80/10eca6a23e3fc0fe1d02246df63998,true,-
-,-,1,siena07,c4/f1e161,nf-c4f1e1611a2b51cbcf1a95dfe50fafbe-c281a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,2,14400000,-,21474836480,1,1761151780542,1761151781000,1761152667000,886458,885669,-,194.8,0.0,357908480,15260262400,359755776,15336636416,8254167783,59805309,2849539,51003,4710400,63111168,11597,2199,/input/data/work/c4/f1e1611a2b51cbcf1a95dfe50fafbe,true,-
-,-,24,siena13,56/8aee41,nf-568aee41ddb8ec741017ff46261e40ff-99fb3,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761152674333,1761152675000,1761152729000,54667,53226,-,128.6,1.5,3131863040,3506995200,3131863040,3507044352,563321885,5520,58758,29,4194304,28672,166,155,/input/data/work/56/8aee41ddb8ec741017ff46261e40ff,true,-
-,-,36,siena07,8a/da95d6,nf-8ada95d69de2007d0f50883cc6e12a71-837fd,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860619_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860619_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761152675634,1761152676000,1761152730000,54366,53745,-,129.3,1.6,3144081408,3650048000,3225182208,3650097152,523829120,5520,55929,29,0,28672,2713,9686,/input/data/work/8a/da95d69de2007d0f50883cc6e12a71,true,-
-,-,35,siena12,87/d7112f,nf-87d7112f7c29707a0eed12a3bb6f9a63-d967a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850413_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850413_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761152675534,1761152676000,1761152736000,60466,59675,-,120.8,1.5,3011874816,3416526848,3249463296,3654221824,557563709,5520,56585,29,0,28672,155,220,/input/data/work/87/d7112f7c29707a0eed12a3bb6f9a63,true,-
-,-,45,siena13,18/188b1f,nf-18188b1f299d3467c3b399eac31270e5-61183,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860502_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860502_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761152676730,1761152677000,1761152732000,55270,54180,-,127.7,1.4,2832281600,3448389632,3163058176,3626672128,484660246,5520,54074,29,4194304,28672,150,136,/input/data/work/18/188b1f299d3467c3b399eac31270e5,true,-
-,-,51,siena07,fa/6a5c8d,nf-fa6a5c8dadf88c4de1ce4cd84fb3d48c-07d3e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860705_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860705_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761152677232,1761152677000,1761152732000,54768,53490,-,133.9,1.5,2991403008,3399786496,3229442048,3637829632,534014864,5520,55997,29,0,28672,66,153,/input/data/work/fa/6a5c8dadf88c4de1ce4cd84fb3d48c,true,-
-,-,19,siena15,bb/4db35b,nf-bb4db35bde8e884b9a3c2cc134c3f5a0-9199e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761152673839,1761152674000,1761152740000,66161,65022,-,103.3,1.5,3115266048,3488428032,3115266048,3488477184,580802006,5520,58721,29,4194304,28672,191,161,/input/data/work/bb/4db35bde8e884b9a3c2cc134c3f5a0,true,-
-,-,34,siena11,5d/178684,nf-5d1786847d82f655351c8c7fe60fd3b1-6bbb7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850107_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850107_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761152675444,1761152683000,1761152747000,71556,63579,-,105.0,1.5,2974248960,3397427200,3212009472,3635417088,539178692,5520,56777,29,1384448,28672,181,154,/input/data/work/5d/1786847d82f655351c8c7fe60fd3b1,true,-
-,-,50,siena09,11/705d9b,nf-11705d9bfcc6ff5e9831cc47e7c0488a-07d3e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860416_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860416_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761152677332,1761152681000,1761152742000,64668,58575,-,118.2,1.4,2799353856,3298373632,3227557888,3602395136,531642990,5520,54357,29,16384,28672,98,103,/input/data/work/11/705d9bfcc6ff5e9831cc47e7c0488a,true,-
