cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena09,ad/133c80,nf-ad133c805c9e61b7cab9539229905c32-5c053,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,10,14400000,-,6442450944,1,1761163309958,1761163317000,1761163393000,83042,67527,-,940.0,0.0,67420160,168587264,67428352,168636416,8165804578,39001732,2685200,38956,12718080,36253696,5000,647,/input/data/work/ad/133c805c9e61b7cab9539229905c32,true,-
-,-,2,siena07,e0/4b1c55,nf-e04b1c553bca136acf4514812ccf4866-5c053,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,2,14400000,-,21474836480,1,1761163309831,1761163310000,1761164193000,883169,883083,-,194.8,0.0,498716672,22830387200,516251648,23011921920,8254836102,59854599,2850050,51027,6172672,63504384,10800,2079,/input/data/work/e0/4b1c553bca136acf4514812ccf4866,true,-
-,-,19,siena14,dd/db5cd8,nf-dddb5cd829ee8f7c5de5a14d34fa22e7-d2479,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761164197542,1761164200000,1761164253000,55458,51885,-,129.1,1.5,3115233280,3488423936,3115233280,3488473088,580802032,5520,58721,29,16384,28672,155,158,/input/data/work/dd/db5cd829ee8f7c5de5a14d34fa22e7,true,-
-,-,36,siena07,50/178bea,nf-50178bea38d35a17f78452c0b5ccda9a-52795,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860619_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860619_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761164199439,1761164200000,1761164255000,55561,54980,-,132.7,1.5,2986926080,3411783680,3225145344,3650097152,523829132,5520,55929,29,0,28672,4119,2653,/input/data/work/50/178bea38d35a17f78452c0b5ccda9a,true,-
-,-,35,siena12,0c/ebe5bc,nf-0cebe5bc354db08d5d30e5e6216619da-28aaf,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850413_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850413_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761164199345,1761164202000,1761164263000,63655,60545,-,117.1,1.6,3249369088,3654168576,3249369088,3654217728,557563714,5520,56585,29,0,28672,126,308,/input/data/work/0c/ebe5bc354db08d5d30e5e6216619da,true,-
-,-,45,siena13,f8/ca5645,nf-f8ca564565b7ddd486d36e24d818182d-af794,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860502_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860502_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761164200643,1761164205000,1761164260000,59357,53874,-,127.4,1.4,2926125056,3388973056,3163607040,3626668032,484660250,5520,54074,29,1159168,28672,129,350,/input/data/work/f8/ca564565b7ddd486d36e24d818182d,true,-
-,-,50,siena07,3e/264522,nf-3e2645220e73c59cf37058f7544d14ed-ac4b7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860416_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860416_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761164201254,1761164202000,1761164252000,50746,49682,-,142.6,1.6,3225096192,3598069760,3225096192,3602399232,531643026,5520,54357,29,0,28672,3526,2090,/input/data/work/3e/2645220e73c59cf37058f7544d14ed,true,-
-,-,54,siena14,08/2d1906,nf-082d1906a8b5b3cc7c0013cf1b9e4229-11360,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19861110_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19861110_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761164201824,1761164203000,1761164254000,52176,49476,-,130.2,1.6,3236020224,3630391296,3236020224,3630440448,519004803,5520,56028,29,0,28672,79,96,/input/data/work/08/2d1906a8b5b3cc7c0013cf1b9e4229,true,-
-,-,24,siena09,3b/1710f7,nf-3b1710f795634931e42e84ffaf266a83-d5f05,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761164198143,1761164211000,1761164268000,69857,55810,-,123.2,1.5,3131752448,3506995200,3131752448,3507044352,563321875,5520,58758,29,0,28672,63,100,/input/data/work/3b/1710f795634931e42e84ffaf266a83,true,-
-,-,34,siena11,08/2a60be,nf-082a60be427fa89f75c81abfadf43339-a28af,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850107_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850107_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761164199241,1761164202000,1761164269000,69759,65783,-,107.2,1.6,3212009472,3635367936,3212009472,3635417088,539178696,5520,56777,29,0,28672,159,174,/input/data/work/08/2a60be427fa89f75c81abfadf43339,true,-
