cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena07,8a/f5549f,nf-8af5549f9f16109b11e1e2bf777e4936-b2d13,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,10,14400000,-,6442450944,1,1754384104569,1754384105000,1754384177000,72431,67069,-,947.1,0.0,42053632,49733632,43900928,51765248,8166525696,39050952,2685742,38980,4403200,36089856,4393,994,wow://input/data/work/8a/f5549f9f16109b11e1e2bf777e4936,true,-
-,-,2,siena07,92/fb260d,nf-92fb260d559d16b5225236c4473dd8d1-b2d13,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,2,14400000,-,21474836480,1,1754384104370,1754384105000,1754385034000,929630,928163,-,195.0,0.0,333156352,14946361344,354848768,15369465856,8253199162,59805311,2849321,51003,8192,63340544,11595,2087,wow://input/data/work/92/fb260d559d16b5225236c4473dd8d1,true,-
-,-,19,siena09,7a/6f434a,nf-7a6f434a00fb3a6d2ff78b0218a62b75-e7048,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1754385041189,1754385044000,1754385103000,61811,58479,-,114.8,1.4,2892931072,3265712128,3115503616,3488477184,580802214,5521,58721,29,0,28672,168,142,wow://input/data/work/7a/6f434a00fb3a6d2ff78b0218a62b75,true,-
-,-,35,siena14,f6/adc1c2,nf-f6adc1c20d7c7427b848c01739bd9ab5-41668,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850413_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850413_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1754385043778,1754385044000,1754385101000,57222,55922,-,125.3,1.6,3250163712,3654168576,3250163712,3654217728,557563996,5523,56585,29,61440,28672,166,191,wow://input/data/work/f6/adc1c20d7c7427b848c01739bd9ab5,true,-
-,-,45,siena14,28/ae1593,nf-28ae1593d841a0618248d5ba0984bb50-c2cae,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860502_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860502_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1754385045658,1754385050000,1754385101000,55342,49817,-,139.2,1.4,2832842752,3330793472,3163697152,3626672128,484660532,5523,54074,29,0,28672,87,91,wow://input/data/work/28/ae1593d841a0618248d5ba0984bb50,true,-
-,-,24,siena09,13/c3a1ab,nf-13c3a1abc69c9c8e89f7fad2be4d4bf2-6c4b7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1754385041792,1754385044000,1754385105000,63208,58745,-,116.9,1.4,2909450240,3284279296,3132186624,3507044352,563322079,5521,58758,29,0,28672,139,134,wow://input/data/work/13/c3a1abc69c9c8e89f7fad2be4d4bf2,true,-
-,-,34,siena13,a8/3967b0,nf-a83967b05559d0341b36027648c49f1d-8619c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850107_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850107_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1754385043396,1754385045000,1754385106000,62604,59162,-,116.9,1.5,2956353536,3456905216,3212169216,3635408896,539178990,5523,56777,29,0,28672,156,196,wow://input/data/work/a8/3967b05559d0341b36027648c49f1d,true,-
-,-,36,siena13,fc/874616,nf-fc87461696d21839440fef8f8a4214fa-41668,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860619_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860619_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1754385043581,1754385046000,1754385107000,63419,59960,-,117.2,1.6,3186671616,3565686784,3225088000,3650093056,523829394,5523,55929,29,0,28672,118,115,wow://input/data/work/fc/87461696d21839440fef8f8a4214fa,true,-
-,-,51,siena15,27/1c4800,nf-271c4800f825f79f76b3641dd7b6fce5-0ae6c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860705_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860705_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1754385046524,1754385049000,1754385107000,60476,57380,-,120.3,1.6,3229118464,3637776384,3229118464,3637825536,534015025,5521,55997,29,4194304,28672,211,471,wow://input/data/work/27/1c4800f825f79f76b3641dd7b6fce5,true,-
-,-,50,siena15,ed/a44350,nf-eda44350e5bee64382cf1e3a3cda14af-8254b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860416_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860416_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1754385046608,1754385050000,1754385107000,60392,55179,-,123.5,1.6,3224592384,3598069760,3224592384,3602399232,531643175,5521,54357,29,0,28672,72,94,wow://input/data/work/ed/a44350e5bee64382cf1e3a3cda14af,true,-
