task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,siena07,c1/39b979,nf-c139b979c73e22b817219263834cbcba-30977,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1755172571161,1755172571000,1755173342000,770839,765234,-,97.9,0.0,162250752,7612923904,164102144,7668871168,8166631427,39100241,2686344,39003,39260160,38916096,4095,2229,wow://input/data/work/c1/39b979c73e22b817219263834cbcba,true,-,-,-,15,286
2,siena07,0c/fd8903,nf-0cfd890314f7df7df4190d5294a8b94a-30977,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1755172570777,1755172571000,1755174472000,1901223,1900679,-,99.2,0.0,71323648,172802048,71331840,172851200,8241745715,55779978,2818427,49042,32010240,57757696,11119,2765,wow://input/data/work/0c/fd890314f7df7df4190d5294a8b94a,true,-,-,-,120,618
8,siena09,06/4023d2,nf-064023d248365394806046ec0272fd14-554ba,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1755174476576,1755174477000,1755174601000,124424,123471,-,131.5,1.6,3281027072,3717922816,3281027072,3717971968,603556796,5522,59088,28,34938880,28672,677,256,wow://input/data/work/06/4023d248365394806046ec0272fd14,true,-,-,-,6,104
4,siena07,b4/5a2626,nf-b45a2626b227c76831dafb217da6a0ba-5c8e4,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860427_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860427_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1755174476060,1755174476000,1755174633000,156940,156266,-,132.6,1.6,3276341248,3625824256,3276341248,3625873408,592914651,5522,58986,28,569344,28672,134,505,wow://input/data/work/b4/5a2626b227c76831dafb217da6a0ba,true,-,-,-,10,186
408,siena09,a0/f7b5cc,nf-a0f7b5cc2074fcac1ed8d604689db0b7-8656f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203033_19840731_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203033_19840731_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1755174510700,1755174604000,1755174698000,187300,93255,-,163.5,1.5,3128942592,3649912832,3160768512,3649961984,406202773,5522,34523,28,0,28672,89,282,wow://input/data/work/a0/f7b5cc2074fcac1ed8d604689db0b7,true,-,-,-,5,19
5,siena09,91/05c596,nf-9105c5960c36205c8f22036776dbdd69-46488,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850814_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850814_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1755174476176,1755174477000,1755174739000,262824,261296,-,186.2,2.2,4493225984,8845135872,4493225984,8845185024,592854135,406674266,61896,13699,32079872,408215552,1559,655,wow://input/data/work/91/05c5960c36205c8f22036776dbdd69,true,-,-,-,11,104
6,siena14,8b/aff0d0,nf-8baff0d090c777fbf4e6b779ca600aa8-64095,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860716_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860716_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1755174476359,1755174477000,1755174739000,262641,261188,-,184.9,2.2,4496736256,8850735104,4496736256,8850784256,590618237,403648005,61910,13606,59322368,405204992,1457,618,wow://input/data/work/8b/aff0d090c777fbf4e6b779ca600aa8,true,-,-,-,7,175
11,siena14,a9/8371f1,nf-a98371f170fb173574af83810f42a334-8dd7b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850830_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850830_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1755174476783,1755174477000,1755174738000,261217,260193,-,186.2,2.2,4497825792,8851521536,4497825792,8851570688,582313182,393298151,61984,13319,8470528,394878976,1692,623,wow://input/data/work/a9/8371f170fb173574af83810f42a334,true,-,-,-,7,19
15,siena12,52/68dd89,nf-5268dd89be550dd49dcd49830eccd5da-60036,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840710_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840710_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1755174477463,1755174478000,1755174736000,258537,258147,-,185.4,2.2,4450004992,8791711744,4450004992,8791760896,579842371,382950519,61885,12963,65871872,384462848,2922,614,wow://input/data/work/52/68dd89be550dd49dcd49830eccd5da,true,-,-,-,6,99
13,siena15,ed/63a472,nf-ed63a472f5634ed637812de1327fdade-89f9e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19841030_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19841030_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1755174477170,1755174477000,1755174747000,269830,268931,-,183.4,2.2,4501102592,8853803008,4501102592,8853852160,571867073,388814958,61743,13103,68530176,390275072,2505,638,wow://input/data/work/ed/63a472f5634ed637812de1327fdade,true,-,-,-,5,101
