cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena07,e8/6a7c9a,nf-e86a7c9ae867157b28ebabe91097938e-d7720,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,10,14400000,-,6442450944,1,1761144887730,1761144888000,1761144962000,74270,67526,-,946.2,0.0,42254336,49733632,44036096,51765248,8166419787,38968872,2685143,38940,4595712,35434496,5053,1551,wow://input/data/work/e8/6a7c9ae867157b28ebabe91097938e,true,-
-,1,siena07,f5/8426a3,nf-f58426a3bd6579d1c81d79427c82fdc4-d7720,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,2,14400000,-,21474836480,1,1761144887851,1761144888000,1761145775000,887149,887005,-,194.9,0.0,347332608,15250538496,354295808,15332360192,8254095571,59756091,2849149,50979,8192,63250432,12267,2124,wow://input/data/work/f5/8426a3bd6579d1c81d79427c82fdc4,true,-
-,19,siena14,ce/b4f4ba,nf-ceb4f4ba8df47c4c77670316d8da06f0-4c2b7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761145779663,1761145784000,1761145834000,54337,48665,-,137.6,1.4,2892062720,3265712128,3114639360,3488477184,580802031,5520,58721,29,24576,28672,86,113,wow://input/data/work/ce/b4f4ba8df47c4c77670316d8da06f0,true,-
-,24,siena09,07/ffb951,nf-07ffb951546390761293a719bae62d27-bf36f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761145780565,1761145784000,1761145837000,56435,52793,-,127.0,1.5,3131822080,3506995200,3131822080,3507044352,563321873,5520,58758,29,0,28672,91,97,wow://input/data/work/07/ffb951546390761293a719bae62d27,true,-
-,34,siena13,55/0d8444,nf-550d8444053abff8b6c6f160ce87b94b-f8b07,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850107_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850107_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761145782410,1761145784000,1761145840000,57590,53580,-,129.7,1.5,2973655040,3397423104,3211419648,3635412992,539178702,5520,56777,29,4194304,28672,148,177,wow://input/data/work/55/0d8444053abff8b6c6f160ce87b94b,true,-
-,35,siena13,bd/ddd0f3,nf-bdddd0f311b019735ccc37756d0fa851-360f0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850413_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850413_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761145782678,1761145784000,1761145841000,58322,55812,-,127.3,1.6,3248943104,3654172672,3248943104,3654221824,557563706,5520,56585,29,0,28672,136,136,wow://input/data/work/bd/ddd0f311b019735ccc37756d0fa851,true,-
-,36,siena13,21/237aa9,nf-21237aa91df5a640f0d21130d4fdcfa0-946d6,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860619_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860619_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761145782890,1761145785000,1761145841000,58110,54436,-,129.7,1.5,2986213376,3411783680,3224428544,3650097152,523829104,5520,55929,29,4194304,28672,135,160,wow://input/data/work/21/237aa91df5a640f0d21130d4fdcfa0,true,-
-,45,siena14,ab/0f0c79,nf-ab0f0c79cdbb57a19f1cd453115ff23c-a0cce,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860502_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860502_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761145784968,1761145787000,1761145841000,56032,52784,-,130.4,1.6,3163574272,3626627072,3163574272,3626676224,484660256,5520,54074,29,4194304,28672,123,152,wow://input/data/work/ab/0f0c79cdbb57a19f1cd453115ff23c,true,-
-,50,siena15,b6/4bdc13,nf-b64bdc13a515d62a67487807c44e7fca-d6910,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860416_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860416_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761145785690,1761145787000,1761145846000,60310,57027,-,120.7,1.5,3008765952,3419832320,3227623424,3602395136,531642984,5520,54357,29,0,28672,146,136,wow://input/data/work/b6/4bdc13a515d62a67487807c44e7fca,true,-
-,51,siena15,7c/416825,nf-7c416825ba43c4c4c5ecd651ee55a241-d6910,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860705_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860705_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761145785912,1761145788000,1761145848000,62088,58668,-,118.9,1.5,2990829568,3399778304,3228868608,3637821440,534014834,5520,55997,29,0,28672,99,156,wow://input/data/work/7c/416825ba43c4c4c5ecd651ee55a241,true,-
