cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena07,6f/4ab385,nf-6f4ab385de72a856ca21c0d07a53cade-df74e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,10,14400000,-,6442450944,1,1761138113224,1761138113000,1761138188000,74776,67507,-,945.2,0.0,283344896,15180677120,293085184,15298789376,8166445957,39018162,2685488,38964,4337664,36040704,4883,1617,wow://input/data/work/6f/4ab385de72a856ca21c0d07a53cade,true,-
-,2,siena07,87/f22641,nf-87f22641df47fe010a927feb2744b206-df74e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,2,14400000,-,21474836480,1,1761138113369,1761138114000,1761139000000,886631,885666,-,194.9,0.0,354885632,15256031232,356737024,15332360192,8253834439,59517856,2847433,50863,8192,62976000,13079,2243,wow://input/data/work/87/f22641df47fe010a927feb2744b206,true,-
-,19,siena14,d4/5ffd95,nf-d45ffd95b5762e1ecf7082cfe30953f5-0c142,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761139004843,1761139009000,1761139060000,55157,50346,-,127.1,1.5,3114852352,3488432128,3114852352,3488481280,580802029,5520,58721,29,180224,28672,65,127,wow://input/data/work/d4/5ffd95b5762e1ecf7082cfe30953f5,true,-
-,24,siena09,4e/d86ea0,nf-4ed86ea0e3c7a520edb69c285078ac99-96b44,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761139005978,1761139008000,1761139066000,60022,56392,-,122.0,1.5,3132182528,3506995200,3132182528,3507044352,563321873,5520,58758,29,4194304,28672,109,166,wow://input/data/work/4e/d86ea0e3c7a520edb69c285078ac99,true,-
-,34,siena13,06/8109f4,nf-068109f42c739b371403c70a3e98c34b-8a2b6,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850107_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850107_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761139007673,1761139009000,1761139065000,57327,54863,-,125.6,1.4,2838265856,3336511488,3211935744,3635408896,539178701,5520,56777,29,0,28672,145,199,wow://input/data/work/06/8109f42c739b371403c70a3e98c34b,true,-
-,35,siena13,a7/52ddf1,nf-a752ddf1f4825c5696ef9eae9cbc81e1-138c7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850413_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850413_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761139007858,1761139009000,1761139067000,59142,56269,-,124.8,1.6,3249364992,3654168576,3249364992,3654217728,557563706,5520,56585,29,0,28672,127,175,wow://input/data/work/a7/52ddf1f4825c5696ef9eae9cbc81e1,true,-
-,36,siena13,35/f7aef5,nf-35f7aef5ad811a93c054e7eaa51eb92d-138c7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860619_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860619_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761139008084,1761139010000,1761139067000,58916,54984,-,127.4,1.6,3147964416,3565690880,3224354816,3650097152,523829104,5520,55929,29,0,28672,97,125,wow://input/data/work/35/f7aef5ad811a93c054e7eaa51eb92d,true,-
-,45,siena14,61/ef870a,nf-61ef870a2bd052af768db80c6c0dafbf-d0ec9,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860502_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860502_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761139009837,1761139012000,1761139067000,57163,53961,-,127.5,1.4,2925948928,3388977152,3163435008,3626672128,484660254,5520,54074,29,0,28672,136,216,wow://input/data/work/61/ef870a2bd052af768db80c6c0dafbf,true,-
-,50,siena15,1e/6c0157,nf-1e6c01571c5dbe616d63b9d0f9d4b31d-23858,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860416_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860416_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761139010825,1761139015000,1761139070000,59175,53792,-,128.3,1.4,2800074752,3298369536,3228360704,3602391040,531642983,5520,54357,29,0,28672,73,330,wow://input/data/work/1e/6c01571c5dbe616d63b9d0f9d4b31d,true,-
-,51,siena15,c2/4364c1,nf-c24364c1e3479f2a0bd2184c67d713e7-58a30,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860705_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860705_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1761139011413,1761139016000,1761139073000,61587,55690,-,123.5,1.6,3229061120,3637776384,3229061120,3637825536,534014833,5520,55997,29,0,28672,66,170,wow://input/data/work/c2/4364c1e3479f2a0bd2184c67d713e7,true,-
