cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena12,d5/8cabc6,nf-d58cabc66f49f6cd08d59f6f8ebbb24f-cf684,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1755020544260,1755020545000,1755020546000,1740,0,-,57.8,0.0,3301376,5640192,3301376,5644288,714678,4921,283,19,278528,16384,10,0,/input/data/work/d5/8cabc66f49f6cd08d59f6f8ebbb24f,true,-
-,1,siena13,51/feb9f7,nf-51feb9f75307f78458117cc6af4ede15-cf684,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1755020543869,1755020547000,1755020582000,38131,34000,-,33.9,0.0,4841472,12550144,4841472,12554240,3147404979,5960,48265,21,0,16384,247,882,/input/data/work/51/feb9f75307f78458117cc6af4ede15,true,-
-,2,siena15,2b/2b1793,nf-2b2b1793ee83aea566b169ce9968843e-cf684,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1755020544060,1755020548000,1755020596000,51940,47000,-,31.5,0.6,1174908928,1186750464,1174908928,1186754560,4064228920,838279366,496319,104482,6955008,838287360,510,1019,/input/data/work/2b/2b1793ee83aea566b169ce9968843e,true,-
-,11,siena12,64/a6fca9,nf-64a6fca94b2306c861c6c03a8066b74c-ba15c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755020550975,1755020556000,1755020628000,77025,70000,-,204.5,0.5,1097101312,4765052928,1097400320,4766687232,1740147380,3670772,3365680,11231,0,4259840,7,2,/input/data/work/64/a6fca94b2306c861c6c03a8066b74c,true,-
-,14,siena14,58/f8b3d4,nf-58f8b3d4bc8a2d2df6639d01ae411ddd-4f0f6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755020551277,1755020552000,1755020643000,91723,89000,-,202.9,0.5,1093754880,4901376000,1094205440,4901384192,2183677699,3676842,4231885,11321,0,4337664,12,3,/input/data/work/58/f8b3d4bc8a2d2df6639d01ae411ddd,true,-
-,7,siena14,e5/7bb410,nf-e57bb4101a5d2c345e5758c221c48659-329db,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755020549158,1755020552000,1755020654000,104842,100000,-,202.9,0.5,1094410240,4833214464,1094492160,4900327424,2508433960,3693319,4866149,11354,0,4395008,11,6,/input/data/work/e5/7bb4101a5d2c345e5758c221c48659,true,-
-,5,siena12,c0/93a015,nf-c093a015b7a546024fa76cfa519774a2-329db,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755020548767,1755020556000,1755020661000,112233,103000,-,200.4,0.6,1193431040,5117779968,1205608448,5183098880,2508434212,3693318,4866150,11270,0,4411392,7,2,/input/data/work/c0/93a015b7a546024fa76cfa519774a2,true,-
-,10,siena13,cd/36199c,nf-cd36199ce4b4424aad188663c0e97216-dcff3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755020550157,1755020550000,1755020658000,107843,106000,-,203.0,0.5,1097203712,4833214464,1097510912,4898230272,2589107031,3695794,5023751,11229,0,4415488,12,0,/input/data/work/cd/36199ce4b4424aad188663c0e97216,true,-
-,8,siena07,86/95bcae,nf-8695bcae8fbb95a4a8654a82b7e29c0f-5a91e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755020550597,1755020551000,1755020658000,107403,105000,-,201.0,0.5,1094287360,4833214464,1094639616,4900327424,2508434205,3693318,4866151,11228,51130368,4395008,119,2,/input/data/work/86/95bcae8fbb95a4a8654a82b7e29c0f,true,-
-,18,siena07,4d/b60448,nf-4db60448771a4ff40d4865a4a48ad46e-562c7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755020551694,1755020552000,1755020663000,111306,109000,-,202.9,0.5,1095413760,4833214464,1095835648,4900327424,2677432812,3684428,5196255,11256,4096,4440064,4,1,/input/data/work/4d/b60448771a4ff40d4865a4a48ad46e,true,-
