cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena15,4d/248e29,nf-4d248e2922fc84a09dfdc3d8a8172134-94f00,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1755040791963,1755040801000,1755040803000,11037,0,-,44.0,0.0,3223552,5640192,3223552,5644288,713777,4905,282,19,5656576,16384,2,1,/input/data/work/4d/248e2922fc84a09dfdc3d8a8172134,true,-
-,2,siena13,91/b21a68,nf-91b21a6829a23da690a39ba4cf465a24-94f00,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1755040791674,1755040796000,1755040857000,65326,59000,-,20.6,0.0,4800512,12550144,4800512,12554240,3147404981,5960,48265,21,9547776,16384,268,2034,/input/data/work/91/b21a6829a23da690a39ba4cf465a24,true,-
-,48,siena07,6e/07d05e,nf-6e07d05e17fe3bb24b8391aa522c2ced-73627,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1755040808875,1755040809000,1755040886000,77125,75000,-,167.7,0.3,528064512,3893448704,538611712,3954270208,1417818521,3669194,2736077,11269,28467200,4276224,4,1,/input/data/work/6e/07d05e17fe3bb24b8391aa522c2ced,true,-
-,11,siena07,9f/c34fde,nf-9fc34fde0adfdee4002f489bfbef985e-43c63,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1755040806478,1755040807000,1755040895000,88522,86000,-,173.8,0.3,554950656,3961610240,560869376,3966226432,1740180917,3670771,3365693,11315,31461376,4354048,117,0,/input/data/work/9f/c34fde0adfdee4002f489bfbef985e,true,-
-,14,siena13,de/6b6ae4,nf-de6b6ae40620a2a65b5f37ab6f71c03d-bba4d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1755040806565,1755040807000,1755040912000,105435,103000,-,181.1,0.3,551436288,4029771776,556081152,4092690432,2183678724,3676842,4231888,11279,32985088,4399104,23,7,/input/data/work/de/6b6ae40620a2a65b5f37ab6f71c03d,true,-
-,7,siena13,66/af6cfd,nf-66af6cfd15f1719d6b7d512cdc9bbb19-f61e5,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1755040805976,1755040806000,1755040927000,121024,119000,-,178.2,0.3,515416064,4029771776,515416064,4092690432,2508434728,3693319,4866153,11228,35659776,4485120,128,2,/input/data/work/66/af6cfd15f1719d6b7d512cdc9bbb19,true,-
-,42,siena07,2b/926181,nf-2b9261812dfe832d1fae666d38b8f498-11df0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1755040808307,1755040808000,1755040929000,120693,119000,-,179.7,0.2,499859456,3957415936,500125696,3959623680,2508000491,3695801,4865335,11323,0,4493312,4,3,/input/data/work/2b/9261812dfe832d1fae666d38b8f498,true,-
-,46,siena07,43/8a1800,nf-438a1800cc5c0dc2e09ec88adc5ac5cf-c0607,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1755040808627,1755040809000,1755040929000,120373,118000,-,176.6,0.3,533565440,3959513088,533565440,4024528896,2401610454,3695703,4657401,11309,0,4493312,4,4,/input/data/work/43/8a1800cc5c0dc2e09ec88adc5ac5cf,true,-
-,75,siena12,c7/0352ef,nf-c70352ef066ea732638f278882fa1313-3e565,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1755040810665,1755040811000,1755040930000,119335,117000,-,136.9,0.3,548659200,3961610240,552759296,3965882368,1831960037,3672473,3544941,11268,28618752,4403200,12,9,/input/data/work/c7/0352ef066ea732638f278882fa1313,true,-
-,35,siena07,26/d7ba97,nf-26d7ba97ca562b8deb091afa3b1473b5-42e01,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1755040808099,1755040808000,1755040932000,123901,122000,-,182.0,0.3,551505920,3961610240,556785664,3965816832,2559991086,3690882,4966874,11262,0,4583424,4,2,/input/data/work/26/d7ba97ca562b8deb091afa3b1473b5,true,-
