cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena13,fe/422d55,nf-fe422d5572af183ff312ddbbd3fc20b5-9daeb,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1755402838785,1755402840000,1755402841000,2215,0,-,51.2,0.0,3256320,5640192,3256320,5644288,714708,4935,283,19,5906432,16384,14,0,/input/data/work/fe/422d5572af183ff312ddbbd3fc20b5,true,-
-,1,siena12,95/1f8ac1,nf-951f8ac112dc894879c5ead101c2d41f-9daeb,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1755402839259,1755402840000,1755402872000,32741,31000,-,37.8,0.0,5038080,12550144,5038080,12554240,3147405006,5974,48265,21,12582912,16384,305,786,/input/data/work/95/1f8ac112dc894879c5ead101c2d41f,true,-
-,2,siena15,4f/640a38,nf-4f640a38f2eab5dd05acfd932b182ec0-9daeb,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1755402839064,1755402847000,1755402907000,67936,58000,-,27.5,0.6,1174855680,1186750464,1174855680,1186754560,4064229969,838279386,496320,104482,6123520,838287360,498,1222,/input/data/work/4f/640a38f2eab5dd05acfd932b182ec0,true,-
-,11,siena13,84/21e93a,nf-8421e93a13dc93b969d90d5c188135ce-31969,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402849384,1755402850000,1755402924000,74616,72000,-,203.6,0.6,1220001792,5185941504,1220812800,5254422528,1740147908,3670774,3365683,11315,30932992,4259840,42,4,/input/data/work/84/21e93a13dc93b969d90d5c188135ce,true,-
-,14,siena14,9d/fee3ae,nf-9dfee3aefd0343f6aa6dcab59a5a746f-5e655,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402849559,1755402856000,1755402947000,97441,89000,-,202.6,0.5,1108344832,4971634688,1108369408,5036650496,2183677733,3676856,4231884,11279,50118656,4333568,131,3,/input/data/work/9d/fee3aefd0343f6aa6dcab59a5a746f,true,-
-,8,siena13,56/a96792,nf-56a96792727364f2e76b775bdb075af3-31766,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402847081,1755402850000,1755402954000,106919,102000,-,203.0,0.6,1209204736,5117779968,1209204736,5180698624,2508434246,3693332,4866150,11228,20930560,4390912,136,0,/input/data/work/56/a96792727364f2e76b775bdb075af3,true,-
-,10,siena12,ef/7e900d,nf-ef7e900d9db340ed96c5609343a72747-003dd,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402848859,1755402849000,1755402956000,107141,105000,-,198.6,0.6,1217888256,4913295360,1217892352,4917084160,2589106288,3695810,5023748,11271,52035584,4403200,134,0,/input/data/work/ef/7e900d9db340ed96c5609343a72747,true,-
-,6,siena14,aa/ae1ef7,nf-aaae1ef70ae093a9c881f2b79b543cef-31766,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402847469,1755402856000,1755402962000,114531,104000,-,202.6,0.5,1099603968,4765052928,1099603968,4768964608,2508434491,3693319,4866150,11354,1974272,4411392,7,0,/input/data/work/aa/ae1ef70ae093a9c881f2b79b543cef,true,-
-,9,siena15,ff/de8197,nf-ffde8197638ae2cb7ecbde8cd7228670-4a942,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402848458,1755402849000,1755402964000,115542,113000,-,182.0,0.6,1188810752,5117779968,1201762304,5175070720,2508434124,3693326,4866151,11354,52035584,4435968,132,9,/input/data/work/ff/de8197638ae2cb7ecbde8cd7228670,true,-
-,18,siena12,29/18f087,nf-2918f08720fa8d55589dc8256628cde0-d3a5a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402849972,1755402850000,1755402963000,113028,111000,-,201.3,0.5,1102221312,4969537536,1102831616,5036650496,2677432061,3684432,5196252,11298,0,4427776,12,9,/input/data/work/29/18f08720fa8d55589dc8256628cde0,true,-
-,15,siena15,2b/0c9ed5,nf-2b0c9ed58c207e0b43e40861eed47d96-22264,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402849871,1755402850000,1755402985000,135129,133000,-,184.4,0.6,1204498432,5117779968,1210781696,5180698624,2978873033,3686630,5785000,11339,0,4517888,12,8,/input/data/work/2b/0c9ed58c207e0b43e40861eed47d96,true,-
2.036,76,siena13,a0/07890e,nf-a007890e171f038af5fc4e844a8c3d4c-30c64,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402856381,1755402927000,1755403081000,224619,152000,-,201.7,0.5,1093816320,4765052928,1093971968,4766687232,3805237799,3700902,7398995,11283,0,4587520,11,2,/input/data/work/a0/07890e171f038af5fc4e844a8c3d4c,true,-
1.82,26,siena12,03/c4635e,nf-03c4635e54a25a4b3bf2a04ffc2cb3bc-caddc,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_1000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402851066,1755402966000,1755403094000,242934,126000,-,202.4,0.5,1094950912,4833214464,1095053312,4900327424,3168606181,3693203,6155571,11310,0,4452352,7,3,/input/data/work/03/c4635e54a25a4b3bf2a04ffc2cb3bc,true,-
2.036,69,siena14,1e/3f7d5d,nf-1e3f7d5d3a493af1bae6bc3528894e94-3fa0a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1755402855797,1755402950000,1755403096000,240203,144000,-,201.7,0.6,1125736448,4909101056,1127997440,4909105152,3615133305,3700593,7027703,11322,0,4534272,7,2,/input/data/work/1e/3f7d5d3a493af1bae6bc3528894e94,true,-
