task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,siena15,7f/89811b,nf-7f89811bd8dd7ba5b85b81c3412f43a5-3b062,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1751893523311,1751893532000,1751893532000,8689,0,-,71.2,0.0,3268608,5640192,3268608,5644288,714378,4914,281,18,5353472,16384,2,0,/input/data/work/7f/89811bd8dd7ba5b85b81c3412f43a5,true,-
3,siena11,50/25eac0,nf-5025eac0ad9c8f09f17c903faa47ce63-5224a,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1751893523702,1751893528000,1751893556000,32298,28000,-,40.6,0.0,4829184,12550144,4829184,12554240,3147404888,5955,48263,20,8200192,16384,225,735,/input/data/work/50/25eac0ad9c8f09f17c903faa47ce63,true,-
1,siena09,ee/d835b3,nf-eed835b308a24981da6611f46750c91e-2ccf4,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1751893523497,1751893529000,1751893575000,51503,46000,-,32.9,0.5,1062080512,1073414144,1062080512,1073418240,4064230216,838279373,496318,104481,16384,838287360,350,1035,/input/data/work/ee/d835b308a24981da6611f46750c91e,true,-
13,siena09,ba/44c442,nf-ba44c442311484a44fcb29ba238c15a4-ba240,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751893538994,1751893539000,1751893617000,78006,76000,-,191.5,0.5,1090097152,4833214464,1090904064,4900327424,1740180036,3670764,3365687,11314,20480,4304896,23,0,/input/data/work/ba/44c442311484a44fcb29ba238c15a4,true,-
14,siena14,fc/b0fd79,nf-fcb0fd797552d4c2381424eade4da74f-1001d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751893539580,1751893547000,1751893636000,96420,88000,-,202.5,0.5,1086775296,4765052928,1087246336,4766687232,2183677966,3676837,4231884,11236,20480,4337664,7,2,/input/data/work/fc/b0fd797552d4c2381424eade4da74f,true,-
5,siena15,01/4468c4,nf-014468c415f43b919cd345e5280a0b12-42d9f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751893537476,1751893543000,1751893645000,107524,101000,-,202.0,0.6,1206923264,5049618432,1212293120,5053022208,2508433918,3693309,4866147,11269,50995200,4374528,122,1,/input/data/work/01/4468c415f43b919cd345e5280a0b12,true,-
7,siena11,e3/377301,nf-e3377301533133b62e7fe18b0a272cdf-91944,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751893538505,1751893539000,1751893642000,103495,102000,-,203.0,0.6,1187590144,5117779968,1187631104,5180698624,2508434129,3693311,4866149,11269,50995200,4415488,123,0,/input/data/work/e3/377301533133b62e7fe18b0a272cdf,true,-
20,siena11,5b/7a3a36,nf-5b7a3a36b47c89e19be88b936355cf47-1bbe2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751893539826,1751893540000,1751893644000,104174,101000,-,201.6,0.6,1217994752,5254103040,1217994752,5321216000,2518977098,3693318,4886775,11306,0,4407296,12,12,/input/data/work/5b/7a3a36b47c89e19be88b936355cf47,true,-
4,siena14,5f/546b62,nf-5f546b623672a94b8d091dd956e89ee2-cfec0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751893538277,1751893546000,1751893648000,109723,101000,-,202.8,0.5,1093656576,4833214464,1094070272,4900327424,2508434484,3693312,4866148,11353,2367488,4395008,31,2,/input/data/work/5f/546b623672a94b8d091dd956e89ee2,true,-
10,siena15,6c/c2bc11,nf-6cc2bc1152de5a3e1471fb3cef2c2e86-2ce9e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751893539199,1751893543000,1751893646000,106801,102000,-,203.1,0.6,1155616768,4977262592,1156964352,5044375552,2589106475,3695786,5023747,11312,4198400,4366336,13,8,/input/data/work/6c/c2bc1152de5a3e1471fb3cef2c2e86,true,-
