memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena09,d6/dcc95a,nf-d6dcc95ae7ca79e31f6eb0585db20214-c910c,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1751935030778,1751935038000,1751935043000,12222,5000,-,1.6,0.0,3334144,5640192,3334144,5644288,714580,4915,281,18,16384,16384,2,0,/input/data/work/d6/dcc95ae7ca79e31f6eb0585db20214,true,-
-,2,siena07,43/90ed93,nf-4390ed93475f9e991e112b0f66c04acb-c910c,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1751935030495,1751935030000,1751935070000,39505,39000,-,30.5,0.0,4845568,12550144,4845568,12554240,3147404941,5956,48263,20,2121728,16384,259,2104,/input/data/work/43/90ed93475f9e991e112b0f66c04acb,true,-
-,49,siena09,ce/bad7f1,nf-cebad7f1ecb99dc8e7925f9f4c39ab50-8213c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1751935053083,1751935059000,1751935156000,102917,93000,-,133.0,0.3,550715392,3961610240,557416448,3966087168,1417819326,3669186,2736078,11310,20480,4341760,7,3,/input/data/work/ce/bad7f1ecb99dc8e7925f9f4c39ab50,true,-
-,79,siena09,40/bf2d66,nf-40bf2d668a67842b42a53a6c916cd928-08a28,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1751935055727,1751935062000,1751935195000,139273,130000,-,119.2,0.3,569262080,4029771776,579756032,4092690432,1831960076,3672466,3544939,11267,0,4440064,7,2,/input/data/work/40/bf2d668a67842b42a53a6c916cd928,true,-
-,35,siena12,1c/27373d,nf-1c27373d19ba10160908939eea59e5c9-9f800,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1751935052094,1751935056000,1751935206000,153906,148000,-,146.5,0.3,548188160,3825287168,561659904,3829714944,2559991002,3690877,4966869,11261,27222016,4530176,6,2,/input/data/work/1c/27373d19ba10160908939eea59e5c9,true,-
-,9,siena07,b2/d70533,nf-b2d705330848abc886fa42049861c511-67c84,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1751935049486,1751935050000,1751935215000,165514,163000,-,132.4,0.3,525385728,3961610240,525385728,3961614336,2508435010,3693312,4866151,11269,5160960,4599808,27,0,/input/data/work/b2/d705330848abc886fa42049861c511,true,-
-,43,siena07,6a/ee1ba3,nf-6aee1ba34bba9f7d67b3e1429ba72d18-58301,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1751935052512,1751935053000,1751935220000,167488,165000,-,132.8,0.2,481026048,3955318784,481456128,3955879936,2508000774,3695794,4865334,11280,0,4653056,4,2,/input/data/work/6a/ee1ba34bba9f7d67b3e1429ba72d18,true,-
-,11,siena15,a1/a69f9d,nf-a1a69f9d88bb716400168d2b862bed55-5ea25,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1751935050283,1751935052000,1751935219000,168717,166000,-,90.4,0.3,544649216,3961610240,556187648,3966054400,1740180893,3670761,3365691,11230,28426240,4575232,12,4,/input/data/work/a1/a69f9d88bb716400168d2b862bed55,true,-
-,28,siena12,6d/f8de5a,nf-6df8de5ad5a500148c764bfef377655a-3a9e8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1751935051684,1751935057000,1751935213000,161316,154000,-,145.0,0.3,531341312,3961610240,531341312,3988471808,2627196873,3685677,5098140,11306,0,4603904,7,5,/input/data/work/6d/f8de5ad5a500148c764bfef377655a,true,-
-,65,siena12,1c/5b25e1,nf-1c5b25e115aefcde78a5fa16ecbb30cc-5da9a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1751935054106,1751935057000,1751935215000,160894,157000,-,143.0,0.2,466624512,3881529344,466624512,3948642304,2632366856,3688485,5108236,11311,0,4624384,12,3,/input/data/work/1c/5b25e115aefcde78a5fa16ecbb30cc,true,-
-,10,siena09,88/6caf11,nf-886caf112189c4d0332a591f1d638946-24bcb,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1751935049695,1751935060000,1751935226000,176305,163000,-,136.6,0.3,566886400,4097933312,566886400,4162949120,2589107579,3695790,5023750,11354,0,4640768,8,5,/input/data/work/88/6caf112189c4d0332a591f1d638946,true,-
-,14,siena11,74/2688a7,nf-742688a7675c33cce8dd4dc08e446dc3-5ea88,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1751935050308,1751935051000,1751935228000,177692,175000,-,107.5,0.3,540487680,3961610240,550498304,3966226432,2183645615,3676834,4231877,11320,63463424,4562944,123,9,/input/data/work/74/2688a7675c33cce8dd4dc08e446dc3,true,-
