cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena09,b9/778a63,nf-b9778a6358affc1b8e9018eb06770905-35557,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1761638269955,1761638277000,1761638278000,8045,0,-,46.4,0.0,3297280,5640192,3297280,5644288,714470,4917,283,19,5353472,16384,2,0,/input/data/work/b9/778a6358affc1b8e9018eb06770905,true,-
-,-,1,siena07,16/a3a580,nf-16a3a5809de9d44e509af88dbc165b6e-35557,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1761638269835,1761638270000,1761638337000,67165,65000,-,20.6,0.6,1174794240,1186750464,1174794240,1186754560,4064230135,838279374,496320,104482,65536,838291456,292,2623,/input/data/work/16/a3a5809de9d44e509af88dbc165b6e,true,-
-,-,49,siena11,13/26c55b,nf-1326c55b4ce393650301095c65f1f83f-f3ede,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1761638289549,1761638292000,1761638370000,80451,76000,-,166.6,0.2,459100160,3677044736,459100160,3677052928,1417818312,3669191,2736076,11227,58961920,4272128,129,1,/input/data/work/13/26c55b4ce393650301095c65f1f83f,true,-
-,-,3,siena13,de/8c863f,nf-de8c863fde4957719124445df18f5799-35557,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1761638270150,1761638278000,1761638375000,104850,97000,-,12.4,0.0,4902912,12550144,4902912,12554240,3147404797,5956,48265,21,9629696,16384,246,1998,/input/data/work/de/8c863fde4957719124445df18f5799,true,-
-,-,77,siena11,26/2390e6,nf-262390e6feffff05373bffd4965969ee-6b3e9,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1761638293897,1761638299000,1761638399000,105103,97000,-,163.5,0.3,544587776,3961610240,547385344,3965399040,1831959977,3672468,3544942,11226,0,4378624,6,4,/input/data/work/26/2390e6feffff05373bffd4965969ee,true,-
-,-,14,siena11,7e/7426f2,nf-7e7426f25e886375456dcb4d4b84a951-1ebb3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1761638285538,1761638292000,1761638401000,115462,105000,-,177.2,0.2,459366400,3677044736,459935744,3744157696,2183678256,3676838,4231888,11279,974848,4423680,7,3,/input/data/work/7e/7426f25e886375456dcb4d4b84a951,true,-
-,-,19,siena11,0b/2ca967,nf-0b2ca96751589a9ddcb8c7b3fdae756e-c876a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1761638286240,1761638294000,1761638417000,130760,121000,-,180.6,0.2,482140160,3889319936,482140160,3950739456,2518977998,3693325,4886780,11223,0,4534272,7,2,/input/data/work/0b/2ca96751589a9ddcb8c7b3fdae756e,true,-
-,-,27,siena12,92/ab78c4,nf-92ab78c4006ecd581f152b58fb590ed6-bb690,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1761638286993,1761638290000,1761638429000,142007,137000,-,167.7,0.2,457719808,3745206272,458076160,3812319232,2627198302,3685676,5098150,11265,28803072,4497408,13,10,/input/data/work/92/ab78c4006ecd581f152b58fb590ed6,true,-
-,-,64,siena12,6a/8ee596,nf-6a8ee59650ec01fb62c35f41c139d855-d5344,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1761638291771,1761638293000,1761638433000,141229,137000,-,163.2,0.3,552083456,3961610240,555110400,4024528896,2632365724,3688486,5108236,11270,0,4517888,12,9,/input/data/work/6a/8ee59650ec01fb62c35f41c139d855,true,-
-,-,18,siena13,ad/013b03,nf-ad013b03870d746d988f01851b4f0492-19ce7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1761638285911,1761638287000,1761638435000,149089,145000,-,158.0,0.2,468635648,3815464960,468836352,3816501248,2677561613,3684425,5196377,11256,28528640,4538368,12,10,/input/data/work/ad/013b03870d746d988f01851b4f0492,true,-
