memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena07,03/e97d28,nf-03e97d28cc90193a7db2c27c254b854a-0e987,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1751830278195,1751830278000,1751830279000,805,0,-,53.4,0.0,12521472,17530880,12521472,20443136,714606,4917,281,18,0,16384,2,5,wow://input/data/work/03/e97d28cc90193a7db2c27c254b854a,true,-
-,3,siena07,aa/070e8d,nf-aa070e8d23577b95cc3f1a352ada8dcf-0e987,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1751830277781,1751830278000,1751830311000,33219,33000,-,34.9,0.0,5046272,12550144,5046272,12554240,3147404905,5956,48263,20,0,16384,247,194,wow://input/data/work/aa/070e8d23577b95cc3f1a352ada8dcf,true,-
-,2,siena07,9c/b013f8,nf-9cb013f8e9adb7d4c62a818da6c53deb-0e987,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1751830278001,1751830278000,1751830315000,36999,37000,-,37.0,0.6,1174962176,1186750464,1174962176,1186754560,4064230242,838279374,496318,104481,0,838287360,295,729,wow://input/data/work/9c/b013f8e9adb7d4c62a818da6c53deb,true,-
-,5,siena13,ae/579120,nf-ae57912092fe1aded7ce622ea938b598-a69ec,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830286107,1751830286000,1751830389000,102893,101000,-,201.4,0.6,1239093248,5049618432,1242836992,5076480000,2508435482,3693315,4866150,11269,0,4415488,12,0,wow://input/data/work/ae/57912092fe1aded7ce622ea938b598,true,-
-,8,siena13,a4/e615c1,nf-a4e615c1bebf2d953693de2b3997677d-d5f3f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830286307,1751830287000,1751830386000,99693,98000,-,202.4,0.5,1095696384,4833214464,1096028160,4898689024,2508569171,3693316,4866272,11269,0,4374528,12,8,wow://input/data/work/a4/e615c1bebf2d953693de2b3997677d,true,-
-,9,siena11,a8/5177db,nf-a85177db6198321adc3007ec60c76426-cde4a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830287278,1751830288000,1751830392000,104722,103000,-,201.1,0.6,1154899968,5047521280,1155239936,5076480000,2508434603,3693310,4866147,11269,0,4390912,12,0,wow://input/data/work/a8/5177db6198321adc3007ec60c76426,true,-
-,12,siena11,1b/caee4a,nf-1bcaee4a938dd1d87887fed30860b406-84c6c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830287979,1751830288000,1751830396000,108021,107000,-,198.1,0.6,1218859008,4913295360,1218940928,4917125120,2589106651,3695786,5023746,11312,0,4444160,12,8,wow://input/data/work/1b/caee4a938dd1d87887fed30860b406,true,-
1377828864,51,siena07,19/473bed,nf-19473bed74f2e6ab840cc240877d0abc-fadf5,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830294932,1751830392000,1751830453000,158068,59000,-,204.7,0.5,1094115328,4765052928,1094889472,4766695424,1417785204,3669186,2736062,11268,0,4222976,4,2,wow://input/data/work/19/473bed74f2e6ab840cc240877d0abc,true,-
1377828864,13,siena13,b9/5e4d7b,nf-b95e4d7b05610ca22bb12cb48a76908c-1487a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830288493,1751830392000,1751830465000,176507,72000,-,203.0,0.6,1217871872,4913295360,1219153920,4940156928,1740148136,3670770,3365679,11314,0,4259840,7,0,wow://input/data/work/b9/5e4d7b05610ca22bb12cb48a76908c,true,-
1377828864,81,siena07,71/a53ef8,nf-71a53ef869116706486fbde69be030d9-2bc95,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830298681,1751830393000,1751830472000,173319,78000,-,202.2,0.5,1096839168,4903473152,1096839168,4903477248,1831959744,3672465,3544936,11225,0,4317184,4,2,wow://input/data/work/71/a53ef869116706486fbde69be030d9,true,-
1377828864,16,siena12,ab/b79c15,nf-abb79c15b92fe4df2cb6e31eb742e7c0-47245,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830288799,1751830392000,1751830490000,201201,97000,-,188.5,0.6,1216512000,5117779968,1224183808,5180698624,2183678443,3676837,4231884,11278,4194304,4349952,6,2,wow://input/data/work/ab/b79c15b92fe4df2cb6e31eb742e7c0,true,-
1377828864,34,siena12,8d/5e16d8,nf-8d5e16d84547c1c3c2fd9292108f1678-73538,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830292177,1751830392000,1751830496000,203823,103000,-,187.7,0.6,1151586304,5049618432,1151586304,5077884928,2256974663,3675336,4375043,11242,0,4395008,7,3,wow://input/data/work/8d/5e16d84547c1c3c2fd9292108f1678,true,-
1377828864,46,siena13,1f/41674e,nf-1f41674e84dc1518da018ac5e7d90a96-55a1e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830293902,1751830392000,1751830500000,206098,107000,-,196.6,0.6,1226653696,5049618432,1227407360,5054062592,2508000734,3695799,4865332,11280,0,4435968,7,1,wow://input/data/work/1f/41674e84dc1518da018ac5e7d90a96,true,-
1377828864,50,siena09,61/3bc884,nf-613bc884b113b35cd3785e0a83d63c87-bc3ea,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830294476,1751830392000,1751830505000,210524,112000,-,186.4,0.6,1211555840,5049618432,1214398464,5053489152,2401472521,3695697,4657268,11266,0,4427776,7,2,wow://input/data/work/61/3bc884b113b35cd3785e0a83d63c87,true,-
1377828864,42,siena09,df/df9bcc,nf-dfdf9bccd65f4a3728fabb873a27833d-bbea7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830293309,1751830402000,1751830521000,227691,118000,-,183.0,0.6,1202589696,5053935616,1218088960,5053939712,2508434697,3694696,4866178,11395,0,4489216,7,5,wow://input/data/work/df/df9bccd65f4a3728fabb873a27833d,true,-
1377828864,43,siena09,b3/442733,nf-b3442733f4c42bcdb6a218ea9caafc2d-4c68c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830293723,1751830402000,1751830520000,226277,117000,-,185.7,0.6,1194856448,5049618432,1195028480,5053448192,2544323717,3679542,4936277,11209,0,4456448,7,3,wow://input/data/work/b3/442733f4c42bcdb6a218ea9caafc2d,true,-
1377828864,22,siena09,9e/55f059,nf-9e55f059df44fe963a5adf2903e2e8ad-2c2ee,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830289976,1751830402000,1751830526000,236024,122000,-,178.4,0.6,1201692672,5117779968,1204854784,5180698624,2518977545,3693318,4886773,11306,0,4587520,7,4,wow://input/data/work/9e/55f059df44fe963a5adf2903e2e8ad,true,-
1377828864,38,siena09,df/4518a7,nf-df4518a7e3ef943328400f28dfa8fa39-33339,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830292813,1751830402000,1751830530000,237187,127000,-,175.7,0.6,1198931968,5049618432,1200635904,5112537088,2559990168,3690874,4966867,11261,0,4603904,7,1,wow://input/data/work/df/4518a7e3ef943328400f28dfa8fa39,true,-
-,70,siena13,96/107394,nf-961073943468a1bfaecf547c65bc8f7f-4bff1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830297595,1751830393000,1751830560000,262405,166000,-,175.9,0.5,1093644288,4765052928,1094082560,4766695424,3615133789,3700586,7027700,11279,0,4640768,8,2,wow://input/data/work/96/1073943468a1bfaecf547c65bc8f7f,true,-
-,57,siena11,e9/1ee2f0,nf-e91ee2f010d0c4d4b9953809a97e48f3-5cf22,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830295837,1751830394000,1751830563000,267163,167000,-,170.1,0.6,1215463424,5117779968,1215463424,5182795776,3551691776,3685708,6903784,11253,0,4603904,7,0,wow://input/data/work/e9/1ee2f010d0c4d4b9953809a97e48f3,true,-
-,26,siena11,84/7c17f3,nf-847c17f3870c69a77b380c9027621cc3-e171e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830290726,1751830399000,1751830568000,277274,168000,-,168.7,0.6,1218265088,5117779968,1218281472,5184892928,3411774117,3714180,6630516,11259,0,4624384,7,1,wow://input/data/work/84/7c17f3870c69a77b380c9027621cc3,true,-
-,78,siena13,70/3380e3,nf-703380e3407c0cd073290d1d4bece317-2bc95,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830298798,1751830389000,1751830570000,271202,180000,-,170.9,0.6,1213063168,5117779968,1230139392,5184892928,3805238544,3700898,7398992,11282,0,4710400,7,1,wow://input/data/work/70/3380e3407c0cd073290d1d4bece317,true,-
1387266048,31,siena07,a8/e4d098,nf-a8e4d0984cfb5b8f564da562d8aea098-967c6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830291296,1751830458000,1751830594000,302704,135000,-,165.1,0.5,1094856704,4833214464,1095270400,4900327424,2627348013,3685675,5098278,11348,0,4534272,4,4,wow://input/data/work/a8/e4d0984cfb5b8f564da562d8aea098,true,-
1398800384,36,siena13,2f/195723,nf-2f195723e192a5ea94f5577e044ac880-a2f18,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830292699,1751830458000,1751830595000,302301,136000,-,167.4,0.5,1096138752,4901376000,1096384512,4903010304,2711664284,3695992,5263114,11279,0,4591616,7,2,wow://input/data/work/2f/195723e192a5ea94f5577e044ac880,true,-
1394606080,20,siena07,16/807f71,nf-16807f710a44f7c8c6fc3065857a25c2-2a94a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830289707,1751830458000,1751830599000,309293,140000,-,163.9,0.6,1210322944,5049618432,1219493888,5054234624,2677432522,3684422,5196251,11381,0,4542464,4,4,wow://input/data/work/16/807f710a44f7c8c6fc3065857a25c2,true,-
1418723328,77,siena12,9e/d746ff,nf-9ed746ff6d7a6b72f48301550158ccf9-7f702,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830298393,1751830459000,1751830600000,301607,140000,-,168.8,0.5,1093668864,4696891392,1093668864,4764004352,2869680592,3703974,5571743,11289,0,4554752,7,2,wow://input/data/work/9e/d746ff6d7a6b72f48301550158ccf9,true,-
1433403392,18,siena12,1e/0ad2f9,nf-1e0ad2f9a841b297477ebb137a035332-622d0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830289378,1751830458000,1751830602000,312622,143000,-,170.8,0.6,1210368000,5049618432,1218531328,5054062592,2978873481,3686628,5784997,11254,0,4595712,7,2,wow://input/data/work/1e/0ad2f9a841b297477ebb137a035332,true,-
1409286144,32,siena13,0b/e2e399,nf-0be2e399e056a579e8e2698f0b846f1a-14417,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830292009,1751830458000,1751830602000,309991,143000,-,164.0,0.6,1221287936,5117779968,1233862656,5180698624,2792760210,3701611,5421497,11288,0,4640768,7,1,wow://input/data/work/0b/e2e399e056a579e8e2698f0b846f1a,true,-
1428160512,39,siena13,7d/99b76a,nf-7d99b76a2cc2b7b3dcaf95abf5b03de9-71fa6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830293198,1751830458000,1751830604000,310802,145000,-,166.0,0.6,1185030144,5117779968,1210290176,5178601472,2938871532,3692533,5706869,11231,0,4653056,7,2,wow://input/data/work/7d/99b76a2cc2b7b3dcaf95abf5b03de9,true,-
1401946112,59,siena15,d6/d156b4,nf-d6d156b439789d568f0efb786f75dd6c-12d19,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830295910,1751830459000,1751830601000,305090,141000,-,167.4,0.6,1207394304,5117779968,1208688640,5180698624,2739943164,3707915,5318344,11336,0,4521984,7,3,wow://input/data/work/d6/d156b439789d568f0efb786f75dd6c,true,-
1388314624,66,siena11,35/9841c0,nf-359841c063aca771be9f6f1430fba529-c8f9e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830297118,1751830458000,1751830603000,305882,143000,-,156.9,0.6,1209847808,5049618432,1209847808,5112537088,2632365283,3688482,5108230,11353,0,4571136,7,2,wow://input/data/work/35/9841c063aca771be9f6f1430fba529,true,-
1391460352,73,siena11,9b/85e7de,nf-9b85e7de547fd8a2f501baf4b16c6ed3-b7bb4,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830297877,1751830459000,1751830604000,306123,144000,-,156.4,0.5,1094270976,4833214464,1094635520,4900327424,2651863208,3695483,5146312,11220,0,4558848,7,3,wow://input/data/work/9b/85e7de547fd8a2f501baf4b16c6ed3,true,-
1444937728,74,siena12,51/444031,nf-51444031cf4e5bf2c2caa672815ab9d2-5cadc,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830298287,1751830459000,1751830606000,307713,146000,-,173.3,0.5,1093726208,4765052928,1093906432,4765982720,3070531853,3692454,5964018,11298,0,4640768,7,3,wow://input/data/work/51/444031cf4e5bf2c2caa672815ab9d2,true,-
1391460352,53,siena15,f4/7aad14,nf-f47aad149571a22944d76c9ef42a9935-14e41,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830295198,1751830458000,1751830607000,311802,148000,-,152.5,0.6,1183080448,4981456896,1209815040,5048569856,2652431403,3690229,5147418,11297,0,4550656,7,2,wow://input/data/work/f4/7aad149571a22944d76c9ef42a9935,true,-
1448083456,24,siena07,33/4dcf87,nf-334dcf8791dd6344f9f20a4a15c477db-e9b9b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830290976,1751830458000,1751830615000,324024,156000,-,166.7,0.6,1206808576,4913295360,1219833856,4917157888,3094682059,3668430,6011180,11229,0,4608000,5,2,wow://input/data/work/33/4dcf8791dd6344f9f20a4a15c477db,true,-
1457520640,27,siena07,23/b6d701,nf-23b6d7018f73d20274a9a9b7d2422c3b-b06b6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_1000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830291776,1751830458000,1751830616000,324224,156000,-,172.1,0.6,1233727488,5185941504,1240084480,5191208960,3168605362,3693193,6155565,11351,0,4620288,4,1,wow://input/data/work/23/b6d7018f73d20274a9a9b7d2422c3b,true,-
1405091840,47,siena15,ce/926fb2,nf-ce926fb2d29b6bdb91d9e6c6a07a6efe-80296,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1751830294300,1751830458000,1751830612000,317700,153000,-,151.6,0.6,1208672256,4913295360,1224196096,4917829632,2761690567,3683675,5360815,11252,0,4571136,7,5,wow://input/data/work/ce/926fb2d29b6bdb91d9e6c6a07a6efe,true,-
