cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena07,f6/7fe8d9,nf-f67fe8d990f9c5a9a21ab4018c77ec4f-0bda8,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1769000551950,1769000552000,1769000553000,1050,0,-,58.8,0.0,11452416,16969728,11452416,20443136,714504,4930,283,19,5607424,16384,62,0,wow://input/data/work/f6/7fe8d990f9c5a9a21ab4018c77ec4f,true,-
-,1,siena07,c9/e96cb1,nf-c9e96cb18c8598881fdbe1164b4c1c86-0bda8,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1769000552261,1769000553000,1769000585000,32739,31000,-,33.5,0.0,4792320,12550144,4792320,12554240,3147404786,5957,48265,21,8192000,16384,287,89,wow://input/data/work/c9/e96cb18c8598881fdbe1164b4c1c86,true,-
-,2,siena07,77/221ff5,nf-77221ff5579be8a250d93678cf1aeb58-0bda8,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1769000552149,1769000552000,1769000589000,36851,36000,-,34.9,0.0,13922304,23638016,13922304,23642112,4064230122,838279375,496320,104482,528384,838287360,310,1091,wow://input/data/work/77/221ff5579be8a250d93678cf1aeb58,true,-
-,6,siena13,29/6ce8de,nf-296ce8dedd568c7ce5d563d94d63db01-8b023,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769000560348,1769000561000,1769000668000,107652,105000,-,195.7,0.6,1143283712,5045424128,1144090624,5112537088,2508434507,3693328,4866150,11270,32268288,4390912,138,1,wow://input/data/work/29/6ce8dedd568c7ce5d563d94d63db01,true,-
-,4,siena13,d6/0f2020,nf-d60f2020d2da2d6443f8fb519ec26b37-1e1f7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769000560566,1769000561000,1769000668000,107434,105000,-,195.3,0.6,1182347264,4913295360,1190502400,4940156928,2508434492,3693315,4866151,11354,19771392,4390912,12,8,wow://input/data/work/d6/0f2020d2da2d6443f8fb519ec26b37,true,-
-,8,siena11,a6/4e472d,nf-a64e472dc8c49d23b873758c0fa99140-af56b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769000561449,1769000562000,1769000667000,105551,103000,-,197.8,0.6,1199382528,5049618432,1217253376,5076480000,2508434514,3693328,4866151,11270,52039680,4390912,138,1,wow://input/data/work/a6/4e472dc8c49d23b873758c0fa99140,true,-
-,12,siena11,8e/776683,nf-8e776683e2499a7dbd5e46ac1c568bf4-5f59a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769000561667,1769000562000,1769000670000,108333,106000,-,200.4,0.5,1094463488,4969537536,1094598656,5036650496,2589106544,3695792,5023747,11355,0,4415488,12,0,wow://input/data/work/8e/776683e2499a7dbd5e46ac1c568bf4,true,-
1.978,26,siena11,c1/99952c,nf-c199952cd3eb0ed20d3110362a40ed82-a8616,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769000564778,1769000672000,1769000813000,248222,139000,-,199.7,0.6,1207328768,5117779968,1210413056,5184892928,3411774008,3714184,6630517,11344,0,4530176,7,3,wow://input/data/work/c1/99952cd3eb0ed20d3110362a40ed82,true,-
1.978,59,siena13,91/1d3075,nf-911d3075c19190c67ebe9d1bde6a82f1-9f3e9,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769000570350,1769000671000,1769000813000,242650,140000,-,201.5,0.5,1094164480,4696891392,1094615040,4761907200,3551691405,3685713,6903786,11254,0,4501504,7,0,wow://input/data/work/91/1d3075c19190c67ebe9d1bde6a82f1,true,-
1.978,72,siena13,b3/9fcabf,nf-b39fcabf3a2b6a3de9b680ce61fe2b44-97c76,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769000572713,1769000670000,1769000820000,247287,147000,-,199.7,0.6,1206358016,5049618432,1207259136,5053554688,3615133309,3700585,7027701,11322,0,4526080,7,1,wow://input/data/work/b3/9fcabf3a2b6a3de9b680ce61fe2b44,true,-
