cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,10,siena13,a0/ec5a5a,nf-a0ec5a5acc66e8a69142f8262553c2da-c3ff5,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1755772317675,1755772327000,1755772329000,11325,0,-,75.8,0.0,2912256,11575296,2912256,11579392,54338,2591,149,18,0,12288,1,1,/input/data/work/a0/ec5a5acc66e8a69142f8262553c2da,true,-
-,3,siena15,b4/626706,nf-b4626706f59667116467cf644eabe7aa-c3ff5,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1755772318161,1755772324000,1755772327000,8839,1000,-,60.4,0.0,2981888,11575296,2981888,11579392,11011299,33652569,509,1059,0,33701888,1,0,/input/data/work/b4/626706f59667116467cf644eabe7aa,true,-
-,6,siena09,6f/a62728,nf-6fa627283982e9afc3e752d1b3f07273-c3ff5,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1755772318590,1755772327000,1755772336000,17410,6000,-,51.0,0.0,10018816,42328064,10018816,42336256,113276504,388442030,1080,11876,2523136,388448256,94,119,/input/data/work/6f/a627283982e9afc3e752d1b3f07273,true,-
-,15,siena15,be/0ffc2a,nf-be0ffc2adb759f605664885c12b4963f-c3ff5,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1755772318883,1755772324000,1755772327000,8117,1000,-,85.1,0.0,2891776,11575296,2891776,11579392,9302080,37200248,494,1169,0,37253120,1,0,/input/data/work/be/0ffc2adb759f605664885c12b4963f,true,-
-,8,siena09,c3/6f9ab4,nf-c36f9ab47f99d4f46033ddb88870dd80-c3ff5,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1755772318980,1755772328000,1755772344000,25020,10000,-,31.5,0.0,9814016,42328064,9814016,42336256,114386351,435495668,1088,13312,0,435499008,74,55,/input/data/work/c3/6f9ab47f99d4f46033ddb88870dd80,true,-
-,90,siena15,d8/983fe3,nf-d8983fe3d552d721551d97949072eeaf-92b20,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1755772347608,1755772349000,1755772360000,12392,3000,-,89.8,0.1,139374592,6928142336,139374592,7033196544,53571680,119118,7682,35,123715584,147456,2590,103,/input/data/work/d8/983fe3d552d721551d97949072eeaf,true,-
-,89,siena11,e4/086fd5,nf-e4086fd5ff82ded6fe534bc3f24e3044-20a0e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1755772348007,1755772349000,1755772376000,27993,0,-,6.0,0.0,3006464,11575296,3006464,11579392,53437,2600,149,59,0,180224,1,1,/input/data/work/e4/086fd5ff82ded6fe534bc3f24e3044,true,-
-,93,siena13,70/59ce0a,nf-7059ce0aa878919e9c1cb5b6968db625-9f6fb,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755772437581,1755772438000,1755772439000,1419,0,-,51.8,0.0,3375104,5640192,3375104,5644288,89402,3434,216,48,0,16384,3,3,/input/data/work/70/59ce0aa878919e9c1cb5b6968db625,true,-
-,95,siena14,3c/3e4ae5,nf-3c3e4ae54745647275be6de243c753d6-21bf0,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,4_1-191154276,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_1-191154276),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755772437997,1755772439000,1755772444000,6003,5000,-,0.6,0.0,4694016,36212736,4694016,36216832,89387,3388,219,48,0,16384,11,10,/input/data/work/3c/3e4ae54745647275be6de243c753d6,true,-
-,96,siena09,fa/7158df,nf-fa7158df9d53ab9c7da5e921602555e7-46b8d,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755772438100,1755772439000,1755772440000,1900,0,-,87.7,0.0,3301376,5640192,3301376,5644288,89391,3402,221,48,4198400,16384,4,4,/input/data/work/fa/7158df9d53ab9c7da5e921602555e7,true,-
