cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,7,siena15,0e/24c1ca,nf-0e24c1ca0be1451285ea60a9c7b40d0d-10812,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1769185964849,1769185977000,1769185980000,15151,0,-,8.1,0.0,2789376,11575296,2789376,11579392,54219,2600,149,18,0,12288,1,1,/input/data/work/0e/24c1ca0be1451285ea60a9c7b40d0d,true,-
-,1,siena12,95/044fc1,nf-95044fc134eb7694b64dcbc896b28704-49460,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1769185965147,1769185972000,1769185976000,10853,1000,-,33.8,0.0,2969600,11575296,2969600,11579392,9302128,37200248,494,1169,2523136,37253120,1,1,/input/data/work/95/044fc134eb7694b64dcbc896b28704,true,-
-,15,siena11,88/af3e7a,nf-88af3e7a43e27c29f16d13518278ea98-10812,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1769185965280,1769185968000,1769185981000,15720,9000,-,31.2,0.0,9895936,42328064,9895936,42336256,113276371,388442026,1080,11876,6721536,388448256,80,50,/input/data/work/88/af3e7a43e27c29f16d13518278ea98,true,-
-,10,siena09,2d/8d11bc,nf-2d8d11bce769c33f69fdac2b9307079d-10812,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1769185965364,1769185969000,1769185973000,7636,2000,-,16.0,0.0,9486336,42192896,9486336,42201088,11011348,33652569,509,1059,2543616,33701888,44,1,/input/data/work/2d/8d11bce769c33f69fdac2b9307079d,true,-
-,6,siena12,03/886ada,nf-03886adaa840469a8a5ba45e3f5bc4d1-49460,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1769185965480,1769185972000,1769185981000,15520,5000,-,55.9,0.0,9781248,42328064,9781248,42336256,114386207,435495664,1088,13312,0,435499008,21,44,/input/data/work/03/886adaa840469a8a5ba45e3f5bc4d1,true,-
-,90,siena15,7d/f81da1,nf-7df81da178f278a79d8d0cacbb371228-32b3d,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,12884901888,1,1769185987636,1769185988000,1769186002000,14364,11000,-,29.8,0.1,141283328,6867398656,141283328,7033196544,53571739,119118,7682,35,123854848,147456,2602,46,/input/data/work/7d/f81da178f278a79d8d0cacbb371228,true,-
-,89,siena14,33/505118,nf-3350511805a71f564035b8294ee70ebb-32b3d,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1769185987730,1769185988000,1769186001000,13270,1000,-,2.5,0.0,2875392,11575296,2875392,11579392,53325,2610,149,59,0,180224,2,1,/input/data/work/33/50511805a71f564035b8294ee70ebb,true,-
-,93,siena14,aa/518ce2,nf-aa518ce2d5b87a2d33fe2876f7d4324b-f02d9,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769186028580,1769186029000,1769186030000,1420,0,-,78.0,0.0,3358720,5640192,3358720,5644288,89250,3411,226,48,4984832,16384,3,4,/input/data/work/aa/518ce2d5b87a2d33fe2876f7d4324b,true,-
-,96,siena09,b7/edd878,nf-b7edd878a782cba8b8c3a3cca951772b-ceb41,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769186028963,1769186029000,1769186036000,7037,7000,-,0.5,0.0,3305472,5640192,3305472,5644288,89223,3378,223,48,0,16384,6,6,/input/data/work/b7/edd878a782cba8b8c3a3cca951772b,true,-
-,92,siena12,2e/aa9af9,nf-2eaa9af952e9dc63b4a6382d7be92a05-f02d9,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769186028684,1769186029000,1769186030000,1316,0,-,76.8,0.0,3280896,5640192,3280896,5644288,89247,3431,220,48,4194304,16384,3,3,/input/data/work/2e/aa9af952e9dc63b4a6382d7be92a05,true,-
