cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena13,91/da2998,nf-91da29989b85133a6ea254208a90a3d0-312b2,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1755087177570,1755087182000,1755087184000,6430,0,-,26.7,0.0,2822144,11575296,2822144,11579392,54344,2608,149,18,0,12288,2,0,/input/data/work/91/da29989b85133a6ea254208a90a3d0,true,-
-,14,siena13,d9/c73c2b,nf-d9c73c2b3da744e6113ac8f0da487980-312b2,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1755087178572,1755087182000,1755087187000,8428,0,-,93.3,0.0,2850816,11575296,2850816,11579392,11011480,33652573,509,1059,2666496,33701888,4,1,/input/data/work/d9/c73c2b3da744e6113ac8f0da487980,true,-
-,12,siena11,df/01e676,nf-df01e67626704f1df5d1817a47602300-312b2,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1755087178868,1755087193000,1755087202000,23132,5000,-,6.0,0.0,9871360,42328064,9871360,42336256,9302254,37200250,494,1169,0,37253120,8,6,/input/data/work/df/01e67626704f1df5d1817a47602300,true,-
-,9,siena12,0c/e3ec86,nf-0ce3ec86ef192889fb15cd37851ed34e-312b2,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1755087178179,1755087189000,1755087199000,20821,7000,-,42.7,0.0,9814016,42328064,9814016,42336256,114386339,435495667,1088,13312,2912256,435499008,73,53,/input/data/work/0c/e3ec86ef192889fb15cd37851ed34e,true,-
-,4,siena11,c1/56db6f,nf-c156db6fceb5d61db3ba09b93ebb4a63-312b2,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1755087178481,1755087190000,1755087213000,34519,17000,-,17.0,0.0,9945088,42328064,9945088,42336256,113276487,388442029,1080,11876,20480,388448256,31,53,/input/data/work/c1/56db6fceb5d61db3ba09b93ebb4a63,true,-
-,90,siena13,17/c28c17,nf-17c28c179569af76dd535cf19be6cc21-8f589,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1755087195359,1755087196000,1755087200000,4641,3000,-,105.3,0.1,110587904,6809395200,110587904,7033196544,53571885,119141,7682,35,124076032,147456,1675,41,/input/data/work/17/c28c179569af76dd535cf19be6cc21,true,-
-,89,siena07,a4/bc8fd0,nf-a4bc8fd0dc60e4f44516fbc046623a6e-ce913,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1755087195440,1755087196000,1755087199000,3560,0,-,169.4,0.0,2871296,11575296,2871296,11579392,53384,2614,149,59,0,180224,1,0,/input/data/work/a4/bc8fd0dc60e4f44516fbc046623a6e,true,-
-,92,siena07,ba/6857f6,nf-ba6857f67a721894f6a3708427d96457-ece47,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087227398,1755087228000,1755087230000,2602,0,-,76.2,0.0,3305472,5640192,3305472,5644288,89306,3415,219,48,1810432,16384,1,0,/input/data/work/ba/6857f67a721894f6a3708427d96457,true,-
-,95,siena09,ec/3367a8,nf-ec3367a8f64e2ea288834e035bcdfd15-01c1a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,4_1-191154276,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_1-191154276),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087227711,1755087229000,1755087232000,4289,3000,-,1.1,0.0,4612096,36212736,4612096,36216832,89310,3386,220,48,1273856,16384,25,10,/input/data/work/ec/3367a8f64e2ea288834e035bcdfd15,true,-
-,96,siena13,d1/4b05b2,nf-d14b05b2d14ab3421b3b80a9fa61f0ac-d9da9,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087227858,1755087229000,1755087238000,10142,8000,-,0.5,0.0,3297280,5640192,3297280,5644288,89379,3400,222,48,0,16384,4,4,/input/data/work/d1/4b05b2d14ab3421b3b80a9fa61f0ac,true,-
-,98,siena14,b2/f1f6fd,nf-b2f1f6fd151e76bd537c38afece72c23-ed970,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,7_1-159138663,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_1-159138663),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087227958,1755087229000,1755087233000,5042,3000,-,1.2,0.0,4608000,36212736,4608000,36216832,89360,3374,221,48,1810432,16384,25,11,/input/data/work/b2/f1f6fd151e76bd537c38afece72c23,true,-
-,99,siena07,19/2ec7a9,nf-192ec7a9010a1c3429bef8918044ba34-9654c,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,X_1-155270560,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (X_1-155270560),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087228072,1755087229000,1755087230000,1928,0,-,56.5,0.0,3366912,5640192,3366912,5644288,89305,3370,219,48,0,16384,1,0,/input/data/work/19/2ec7a9010a1c3429bef8918044ba34,true,-
-,100,siena12,35/0c166d,nf-350c166d315a3b4284b906620f6e17bb-f494e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,8_1-146364022,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_1-146364022),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087228199,1755087229000,1755087237000,8801,0,-,91.9,0.0,3301376,5640192,3301376,5644288,89352,3367,219,48,0,16384,4,3,/input/data/work/35/0c166d315a3b4284b906620f6e17bb,true,-
-,101,siena15,6d/17d514,nf-6d17d5149e06dcd7a5916078fc38ec7b-f9850,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,9_1-141213431,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (9_1-141213431),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087228327,1755087230000,1755087241000,12673,9000,-,0.3,0.0,4698112,36212736,4698112,36216832,88701,3352,217,48,0,16384,10,9,/input/data/work/6d/17d5149e06dcd7a5916078fc38ec7b,true,-
-,102,siena09,a6/97eb6c,nf-a697eb6c1ff2e6508105bb69fa0a67b4-f8183,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,10_1-135534747,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (10_1-135534747),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087228400,1755087230000,1755087231000,2600,0,-,74.2,0.0,3211264,5640192,3211264,5644288,89316,3356,218,48,536576,16384,7,2,/input/data/work/a6/97eb6c1ff2e6508105bb69fa0a67b4,true,-
-,103,siena13,6e/e95416,nf-6ee95416c39e67aede9d821d60e01b32-62e90,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,11_1-135006516,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (11_1-135006516),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087228636,1755087230000,1755087234000,5364,0,-,62.3,0.0,3252224,5640192,3252224,5644288,89362,3355,216,48,0,16384,3,4,/input/data/work/6e/e95416c39e67aede9d821d60e01b32,true,-
-,105,siena14,53/ab7ca3,nf-53ab7ca3b3489d513eea553c1878fe9e-ab683,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,13_1-115169878,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (13_1-115169878),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087228709,1755087230000,1755087237000,8291,6000,-,0.7,0.0,3239936,5640192,3239936,5644288,89365,3311,216,48,0,16384,6,6,/input/data/work/53/ab7ca3b3489d513eea553c1878fe9e,true,-
-,106,siena07,46/e37077,nf-46e37077ee03ac1d87eaaae052fd7ab0-ceb43,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,14_1-107349540,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (14_1-107349540),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087228828,1755087230000,1755087231000,2172,0,-,90.6,0.0,3338240,5640192,3338240,5644288,89311,3308,216,48,0,16384,1,0,/input/data/work/46/e37077ee03ac1d87eaaae052fd7ab0,true,-
-,107,siena12,72/2c036e,nf-722c036ecadccecd1b1c66c9851a26dc-6c382,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,15_1-102531392,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (15_1-102531392),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087228935,1755087230000,1755087234000,5065,3000,-,1.4,0.0,4599808,36212736,4599808,36216832,89383,3325,222,48,1273856,16384,25,12,/input/data/work/72/2c036ecadccecd1b1c66c9851a26dc,true,-
-,109,siena15,73/160fdb,nf-73160fdb98a5b78b7a8fde25c9c30456-a1528,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,17_1-81195210,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (17_1-81195210),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087228990,1755087231000,1755087242000,13010,4000,-,0.6,0.0,4784128,36212736,4784128,36216832,88701,3284,222,48,0,16384,6,5,/input/data/work/73/160fdb98a5b78b7a8fde25c9c30456,true,-
-,108,siena09,bd/ee50f6,nf-bdee50f670a0254c6210a41434d8b38c-ec4f9,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,16_1-90354753,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (16_1-90354753),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087229058,1755087230000,1755087239000,9942,8000,-,0.5,0.0,3248128,5640192,3248128,5644288,89308,3297,228,48,0,16384,6,6,/input/data/work/bd/ee50f670a0254c6210a41434d8b38c,true,-
-,111,siena13,7b/482e5c,nf-7b482e5c9a98cbbb532f4b0a98f923a2-2f43a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,20_1-63025520,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (20_1-63025520),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1755087229234,1755087231000,1755087232000,2766,0,-,53.5,0.0,3223552,5640192,3223552,5644288,89381,3306,230,48,6008832,16384,3,3,/input/data/work/7b/482e5c9a98cbbb532f4b0a98f923a2,true,-
