task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
15,siena09,29/9d193b,nf-299d193bd2edadde18b457d6ee334031-2b008,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1769228092165,1769228094000,1769228096000,3835,1000,-,56.5,0.0,2854912,11575296,2854912,11579392,54226,2598,147,17,4198400,12288,5,0,/input/data/work/29/9d193bd2edadde18b457d6ee334031,true,-
11,siena11,93/d7bf71,nf-93d7bf7136e8b4860971bf8af76509d5-37814,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1769228092469,1769228101000,1769228106000,13531,1000,-,24.2,0.0,9732096,42328064,9732096,42336256,9302157,37200245,492,1168,2670592,37253120,39,9,/input/data/work/93/d7bf7136e8b4860971bf8af76509d5,true,-
6,siena12,5c/534b43,nf-5c534b43d710e91e85cf0189624fe8f6-acef6,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1769228092760,1769228096000,1769228104000,11240,6000,-,55.8,0.0,9908224,42328064,9908224,42336256,114386244,435495662,1086,13311,2523136,435499008,54,56,/input/data/work/5c/534b43d710e91e85cf0189624fe8f6,true,-
3,siena14,03/e59cd8,nf-03e59cd87dbd80d082a9369ccb8f6517-06a0d,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1769228093076,1769228105000,1769228109000,15924,1000,-,30.4,0.0,2723840,11575296,2723840,11579392,11011388,33652566,507,1058,2523136,33701888,1,1,/input/data/work/03/e59cd87dbd80d082a9369ccb8f6517,true,-
90,siena13,ad/7859cf,nf-ad7859cfb435fb3d659941d330e4e56c-2e252,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,12884901888,1,1769228103927,1769228106000,1769228115000,11073,4000,-,101.1,0.1,144232448,6935744512,144232448,7033196544,53571732,119116,7680,34,123715584,147456,2603,59,/input/data/work/ad/7859cfb435fb3d659941d330e4e56c,true,-
89,siena09,d3/c69abc,nf-d3c69abc4a89842987e3ed569c9d615a-c3df1,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1769228104075,1769228106000,1769228115000,10925,5000,-,0.7,0.0,2793472,11575296,2793472,11579392,53298,2591,147,58,0,180224,6,6,/input/data/work/d3/c69abc4a89842987e3ed569c9d615a,true,-
5,siena15,88/194b32,nf-88194b320f9588e3d41f03d26ec51d60-1dde6,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1769228092792,1769228103000,1769228118000,25208,10000,-,29.8,0.0,9756672,42328064,9756672,42336256,113276384,388442023,1078,11875,2523136,388448256,45,719,/input/data/work/88/194b320f9588e3d41f03d26ec51d60,true,-
92,siena12,e4/90746c,nf-e490746c248593f01dc742fd2ebacae5-e0a8a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769228143847,1769228144000,1769228144000,153,0,-,34.0,0.0,3215360,5640192,3215360,5644288,89281,3429,225,47,0,16384,3,3,/input/data/work/e4/90746c248593f01dc742fd2ebacae5,true,-
95,siena11,42/5edbd6,nf-425edbd61f2e5f09bb02c59ffcab5a89-42e2e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,4_1-191154276,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_1-191154276),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769228144162,1769228145000,1769228149000,4838,3000,-,1.1,0.0,4722688,11034624,4722688,11038720,89273,3399,221,47,4194304,16384,10,11,/input/data/work/42/5edbd61f2e5f09bb02c59ffcab5a89,true,-
96,siena14,84/cce34d,nf-84cce34d3ee9532276ef6180bc25d5c2-a6acf,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769228144273,1769228144000,1769228153000,8727,1000,-,20.5,0.0,3330048,5640192,3330048,5644288,89262,3377,226,47,0,16384,2,2,/input/data/work/84/cce34d3ee9532276ef6180bc25d5c2,true,-
98,siena09,57/f22a5a,nf-57f22a5ac424e19119db9fc2914ea508-8d685,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,7_1-159138663,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_1-159138663),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769228144461,1769228145000,1769228145000,539,0,-,20.6,0.0,3190784,5640192,3190784,5644288,89244,3368,223,47,1679360,16384,3,3,/input/data/work/57/f22a5ac424e19119db9fc2914ea508,true,-
101,siena13,a2/062e89,nf-a2062e894269404e070979b1e9c2c977-c2e99,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,9_1-141213431,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (9_1-141213431),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769228144773,1769228145000,1769228157000,12227,0,-,19.9,0.0,3231744,5640192,3231744,5644288,89230,3359,214,47,0,16384,2,2,/input/data/work/a2/062e894269404e070979b1e9c2c977,true,-
102,siena14,9a/d48636,nf-9ad48636fb4fb7e7cf4ef2969f2e99cf-e9389,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,10_1-135534747,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (10_1-135534747),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769228144789,1769228145000,1769228154000,9211,8000,-,0.5,0.0,3342336,5640192,3342336,5644288,89267,3349,213,47,0,16384,11,9,/input/data/work/9a/d48636fb4fb7e7cf4ef2969f2e99cf,true,-
103,siena11,0c/fee154,nf-0cfee154ecf8cc0f82cc623a9310adc6-80931,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,11_1-135006516,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (11_1-135006516),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769228144847,1769228145000,1769228155000,10153,1000,-,12.8,0.0,3194880,5640192,3194880,5644288,89258,3348,215,47,0,16384,2,2,/input/data/work/0c/fee154ecf8cc0f82cc623a9310adc6,true,-
105,siena12,02/40a35b,nf-0240a35bac150ba761ea425f92b4e424-24541,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,13_1-115169878,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (13_1-115169878),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769228144907,1769228145000,1769228146000,1093,0,-,70.2,0.0,3301376,5640192,3301376,5644288,89288,3325,216,47,8392704,16384,3,3,/input/data/work/02/40a35bac150ba761ea425f92b4e424,true,-
104,siena14,9d/e68605,nf-9de686054e97926114ae971f366bddea-79262,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,12_1-133851895,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (12_1-133851895),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769228144881,1769228145000,1769228146000,1119,0,-,93.7,0.0,3321856,5640192,3321856,5644288,89293,3365,219,47,4198400,16384,3,4,/input/data/work/9d/e686054e97926114ae971f366bddea,true,-
106,siena12,e6/e6889a,nf-e6e6889ae4048eb29cb88d19db55744d-e5cf0,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,14_1-107349540,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (14_1-107349540),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1769228144963,1769228147000,1769228153000,8037,0,-,19.2,0.0,3231744,5640192,3231744,5644288,89263,3304,215,47,4194304,16384,2,6,/input/data/work/e6/e6889ae4048eb29cb88d19db55744d,true,-
