task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
14,siena15,5f/b61ef2,nf-5fb61ef23dacb3c11cd1e4cd1ef02417-9b0b9,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1765516607242,1765516611000,1765516613000,5758,1000,-,56.5,0.0,2961408,11575296,2961408,11579392,9302338,37200250,492,1168,2523136,37253120,1,0,/input/data/work/5f/b61ef23dacb3c11cd1e4cd1ef02417,true,-
11,siena15,73/55f2be,nf-7355f2be06283ce7a1272c53535722d2-2ac8c,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1765516607134,1765516612000,1765516614000,6866,1000,-,44.3,0.0,2904064,11575296,2904064,11579392,11011555,33652571,507,1058,0,33701888,1,1,/input/data/work/73/55f2be06283ce7a1272c53535722d2,true,-
5,siena09,47/b26575,nf-47b26575ab18757dd0905537b1912c85-86b74,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1765516607357,1765516608000,1765516626000,18643,15000,-,19.8,0.0,9957376,42328064,9957376,42336256,114386458,435495667,1086,13311,2523136,435499008,153,43,/input/data/work/47/b26575ab18757dd0905537b1912c85,true,-
12,siena11,ec/bd1a44,nf-ecbd1a44e4a726d1506f3e0e8ed72309-74495,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1765516606747,1765516615000,1765516617000,10253,0,-,5.4,0.0,2789376,11575296,2789376,11579392,54475,2603,147,17,0,12288,1,1,/input/data/work/ec/bd1a44e4a726d1506f3e0e8ed72309,true,-
4,siena12,24/6b48e7,nf-246b48e7e3d73ce011cb0822705adf5a-e4679,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1765516606430,1765516616000,1765516629000,22570,10000,-,26.1,0.0,9912320,42328064,9912320,42336256,113276599,388442029,1078,11875,2523136,388448256,51,41,/input/data/work/24/6b48e7e3d73ce011cb0822705adf5a,true,-
90,siena15,a4/5f88d7,nf-a45f88d735c0b266ee2b7aa7cdbee32d-be05b,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1765516633880,1765516635000,1765516642000,8120,3000,-,95.8,0.0,99713024,6878765056,99713024,6878769152,53571935,119120,7680,34,123715584,147456,1565,7,/input/data/work/a4/5f88d735c0b266ee2b7aa7cdbee32d,true,-
89,siena09,a0/a03548,nf-a0a035484ec80c23d34fc118f264c2b9-19aa2,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1765516633941,1765516635000,1765516644000,10059,8000,-,0.4,0.0,3739648,21848064,3739648,21852160,53547,2612,147,58,0,180224,11,8,/input/data/work/a0/a035484ec80c23d34fc118f264c2b9,true,-
96,siena07,38/982ba9,nf-38982ba9b893e140eacd7d8777a8f6db-ddace,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765516725534,1765516727000,1765516728000,2466,0,-,81.8,0.0,3305472,5640192,3305472,5644288,89499,3383,223,47,0,16384,1,0,/input/data/work/38/982ba9b893e140eacd7d8777a8f6db,true,-
94,siena14,9b/f767c9,nf-9bf767c9950809b0d7abe612004a653d-072e1,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765516725208,1765516726000,1765516730000,4792,3000,-,1.4,0.0,3129344,5640192,3129344,5644288,89472,3390,224,47,1810432,16384,3,3,/input/data/work/9b/f767c9950809b0d7abe612004a653d,true,-
95,siena09,99/78ac89,nf-9978ac891e5414dc8a107a6083e4c160-4e0f4,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,4_1-191154276,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_1-191154276),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765516725025,1765516726000,1765516730000,4975,0,-,22.6,0.0,3297280,5640192,3297280,5644288,89472,3388,225,47,0,16384,1,1,/input/data/work/99/78ac891e5414dc8a107a6083e4c160,true,-
