memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,15,siena15,0e/abe44f,nf-0eabe44ff148b751b1ab9c49952308f7-4957b,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1752252389076,1752252393000,1752252395000,5924,0,-,5.9,0.0,2850816,11575296,2850816,11579392,54162,2599,147,17,0,12288,1,1,/input/data/work/0e/abe44ff148b751b1ab9c49952308f7,true,-
-,10,siena07,88/14413a,nf-8814413ae297839674f820e446c3d939-4957b,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1752252389292,1752252389000,1752252391000,1708,1000,-,81.8,0.0,9867264,42328064,9867264,42336256,9302258,37200248,492,1168,77824,37253120,6,4,/input/data/work/88/14413ae297839674f820e446c3d939,true,-
-,13,siena09,5d/b7ad34,nf-5db7ad34dcdb1659a3352ae594ae3289-4957b,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1752252389323,1752252399000,1752252401000,11677,1000,-,88.9,0.0,2916352,11575296,2916352,11579392,11011450,33652568,507,1058,0,33701888,2,2,/input/data/work/5d/b7ad34dcdb1659a3352ae594ae3289,true,-
-,7,siena14,da/2ceaa3,nf-da2ceaa39faecafa4b0e4c786f8aeccc-4957b,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1752252388991,1752252392000,1752252411000,22009,15000,-,18.6,0.0,10149888,42328064,10149888,42336256,113276519,388442028,1078,11875,2523136,388448256,47,110,/input/data/work/da/2ceaa39faecafa4b0e4c786f8aeccc,true,-
-,3,siena11,76/9056c2,nf-769056c2788346546e25e6f34f607731-4957b,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1752252389107,1752252395000,1752252413000,23893,15000,-,19.8,0.0,9904128,42328064,9904128,42336256,114386330,435495663,1086,13311,2523136,435499008,75,44,/input/data/work/76/9056c2788346546e25e6f34f607731,true,-
-,90,siena07,3a/693ed8,nf-3a693ed8f753e050bd4a6af8c17beef9-f1b3c,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1752252406785,1752252407000,1752252413000,6215,5000,-,55.4,0.1,142389248,6631469056,142389248,7033196544,53571853,119118,7680,34,53248,147456,44,20,/input/data/work/3a/693ed8f753e050bd4a6af8c17beef9,true,-
-,89,siena09,f7/a8b2e7,nf-f7a8b2e733eb1d3b8315a56200ab5f0a-d4bd3,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1752252406897,1752252407000,1752252412000,5103,4000,-,0.5,0.0,3817472,21848064,3817472,21852160,53400,2605,147,58,4198400,180224,12,12,/input/data/work/f7/a8b2e733eb1d3b8315a56200ab5f0a,true,-
-,93,siena15,c8/e931e0,nf-c8e931e00954794462b9f8f7501288d5-1675d,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1752252481804,1752252483000,1752252484000,2196,0,-,5.9,0.0,3309568,5640192,3309568,5644288,89176,3406,218,47,1810432,16384,1,1,/input/data/work/c8/e931e00954794462b9f8f7501288d5,true,-
-,92,siena14,5d/1ee867,nf-5d1ee8676a0984e192be4fdbed5e1052-1675d,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1752252481376,1752252483000,1752252485000,3624,1000,-,5.1,0.0,3297280,5640192,3297280,5644288,89380,3414,220,47,131072,16384,1,2,/input/data/work/5d/1ee8676a0984e192be4fdbed5e1052,true,-
-,94,siena11,88/19ea29,nf-8819ea2987584fd513138d747c0a1089-26bc9,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1752252481977,1752252483000,1752252488000,6023,0,-,67.3,0.0,3289088,5640192,3289088,5644288,89344,3387,213,47,6004736,16384,2,2,/input/data/work/88/19ea2987584fd513138d747c0a1089,true,-
-,95,siena12,90/10677a,nf-9010677a235e43dec3c6f98fe522486c-b9daa,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,4_1-191154276,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_1-191154276),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1752252482260,1752252483000,1752252488000,5740,0,-,77.8,0.0,3309568,5640192,3309568,5644288,89378,3387,217,47,0,16384,3,2,/input/data/work/90/10677a235e43dec3c6f98fe522486c,true,-
-,96,siena07,ab/92aa7d,nf-ab92aa7d948ce12b2b13062c538f72d4-4e23c,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1752252482469,1752252484000,1752252485000,2531,0,-,84.7,0.0,3321856,5640192,3321856,5644288,89352,3380,219,47,0,16384,1,0,/input/data/work/ab/92aa7d948ce12b2b13062c538f72d4,true,-
-,97,siena09,e4/5d7d1b,nf-e45d7d1b32e1f4ef4e82184e7ff228b8-154ec,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,6_1-171115067,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_1-171115067),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1752252482725,1752252484000,1752252485000,2275,0,-,13.9,0.0,3252224,5640192,3252224,5644288,89329,3376,213,47,0,16384,1,1,/input/data/work/e4/5d7d1b32e1f4ef4e82184e7ff228b8,true,-
-,98,siena13,10/971231,nf-10971231c7c0f6b2bb782b2bad9fe819-4b726,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,7_1-159138663,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_1-159138663),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1752252482867,1752252484000,1752252485000,2133,0,-,14.4,0.0,3239936,5640192,3239936,5644288,89641,3375,223,47,110592,16384,1,1,/input/data/work/10/971231c7c0f6b2bb782b2bad9fe819,true,-
-,99,siena14,f0/cadde4,nf-f0cadde44cdef8ea6818de3ab474add9-66bae,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,X_1-155270560,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (X_1-155270560),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1752252483155,1752252485000,1752252488000,4845,3000,-,1.4,0.0,3235840,5640192,3235840,5644288,89379,3369,219,47,0,16384,3,5,/input/data/work/f0/cadde44cdef8ea6818de3ab474add9,true,-
-,100,siena15,a6/8b9303,nf-a68b9303175aee0457075b05ca53996c-c84f2,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,8_1-146364022,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_1-146364022),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1752252483365,1752252484000,1752252485000,1635,1000,-,10.7,0.0,3248128,5640192,3248128,5644288,89177,3360,213,47,0,16384,1,1,/input/data/work/a6/8b9303175aee0457075b05ca53996c,true,-
