cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,6,siena07,70/d31f11,nf-70d31f11fa6495d633598866118deae1-23dc8,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1761935891024,1761935891000,1761935897000,5976,3000,-,92.6,0.0,9822208,42328064,9822208,42336256,114386253,435495665,1088,13312,2523136,435499008,117,54,/input/data/work/70/d31f11fa6495d633598866118deae1,true,-
-,-,1,siena15,97/ac1b87,nf-97ac1b8732033724eb836020d4113464-23dc8,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1761935891638,1761935894000,1761935898000,6362,1000,-,77.7,0.0,2920448,11575296,2920448,11579392,11010621,33652556,508,1059,2531328,33701888,4,0,/input/data/work/97/ac1b8732033724eb836020d4113464,true,-
-,-,9,siena07,78/961f54,nf-78961f54df53199d63840e7b7194876e-23dc8,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1761935891843,1761935892000,1761935894000,2157,0,-,115.7,0.0,0,0,0,0,54252,2603,149,18,0,12288,0,0,/input/data/work/78/961f54df53199d63840e7b7194876e,true,-
-,-,4,siena09,8e/42e37c,nf-8e42e37c18fc4ee5eadf3cb8268cd6db-23dc8,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1761935891331,1761935896000,1761935899000,7669,0,-,82.0,0.0,2879488,11575296,2879488,11579392,9302169,37200249,494,1169,2551808,37253120,1,0,/input/data/work/8e/42e37c18fc4ee5eadf3cb8268cd6db,true,-
-,-,15,siena14,eb/f6711f,nf-ebf6711fea5f4fd0e1f6923cedf0d467-23dc8,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1761935891543,1761935896000,1761935910000,18457,11000,-,25.6,0.0,9879552,42328064,9879552,42336256,113276393,388442027,1080,11876,10944512,388448256,58,41,/input/data/work/eb/f6711fea5f4fd0e1f6923cedf0d467,true,-
-,-,90,siena07,07/e1934d,nf-07e1934dd2c14e550ce72e319e497f77-bd97a,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1761935910647,1761935911000,1761935915000,4353,4000,-,104.3,0.1,110456832,6797774848,110645248,7033196544,53571772,119120,7682,35,123715584,147456,1653,21,/input/data/work/07/e1934dd2c14e550ce72e319e497f77,true,-
-,-,89,siena09,cc/5fe6e1,nf-cc5fe6e1d3ad70865a09e3c203b5fbb9-c6790,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1761935910734,1761935911000,1761935914000,3266,1000,-,14.3,0.0,2875392,11575296,2875392,11579392,53342,2612,149,59,0,180224,3,2,/input/data/work/cc/5fe6e1d3ad70865a09e3c203b5fbb9,true,-
-,-,97,siena07,ae/d677c0,nf-aed677c03ccaaf7293427a8a88762d68-3f84c,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,6_1-171115067,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_1-171115067),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1761935972351,1761935973000,1761935974000,1649,0,-,120.8,0.0,3211264,5640192,3211264,5644288,89269,3379,221,48,0,16384,1,0,/input/data/work/ae/d677c03ccaaf7293427a8a88762d68,true,-
-,-,98,siena09,bb/cac937,nf-bbcac9375f51f79fd08b1bcddeb27dfa-5795a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,7_1-159138663,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_1-159138663),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1761935972442,1761935973000,1761935974000,1558,0,-,15.9,0.0,3166208,5640192,3166208,5644288,89264,3372,228,48,0,16384,3,4,/input/data/work/bb/cac9375f51f79fd08b1bcddeb27dfa,true,-
-,-,99,siena13,b7/f797ea,nf-b7f797eac088711d6bdf924983455790-8d12a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,X_1-155270560,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (X_1-155270560),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1761935972548,1761935973000,1761935979000,6452,5000,-,1.0,0.0,3153920,5640192,3153920,5644288,89295,3386,215,48,0,16384,9,5,/input/data/work/b7/f797eac088711d6bdf924983455790,true,-
