cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,3,siena07,e1/b73d43,nf-e1b73d43aafe80d06b460002923eeac8-920cc,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1761969584525,1761969584000,1761969587000,2475,0,-,57.8,0.0,0,0,0,0,54254,2602,149,18,0,12288,0,0,/input/data/work/e1/b73d43aafe80d06b460002923eeac8,true,-
-,-,10,siena07,f0/ced62c,nf-f0ced62c45fa45f0f6ceed3aa4bcc3db-920cc,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1761969585332,1761969585000,1761969588000,2668,1000,-,85.5,0.0,9498624,42192896,9498624,42201088,11011394,33652570,509,1059,2666496,33701888,32,1,/input/data/work/f0/ced62c45fa45f0f6ceed3aa4bcc3db,true,-
-,-,90,siena07,df/24baed,nf-df24baed101792266d2dd871be9c5be0-233d0,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1761969589652,1761969590000,1761969594000,4348,4000,-,101.5,0.1,143749120,6966345728,143749120,7033196544,53571775,119120,7682,35,123719680,147456,1648,38,/input/data/work/df/24baed101792266d2dd871be9c5be0,true,-
-,-,89,siena09,d7/d21fa9,nf-d7d21fa9c2f235a1344c7c9002129dad-b69ba,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1761969589725,1761969590000,1761969595000,5275,1000,-,4.7,0.0,2969600,11575296,2969600,11579392,53349,2611,149,59,0,180224,1,3,/input/data/work/d7/d21fa9c2f235a1344c7c9002129dad,true,-
-,-,2,siena13,20/75686e,nf-2075686ec34258565aab42f39d108ec7-920cc,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1761969584946,1761969591000,1761969603000,18054,10000,-,30.0,0.0,9699328,42328064,9699328,42336256,113276418,388442027,1080,11876,2686976,388448256,63,43,/input/data/work/20/75686ec34258565aab42f39d108ec7,true,-
-,-,9,siena14,f2/45d006,nf-f245d0060f07b2a9cd8865345bc157fc-920cc,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1761969585050,1761969592000,1761969594000,8950,0,-,70.6,0.0,2863104,11575296,2863104,11579392,9302176,37200249,494,1169,2551808,37253120,1,0,/input/data/work/f2/45d0060f07b2a9cd8865345bc157fc,true,-
-,-,13,siena13,6e/fbd91c,nf-6efbd91c342ef3bc1d4099d220581404-920cc,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1761969585445,1761969591000,1761969604000,18555,10000,-,31.0,0.0,9560064,42328064,9560064,42336256,114386266,435495665,1088,13312,0,435499008,30,42,/input/data/work/6e/fbd91c342ef3bc1d4099d220581404,true,-
-,-,92,siena14,88/4f3608,nf-884f3608b1b45fabca5c4c940d72f1ee-3d363,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1761969647524,1761969648000,1761969649000,1476,0,-,18.3,0.0,3280896,5640192,3280896,5644288,89271,3414,223,48,0,16384,5,6,/input/data/work/88/4f3608b1b45fabca5c4c940d72f1ee,true,-
-,-,95,siena12,59/3594c4,nf-593594c4e47bfa871759a755185af00c-04587,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,4_1-191154276,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_1-191154276),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1761969647936,1761969649000,1761969650000,2064,0,-,85.3,0.0,3219456,5640192,3219456,5644288,89275,3386,221,48,0,16384,5,5,/input/data/work/59/3594c4e47bfa871759a755185af00c,true,-
-,-,96,siena07,dc/a2006a,nf-dca2006ad211aa3c868d6a7194e00d0f-ffb84,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1761969648066,1761969648000,1761969649000,934,0,-,110.3,0.0,3219456,5640192,3219456,5644288,89272,3382,218,48,0,16384,1,0,/input/data/work/dc/a2006ad211aa3c868d6a7194e00d0f,true,-
