cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena14,90/d78e3f,nf-90d78e3fb67e30cadd1413cca27a7bb2-34743,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1756189119592,1756189126000,1756189129000,9408,0,-,16.7,0.0,2867200,11575296,2867200,11579392,689753,9274,249,19,0,20480,2,1,/input/data/work/90/d78e3fb67e30cadd1413cca27a7bb2,true,-
-,1,siena15,67/6d1e80,nf-676d1e80f6dd928008db47f499fd7e15-34743,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1756189119696,1756189129000,1756189154000,34304,21000,-,86.1,1.4,2743443456,2764152832,2743443456,2764156928,916295803,25693117,112012,3155,2453504,25702400,63,2106,/input/data/work/67/6d1e80f6dd928008db47f499fd7e15,true,-
-,3,siena13,7c/924f3c,nf-7c924f3c2533d942e23e2e90f8ab0a26-34743,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1756189119480,1756189126000,1756189159000,39520,29000,-,39.5,0.0,4829184,12410880,4829184,12414976,3147402604,5943,48263,21,0,16384,236,1896,/input/data/work/7c/924f3c2533d942e23e2e90f8ab0a26,true,-
-,214,siena11,44/aaa68f,nf-44aaa68f2932dfbe7a0903f637ba7fa5-fb829,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1756189166622,1756189167000,1756189169000,2378,0,-,75.0,0.0,2969600,11575296,2969600,11579392,101616,26538,197,24,4194304,20480,1,2,/input/data/work/44/aaa68f2932dfbe7a0903f637ba7fa5,true,-
-,6,siena14,59/2dd1cd,nf-592dd1cd589137cae66b98c6a9465766-ee1d1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756189135168,1756189136000,1756189200000,64832,62000,-,102.1,0.2,467705856,3825156096,468803584,3825160192,770942963,1748395,1472009,5502,8392704,2179072,11,6,/input/data/work/59/2dd1cd589137cae66b98c6a9465766,true,-
-,11,siena14,14/b64956,nf-14b64956582a6dc3498fe2d82f44061d-af243,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756189136369,1756189136000,1756189212000,75631,74000,-,103.4,0.2,402341888,3676913664,402341888,3678277632,942085805,1753531,1806274,5513,0,2240512,11,8,/input/data/work/14/b64956582a6dc3498fe2d82f44061d,true,-
-,57,siena12,cf/f3b853,nf-cff3b85389b874d7c354d38920f56c41-7e20d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756189144936,1756189147000,1756189209000,64064,59000,-,88.0,0.2,399908864,3676913664,401747968,3744026624,633527903,1726379,1203624,5450,0,2138112,8,8,/input/data/work/cf/f3b85389b874d7c354d38920f56c41,true,-
-,45,siena11,0d/b277e0,nf-0db277e0c70b67146153df36df8199d6-e352c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756189142895,1756189146000,1756189216000,73105,67000,-,86.1,0.2,407244800,3747172352,407244800,3812188160,670678127,1758070,1276180,5530,0,2203648,9,45,/input/data/work/0d/b277e0c70b67146153df36df8199d6,true,-
-,53,siena14,16/f5673b,nf-16f5673b23a4c41778aebc1ce62111cc-c265f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756189144421,1756189145000,1756189218000,73579,71000,-,87.0,0.2,489332736,3825156096,492474368,3828477952,751355456,1751362,1433752,5489,0,2244608,9,6,/input/data/work/16/f5673b23a4c41778aebc1ce62111cc,true,-
-,55,siena13,56/d27272,nf-56d27272b0340ca98a6450a422938b83-668a8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756189144635,1756189145000,1756189216000,71365,53000,-,95.9,0.2,407506944,3679010816,407506944,3679014912,610681703,1723930,1159001,5449,0,2146304,6,2,/input/data/work/56/d27272b0340ca98a6450a422938b83,true,-
