task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,siena13,3b/84d4b1,nf-3b84d4b1655ba6278a13c656062fd251-e2461,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1756131792329,1756131795000,1756131814000,21671,0,-,69.8,0.0,2871296,11575296,2871296,11579392,689671,9269,247,18,0,20480,2,1,/input/data/work/3b/84d4b1655ba6278a13c656062fd251,true,-,-,-,33,4925
3,siena14,4c/c57a2d,nf-4cc57a2d2cf1b98e04786d9c4faa0c94-e2461,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1756131792531,1756131798000,1756131833000,40469,19000,-,94.5,1.4,2854932480,2876121088,2854932480,2876125184,916295713,25693112,112010,3154,0,25702400,19,666,/input/data/work/4c/c57a2d2cf1b98e04786d9c4faa0c94,true,-,-,-,8,154
2,siena15,73/aa357a,nf-73aa357a92e85886135f228054730442-7d640,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1756131792708,1756131797000,1756131854000,61292,41000,-,28.4,0.0,4829184,12410880,4829184,12414976,3147402531,5939,48261,20,0,16384,276,5387,/input/data/work/73/aa357a92e85886135f228054730442,true,-,-,-,35,140
214,siena07,79/874e0a,nf-79874e0ac3cdbe575802006ca4a1fe4c-8e831,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1756131858638,1756131859000,1756131860000,1362,0,-,76.6,0.0,3616768,16461824,3616768,16465920,101544,26533,195,23,4214784,20480,4,0,/input/data/work/79/874e0ac3cdbe575802006ca4a1fe4c,true,-,-,-,5,135
55,siena14,b1/e97053,nf-b1e970538c706bc0c94f1964f811c94d-adeb8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756131824996,1756131826000,1756131877000,52004,50000,-,103.7,0.2,400830464,3608752128,401678336,3675865088,610681732,1723925,1158999,5448,0,2162688,11,13,/input/data/work/b1/e970538c706bc0c94f1964f811c94d,true,-,-,-,3,24
58,siena12,64/cd58ea,nf-64cd58ea49899475ccb04f9d17b271b6-4a880,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756131825127,1756131826000,1756131877000,51873,49000,-,103.9,0.2,400748544,3745075200,401805312,3812188160,633527683,1726374,1203622,5470,0,2121728,11,8,/input/data/work/64/cd58ea49899475ccb04f9d17b271b6,true,-,-,-,7,95
44,siena14,a2/e2d8e0,nf-a2e2d8e0e64d3f41babe47a5c969e00d-d9476,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756131824378,1756131824000,1756131881000,56622,55000,-,103.6,0.2,400760832,3608752128,400760832,3675865088,670678150,1758065,1276179,5508,0,2236416,11,8,/input/data/work/a2/e2d8e0e64d3f41babe47a5c969e00d,true,-,-,-,4,85
31,siena15,d4/31db1e,nf-d431db1e85a350deb9b3c2d3e3b1da5f-c58ea,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756131822869,1756131823000,1756131886000,63131,62000,-,102.7,0.2,463163392,3823058944,463163392,3824775168,762635973,1749768,1455785,5510,4198400,2211840,64,60,/input/data/work/d4/31db1e85a350deb9b3c2d3e3b1da5f,true,-,-,-,5,172
51,siena09,71/108281,nf-7110828110a5e4fd5d444881b791e7b5-5c7fd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756131824721,1756131825000,1756131887000,62279,61000,-,102.8,0.2,402321408,3676913664,402321408,3678277632,732359390,1758298,1396646,5520,4198400,2179072,11,10,/input/data/work/71/10828110a5e4fd5d444881b791e7b5,true,-,-,-,4,32
6,siena12,3f/e565d5,nf-3fe565d5286426e24c38f46dfc1a8720-b265d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756131818587,1756131825000,1756131888000,69413,62000,-,102.8,0.2,491380736,3825156096,492572672,3826622464,770943129,1748390,1472008,5501,0,2203648,6,2,/input/data/work/3f/e565d5286426e24c38f46dfc1a8720,true,-,-,-,6,192
