cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena13,c4/ad3548,nf-c4ad3548d91493a2da13ff339a6e0bda-9f30a,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1757059214106,1757059217000,1757059219000,4894,0,-,41.1,0.0,2879488,11575296,2879488,11579392,689966,9279,249,19,5029888,20480,1,1,/input/data/work/c4/ad3548d91493a2da13ff339a6e0bda,true,-
-,-,3,siena07,08/42d9c8,nf-0842d9c88f8fc046ed7b4ff83d53bd3c-9f30a,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1757059213904,1757059214000,1757059226000,12096,12000,-,90.5,0.0,4788224,12410880,4788224,12414976,3147402829,5949,48263,21,0,16384,1,92,/input/data/work/08/42d9c88f8fc046ed7b4ff83d53bd3c,true,-
-,-,1,siena09,03/cc6427,nf-03cc6427f215c79c2bebfc7ccca3b977-9f30a,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1757059214006,1757059215000,1757059239000,24994,21000,-,91.3,1.4,2853048320,2873950208,2853048320,2873954304,916296016,25693122,112012,3155,2453504,25702400,53,645,/input/data/work/03/cc6427f215c79c2bebfc7ccca3b977,true,-
-,-,12,siena13,e7/edd0c0,nf-e7edd0c08d9682141612354152c9dd72-f2af5,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1757059246275,1757059257000,1757059260000,13725,0,-,20.1,0.0,2891776,11575296,2891776,11579392,101831,26543,197,24,761856,20480,2,1,/input/data/work/e7/edd0c08d9682141612354152c9dd72,true,-
-,-,56,siena12,56/23ffee,nf-5623ffee0f738cb0d83af932f0b88aaa-2dd9d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757059250322,1757059251000,1757059302000,51678,49000,-,104.1,0.2,401145856,3676913664,401948672,3678220288,610681771,1723933,1159001,5428,6279168,2117632,11,9,/input/data/work/56/23ffee0f738cb0d83af932f0b88aaa,true,-
-,-,46,siena12,01/ec31b8,nf-01ec31b8b0036795b7788bcbec61bf1d-61839,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757059249881,1757059250000,1757059309000,59119,57000,-,103.3,0.2,462467072,3756994560,462467072,3819913216,670678191,1758073,1276179,5530,0,2203648,11,8,/input/data/work/01/ec31b8b0036795b7788bcbec61bf1d,true,-
-,-,6,siena15,62/a39b3f,nf-62a39b3f1cb2dbc3c62187a0cded0126-90c71,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757059245171,1757059248000,1757059313000,67829,63000,-,102.9,0.2,402296832,3608752128,402841600,3675865088,770943279,1748395,1472011,5481,26251264,2183168,112,31,/input/data/work/62/a39b3f1cb2dbc3c62187a0cded0126,true,-
-,-,16,siena07,a9/2fbac1,nf-a92fbac19181527e3adf8fe161956a5e-53f5f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757059247168,1757059247000,1757059316000,68832,67000,-,102.7,0.2,484462592,3756994560,486526976,3816382464,821980465,1746350,1571690,5485,50319360,2195456,117,1,/input/data/work/a9/2fbac19181527e3adf8fe161956a5e,true,-
-,-,33,siena15,7f/9a7f4d,nf-7f9a7f4dfdcad804294bd0d052da6e9f-01f10,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757059248913,1757059249000,1757059313000,64087,62000,-,102.3,0.2,480456704,3825156096,480456704,3828944896,762636117,1749773,1455787,5511,15073280,2183168,10,9,/input/data/work/7f/9a7f4dfdcad804294bd0d052da6e9f,true,-
-,-,39,siena14,5a/32be60,nf-5a32be60e1665f4e62fcf72666091cf6-0923a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757059249302,1757059250000,1757059312000,62698,60000,-,102.4,0.2,401973248,3745075200,401973248,3812188160,730886255,1745741,1393774,5522,6086656,2170880,11,8,/input/data/work/5a/32be60e1665f4e62fcf72666091cf6,true,-
