cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena07,a4/b291a8,nf-a4b291a85d72c9103dc87b3ee7bcbddc-3ea60,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1757075173295,1757075173000,1757075186000,12705,12000,-,90.9,0.0,4845568,12410880,4845568,12414976,3147402829,5949,48263,21,4096,16384,2,103,/input/data/work/a4/b291a85d72c9103dc87b3ee7bcbddc,true,-
-,-,3,siena13,b5/c46cf3,nf-b5c46cf3a1c3af072db04d14a970b6a9-3ea60,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1757075173500,1757075178000,1757075204000,30500,1000,-,55.2,0.0,2916352,11575296,2916352,11579392,689966,9279,249,19,0,20480,2,1,/input/data/work/b5/c46cf3a1c3af072db04d14a970b6a9,true,-
-,-,4,siena14,31/13a6cc,nf-3113a6cc093a728ab9972888f0822e56-34851,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1757075188907,1757075197000,1757075207000,18093,3000,-,1.3,0.0,10850304,53891072,10850304,53895168,101836,26542,197,24,593920,20480,25,9,/input/data/work/31/13a6cc093a728ab9972888f0822e56,true,-
-,-,2,siena09,02/45ac01,nf-0245ac0181e12022e4aa180dbf48e731-3ea60,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1757075173406,1757075184000,1757075226000,52594,21000,-,85.0,1.4,2895966208,2917593088,2895966208,2917597184,916296016,25693122,112012,3155,208896,25702400,29,1406,/input/data/work/02/45ac0181e12022e4aa180dbf48e731,true,-
-,-,51,siena14,56/9d3425,nf-569d34251b164ec520ed503ba1c31e7f-58e75,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757075213675,1757075218000,1757075269000,55325,49000,-,103.9,0.2,403877888,3676913664,403877888,3678220288,610681782,1723933,1159000,5449,0,2117632,9,5,/input/data/work/56/9d34251b164ec520ed503ba1c31e7f,true,-
-,-,43,siena12,d9/63ecb3,nf-d963ecb372d0b2d5440951c346c6bc89-30387,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757075213019,1757075213000,1757075271000,57981,56000,-,103.2,0.2,402452480,3745075200,402452480,3812188160,670678192,1758073,1276180,5530,4198400,2162688,12,11,/input/data/work/d9/63ecb372d0b2d5440951c346c6bc89,true,-
-,-,54,siena14,3a/2ed7ec,nf-3a2ed7ec72f3be29d83f8068693afe2c-58e75,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757075213697,1757075218000,1757075272000,58303,52000,-,102.4,0.2,481275904,3756994560,481554432,3810091008,633528248,1726382,1203626,5429,0,2142208,6,3,/input/data/work/3a/2ed7ec72f3be29d83f8068693afe2c,true,-
-,-,11,siena07,ef/602563,nf-ef60256393b354661d29b5055b9bdb31-8c4af,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757075209476,1757075210000,1757075277000,67524,65000,-,103.7,0.2,401678336,3608752128,401678336,3673767936,807659088,1747926,1543718,5509,2052096,2179072,25,0,/input/data/work/ef/60256393b354661d29b5055b9bdb31,true,-
-,-,7,siena15,d3/1781d0,nf-d31781d087dab4751757a94696e38981-5ba6c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757075208682,1757075215000,1757075280000,71318,63000,-,103.7,0.2,406568960,3679010816,406568960,3679014912,770943289,1748395,1472011,5481,0,2187264,6,4,/input/data/work/d3/1781d087dab4751757a94696e38981,true,-
-,-,28,siena07,e7/f20024,nf-e7f200246dfa1ad4639c8ced06066ccb-dbc9c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757075212384,1757075213000,1757075276000,63616,61000,-,103.2,0.2,472752128,3756994560,472752128,3756998656,762636334,1749776,1455787,5490,0,2166784,3,3,/input/data/work/e7/f200246dfa1ad4639c8ced06066ccb,true,-
