cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena07,c1/f34f0e,nf-c1f34f0e25830f372bd42814cd5764d4-09746,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1767618950972,1767618952000,1767618963000,12028,10000,-,100.2,0.0,4882432,12410880,4882432,12414976,3147402867,5952,48263,21,6848512,16384,21,33,/input/data/work/c1/f34f0e25830f372bd42814cd5764d4,true,-
-,-,3,siena09,f1/798330,nf-f1798330e13928290085fb24eab7652e-09746,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1767618951233,1767618954000,1767618973000,21767,2000,-,2.3,0.0,2969600,11575296,2969600,11579392,689994,9280,249,19,282624,20480,2,4,/input/data/work/f1/798330e13928290085fb24eab7652e,true,-
-,-,4,siena14,37/7fab81,nf-377fab814d2b4826b3bd0f72d8487972-d65da,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1767618964372,1767618972000,1767618977000,12628,2000,-,2.3,0.0,11145216,53891072,11145216,53895168,101875,26544,197,24,0,20480,17,3,/input/data/work/37/7fab814d2b4826b3bd0f72d8487972,true,-
-,-,2,siena13,29/87805b,nf-2987805b2a33ba49aafc6cdc2cd80ce9-e9897,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1767618951424,1767618953000,1767618989000,37576,18000,-,99.4,1.4,2856574976,2877743104,2856574976,2877747200,916296048,25693124,112012,3155,2772992,25702400,62,298,/input/data/work/29/87805b2a33ba49aafc6cdc2cd80ce9,true,-
-,-,11,siena07,04/b98129,nf-04b98129ef61358a21cb54b0762fbfd9-df0ec,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767618980065,1767618980000,1767619047000,66935,65000,-,104.2,0.5,1038098432,4628340736,1038098432,4629704704,807658620,1747928,1543716,5488,32276480,2179072,67,1,/input/data/work/04/b98129ef61358a21cb54b0762fbfd9,true,-
-,-,7,siena15,ee/a35cdc,nf-eea35cdc2f81ebb19be1935da6de908b-b74ab,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767618979267,1767618985000,1767619048000,68733,60000,-,104.5,0.5,1040547840,4764663808,1040547840,4831776768,770942970,1748400,1472008,5481,0,2162688,6,3,/input/data/work/ee/a35cdc2f81ebb19be1935da6de908b,true,-
-,-,14,siena13,cf/faa9bf,nf-cffaa9bf64e10e06efc7904ae4ca0500-52c23,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767618980467,1767618981000,1767619048000,67533,65000,-,104.3,0.5,1039618048,4764663808,1039618048,4766027776,821980180,1746352,1571689,5506,4198400,2207744,13,9,/input/data/work/cf/faa9bf64e10e06efc7904ae4ca0500,true,-
-,-,15,siena12,70/dc3696,nf-70dc3696a6f3a74bbed82e0f0857f351-444d3,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767618981067,1767618981000,1767619053000,71933,70000,-,104.4,0.5,1039339520,4832825344,1039339520,4899938304,886090156,1754307,1696907,5482,4198400,2199552,11,12,/input/data/work/70/dc3696a6f3a74bbed82e0f0857f351,true,-
-,-,17,siena09,a2/dc539e,nf-a2dc539e742f9ab3aa8678d74e95d478-7ed8f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767618981468,1767618984000,1767619051000,69532,65000,-,103.3,0.5,1038610432,4696502272,1038610432,4763615232,827167071,1751201,1581818,5491,0,2191360,11,10,/input/data/work/a2/dc539e742f9ab3aa8678d74e95d478,true,-
-,-,21,siena07,c6/dd7c2c,nf-c6dd7c2c2989d45a7b2eb77ab58aff21-7906e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767618982060,1767618982000,1767619056000,73940,72000,-,104.0,0.6,1133281280,4916305920,1133281280,4975824896,873361916,1762717,1672042,5511,0,2248704,3,1,/input/data/work/c6/dd7c2c2989d45a7b2eb77ab58aff21,true,-
