cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,3,siena13,b0/27d79a,nf-b027d79a4b61cd505c8450658218e774-bf95a,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1757104966769,1757104973000,1757104999000,32231,2000,-,2.5,0.0,2920448,11575296,2920448,11579392,689966,9278,249,19,0,20480,2,0,/input/data/work/b0/27d79a4b61cd505c8450658218e774,true,-
-,-,1,siena07,6e/bc8ea4,nf-6ebc8ea45589eb268dffe3cbdfcbc988-3120b,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1757104966278,1757104967000,1757105012000,45722,43000,-,43.2,1.4,2884382720,2905477120,2884382720,2905481216,916296019,25693122,112012,3155,835584,25702400,476,5052,/input/data/work/6e/bc8ea45589eb268dffe3cbdfcbc988,true,-
-,-,2,siena09,d0/ebf808,nf-d0ebf808c1c53589ae3b8b1c6fbf44db-6a2b3,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1757104966581,1757104977000,1757105027000,60419,37000,-,31.8,0.0,4947968,12410880,4947968,12414976,3147402830,5949,48263,21,8192,16384,255,3197,/input/data/work/d0/ebf808c1c53589ae3b8b1c6fbf44db,true,-
-,-,214,siena09,e1/acf061,nf-e1acf061ce289ecc20f234dee6aa9666-303a8,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1757105030373,1757105030000,1757105033000,2627,0,-,93.5,0.0,2883584,11575296,2883584,11579392,101836,26543,197,24,4792320,20480,5,19,/input/data/work/e1/acf061ce289ecc20f234dee6aa9666,true,-
-,-,51,siena07,d2/f7f016,nf-d2f7f01627828d278116e279b5ce09a6-f08e2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757105007929,1757105008000,1757105059000,51071,49000,-,103.2,0.2,401088512,3676913664,401088512,3678212096,610681841,1723933,1159001,5428,18165760,2138112,3,0,/input/data/work/d2/f7f01627828d278116e279b5ce09a6,true,-
-,-,53,siena14,5d/15dca1,nf-5d15dca120764a2e3f0c4b4acbf6ab2b-50a2a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757105008017,1757105008000,1757105062000,53983,52000,-,102.9,0.2,476241920,3756994560,477437952,3758456832,633528247,1726382,1203625,5471,0,2138112,11,9,/input/data/work/5d/15dca120764a2e3f0c4b4acbf6ab2b,true,-
-,-,42,siena07,16/821303,nf-16821303c561f68c122e97715a182944-62c15,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757105007034,1757105008000,1757105066000,58966,56000,-,102.6,0.2,489283584,3688833024,494260224,3693187072,670678258,1758073,1276180,5509,0,2203648,3,26,/input/data/work/16/821303c561f68c122e97715a182944,true,-
-,-,39,siena14,0f/65cb60,nf-0f65cb60b7bd3b83a7e90886500d84b2-c7cb7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757105006743,1757105007000,1757105070000,63257,61000,-,103.0,0.2,403296256,3608752128,403296256,3675865088,741637343,1748840,1414769,5512,0,2195456,15,10,/input/data/work/0f/65cb60b7bd3b83a7e90886500d84b2,true,-
-,-,18,siena14,a6/42221f,nf-a642221f7910eba1dbce16e7c09f79df-4e2e3,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757105004976,1757105006000,1757105074000,69024,66000,-,103.3,0.2,464351232,3820961792,465068032,3823546368,827167827,1751197,1581821,5470,4198400,2269184,11,6,/input/data/work/a6/42221f7910eba1dbce16e7c09f79df,true,-
-,-,30,siena09,94/e1ed58,nf-94e1ed588d591a7254e34d29db63b15e-0b3bf,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757105005979,1757105006000,1757105071000,65021,61000,-,102.2,0.2,452182016,3825156096,452182016,3888074752,762635999,1749776,1455786,5490,0,2236416,11,8,/input/data/work/94/e1ed588d591a7254e34d29db63b15e,true,-
