cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena09,1c/75b516,nf-1c75b51622cfe304893928be18d97c0c-45d58,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1757091131471,1757091135000,1757091164000,32529,4000,-,1.2,0.0,2879488,11575296,2879488,11579392,689968,9278,249,19,5029888,20480,2,1,/input/data/work/1c/75b51622cfe304893928be18d97c0c,true,-
-,-,3,siena07,87/5282e8,nf-875282e8a38da7dc2c5f1ec01757ba29-45d58,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1757091131294,1757091131000,1757091179000,47706,46000,-,40.4,1.4,2852454400,2873417728,2852454400,2873421824,916296019,25693122,112012,3155,2322432,25702400,467,5642,/input/data/work/87/5282e8a38da7dc2c5f1ec01757ba29,true,-
-,-,1,siena13,54/9f5434,nf-549f543451126ce9bec6464e83828b85-45d58,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1757091131572,1757091140000,1757091188000,56428,29000,-,39.7,0.0,4780032,12410880,4780032,12414976,3147402828,5949,48263,21,0,16384,246,2269,/input/data/work/54/9f543451126ce9bec6464e83828b85,true,-
-,-,214,siena07,df/ef8323,nf-dfef83238a21e584d63a55e4aeff63aa-ad0b7,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1757091190284,1757091190000,1757091193000,2716,0,-,67.9,0.0,7733248,32800768,7733248,32804864,101836,26543,197,24,1069056,20480,23,4,/input/data/work/df/ef83238a21e584d63a55e4aeff63aa,true,-
-,-,6,siena15,75/adf308,nf-75adf30806127c9c336e8b50ab7dd7b9-8b4b3,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757091167082,1757091171000,1757091235000,67918,62000,-,101.9,0.2,481468416,3825156096,481853440,3829444608,770943052,1748395,1472010,5481,4198400,2179072,23,20,/input/data/work/75/adf30806127c9c336e8b50ab7dd7b9,true,-
-,-,30,siena13,55/365bf5,nf-55365bf57eda811fda5935af41af8374-81fc4,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757091170883,1757091171000,1757091236000,65117,62000,-,102.0,0.2,422694912,3752800256,422694912,3817816064,762636268,1749776,1455786,5490,0,2203648,11,8,/input/data/work/55/365bf57eda811fda5935af41af8374,true,-
-,-,45,siena14,d4/c6dfa3,nf-d4c6dfa311d3c75714bd9e8267ec59db-b3826,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757091171809,1757091178000,1757091235000,63191,55000,-,101.4,0.2,402374656,3676913664,402477056,3678212096,670678094,1758075,1276179,5530,0,2162688,10,5,/input/data/work/d4/c6dfa311d3c75714bd9e8267ec59db,true,-
-,-,13,siena15,2e/4e31dd,nf-2e4e31dd3fe23f45cc83a49fccd82ef7-b6f90,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757091168586,1757091171000,1757091240000,71414,67000,-,102.4,0.2,477622272,3756994560,478957568,3817816064,821980532,1746347,1571691,5506,4198400,2228224,19,13,/input/data/work/2e/4e31dd3fe23f45cc83a49fccd82ef7,true,-
-,-,29,siena07,76/88b2df,nf-7688b2df4dcd43f7a5973102580404fd-97666,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757091170774,1757091171000,1757091238000,67226,65000,-,103.9,0.2,403615744,3676913664,403660800,3678277632,804250251,1755184,1537062,5480,0,2260992,3,2,/input/data/work/76/88b2df4dcd43f7a5973102580404fd,true,-
-,-,37,siena09,25/e1ecd9,nf-25e1ecd9719c01ae1a8d07db0a7a78f4-ecb76,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1757091171282,1757091176000,1757091239000,67718,61000,-,103.8,0.2,405381120,3676913664,405860352,3744026624,730886209,1745723,1393774,5501,0,2170880,6,3,/input/data/work/25/e1ecd9719c01ae1a8d07db0a7a78f4,true,-
