cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena07,f1/1bae0e,nf-f11bae0e4a8120d5df41d4c696f002f6-c8522,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1759815155080,1759815156000,1759815158000,2920,0,-,81.1,0.0,9519104,32706560,9519104,32710656,690129,9283,249,19,5029888,20480,34,1,wow://input/data/work/f1/1bae0e4a8120d5df41d4c696f002f6,true,-
-,-,3,siena07,5d/20e8b9,nf-5d20e8b91e3fd3da046a97d19cd351e7-c8522,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1759815154874,1759815155000,1759815166000,11126,10000,-,100.1,0.0,4890624,12410880,4890624,12414976,3147402990,5953,48263,21,8380416,16384,28,72,wow://input/data/work/5d/20e8b91e3fd3da046a97d19cd351e7,true,-
-,-,214,siena13,17/9023ec,nf-179023ec7836a1fb2a0a164f9a3201e5-66739,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1759815181488,1759815183000,1759815186000,4512,0,-,26.8,0.0,2957312,11575296,2957312,11579392,101784,26540,197,24,1273856,20480,2,2,wow://input/data/work/17/9023ec7836a1fb2a0a164f9a3201e5,true,-
-,-,2,siena07,ca/19d928,nf-ca19d92863de7e947de60920d95b1f67-c8522,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1759815154985,1759815156000,1759815204000,49015,46000,-,40.3,1.4,2909097984,2930434048,2909097984,2930438144,916296177,25693126,112012,3155,2322432,25702400,348,22634,wow://input/data/work/ca/19d92863de7e947de60920d95b1f67,true,-
-,-,6,siena07,21/9adfee,nf-219adfeeca081d6bd4bfcd02c446bb7e-6d4dd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759815161470,1759815162000,1759815247000,85530,83000,-,77.6,0.5,1040568320,4696502272,1040568320,4763615232,770943772,1748401,1472008,5481,2383872,2224128,29,1,wow://input/data/work/21/9adfeeca081d6bd4bfcd02c446bb7e,true,-
-,-,10,siena09,31/a043a9,nf-31a043a989f745a5f88a782f49e9093e-423b7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759815162269,1759815163000,1759815249000,86731,63000,-,104.3,0.5,1039835136,4696502272,1039835136,4761518080,807659278,1747930,1543716,5509,5869568,2179072,6,2,wow://input/data/work/31/a043a989f745a5f88a782f49e9093e,true,-
-,-,20,siena11,be/9899eb,nf-be9899ebdc8d12543341c015e39c510b-21ac7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759815164489,1759815165000,1759815248000,83511,66000,-,104.0,0.6,1129406464,4912906240,1147584512,4939767808,827167832,1751203,1581818,5470,55189504,2207744,121,3,wow://input/data/work/be/9899ebdc8d12543341c015e39c510b,true,-
-,-,4,siena07,f1/6cec24,nf-f16cec24be7ebfc1a0c9bd62cd08eaad-6d4dd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759815161774,1759815163000,1759815252000,90226,86000,-,80.9,0.6,1127890944,4844744704,1127890944,4871606272,836339675,1751065,1599732,5469,0,2289664,3,0,wow://input/data/work/f1/6cec24be7ebfc1a0c9bd62cd08eaad,true,-
-,-,13,siena14,dc/aaf42d,nf-dcaaf42d431dcca1f02c86bd80969d4d-2cde9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759815164006,1759815165000,1759815252000,87994,65000,-,104.8,0.5,1040924672,4832825344,1040924672,4899938304,821980934,1746354,1571689,5506,30380032,2195456,102,7,wow://input/data/work/dc/aaf42d431dcca1f02c86bd80969d4d,true,-
-,-,14,siena15,71/2d1a06,nf-712d1a068538462a045f18e1da46c653-2cde9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759815164168,1759815165000,1759815255000,90832,70000,-,104.2,0.5,1040932864,4832825344,1040932864,4899938304,886090949,1754312,1696906,5524,51003392,2224128,119,3,wow://input/data/work/71/2d1a068538462a045f18e1da46c653,true,-
