cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena07,0a/1f10b8,nf-0a1f10b83b0145dd7c8294bc26bb9d5f-4403b,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1756971936269,1756971937000,1756971939000,2731,0,-,65.2,0.0,9043968,32706560,9043968,32710656,689966,9279,249,19,5029888,20480,31,0,wow://input/data/work/0a/1f10b83b0145dd7c8294bc26bb9d5f,true,-
-,-,3,siena07,a1/c74b42,nf-a1c74b4269d332c3783655ddcf5d2a5f-4403b,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1756971936429,1756971937000,1756971949000,12571,11000,-,92.3,0.0,4935680,12410880,4935680,12414976,3147402825,5949,48263,21,1662976,16384,10,116,wow://input/data/work/a1/c74b4269d332c3783655ddcf5d2a5f,true,-
-,-,214,siena07,f3/22f2e5,nf-f322f2e544390a53b8d4eded2f08fe7e-883cb,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1756971960837,1756971961000,1756971963000,2163,0,-,135.8,0.0,2863104,11575296,2863104,11579392,101830,26544,197,24,741376,20480,1,0,wow://input/data/work/f3/22f2e544390a53b8d4eded2f08fe7e,true,-
-,-,1,siena07,d0/8013b7,nf-d08013b76ab63a6259410d78bf9e46f8-4403b,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1756971936072,1756971937000,1756971976000,39928,37000,-,48.7,1.4,2888671232,2910150656,2888671232,2910154752,916296015,25693122,112012,3155,2330624,25702400,60,7181,wow://input/data/work/d0/8013b76ab63a6259410d78bf9e46f8,true,-
-,-,46,siena12,a8/dcc8f4,nf-a8dcc8f4ce0eafc8975a890e60f2d82e-7f688,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756971949022,1756971950000,1756972010000,60978,55000,-,104.6,0.2,401285120,3676913664,401448960,3678277632,670679078,1758073,1276181,5530,19705856,2183168,11,9,wow://input/data/work/a8/dcc8f4ce0eafc8975a890e60f2d82e,true,-
-,-,41,siena12,29/d3a26d,nf-29d3a26dc023963e2d6037902d615a7c-6872e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756971948668,1756971949000,1756972018000,69332,65000,-,96.6,0.2,400695296,3676913664,400695296,3678277632,741638219,1748841,1414771,5470,4194304,2207744,8,9,wow://input/data/work/29/d3a26dc023963e2d6037902d615a7c,true,-
-,-,48,siena12,c2/14bf30,nf-c214bf300f089d9af604d8c36582ce0a-a6612,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756971949132,1756971950000,1756972018000,68868,66000,-,99.2,0.2,400842752,3608752128,400842752,3610116096,780321520,1754321,1490325,5500,0,2220032,11,8,wow://input/data/work/c2/14bf300f089d9af604d8c36582ce0a,true,-
-,-,7,siena07,21/e4368c,nf-21e4368c6a00a2e396a68c6705dfe342-403d1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756971943069,1756971943000,1756972021000,77931,76000,-,86.7,0.2,478040064,3756994560,479510528,3819913216,770943865,1748398,1472009,5481,46174208,2293760,115,1,wow://input/data/work/21/e4368c6a00a2e396a68c6705dfe342,true,-
-,-,10,siena07,1b/953197,nf-1b95319731e13141185d5c79b7b8367c-3e7bf,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756971943687,1756971944000,1756972022000,78313,76000,-,88.5,0.2,404271104,3676913664,404946944,3678277632,807659717,1747925,1543718,5509,2629632,2293760,3,2,wow://input/data/work/1b/95319731e13141185d5c79b7b8367c,true,-
-,-,29,siena14,9b/60cc65,nf-9b60cc652098cd8a46baf6901cbac668-6fc7b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1756971947417,1756971948000,1756972020000,72583,65000,-,103.9,0.2,402870272,3813236736,402894848,3880349696,804250822,1755184,1537062,5522,51023872,2183168,122,3,wow://input/data/work/9b/60cc652098cd8a46baf6901cbac668,true,-
