cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena07,fc/442d5e,nf-fc442d5e9aae2eca73fc20be4df506b1-7701c,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1767580709795,1767580710000,1767580713000,3205,0,-,17.6,0.0,3084288,23150592,3084288,23154688,690004,9281,249,19,5029888,20480,2,2,wow://input/data/work/fc/442d5e9aae2eca73fc20be4df506b1,true,-
-,2,siena07,53/087e89,nf-53087e89dab2a6399bb53c9eef3cf997-7701c,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1767580709659,1767580710000,1767580721000,11341,10000,-,100.2,0.0,4853760,12410880,4853760,12414976,3147402865,5952,48263,21,0,16384,1,37,wow://input/data/work/53/087e89dab2a6399bb53c9eef3cf997,true,-
-,163,siena09,af/53f37d,nf-af53f37d6ec30333ea0a328530e97a80-77629,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1767580738821,1767580740000,1767580742000,3179,0,-,45.3,0.0,2899968,11575296,2899968,11579392,101858,26545,197,24,5066752,20480,3,2,wow://input/data/work/af/53f37d6ec30333ea0a328530e97a80,true,-
-,3,siena07,2c/e24600,nf-2ce246007d292bcb9c041ef9748c8586-ff5de,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1767580709938,1767580711000,1767580757000,47062,44000,-,43.3,1.4,2852982784,2873958400,2852982784,2873962496,916296052,25693124,112012,3155,843776,25702400,151,33743,wow://input/data/work/2c/e246007d292bcb9c041ef9748c8586,true,-
-,7,siena07,03/09bcf9,nf-0309bcf9e60a0f416d14789bbac8cef7-19e19,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767580719994,1767580721000,1767580800000,80006,77000,-,84.1,0.5,1062150144,4840550400,1062150144,4899938304,770943502,1748399,1472008,5502,25554944,2244608,50,1,wow://input/data/work/03/09bcf9e60a0f416d14789bbac8cef7,true,-
-,15,siena11,c5/a80758,nf-c5a80758010b5a4638c30b7e4237053a-6b8fb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767580722156,1767580723000,1767580801000,78844,67000,-,101.9,0.5,1044709376,4764663808,1044709376,4831776768,821980624,1746348,1571690,5506,50933760,2179072,121,2,wow://input/data/work/c5/a80758010b5a4638c30b7e4237053a,true,-
-,4,siena07,8f/d0fb2a,nf-8fd0fb2a41849b1f1efd12f30eddb820-92d19,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767580720357,1767580721000,1767580806000,85643,83000,-,85.1,0.5,1044480000,4903084032,1044480000,4903088128,836372172,1751063,1599741,5469,0,2301952,3,1,wow://input/data/work/8f/d0fb2a41849b1f1efd12f30eddb820,true,-
-,10,siena13,cb/a39a49,nf-cba39a49194e8feb2226637b8ba4768b-dca65,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767580721256,1767580722000,1767580805000,83744,68000,-,98.2,0.5,1038327808,4696502272,1038327808,4761518080,807659180,1747929,1543715,5509,28766208,2179072,96,2,wow://input/data/work/cb/a39a49194e8feb2226637b8ba4768b,true,-
-,11,siena14,0d/73bfa8,nf-0d73bfa8038ec6d6866d2f9af264011d-ae371,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767580721381,1767580722000,1767580810000,88619,76000,-,101.1,0.6,1132580864,4912906240,1135616000,4912910336,942085927,1753539,1806271,5492,19652608,2215936,96,3,wow://input/data/work/0d/73bfa8038ec6d6866d2f9af264011d,true,-
-,16,siena12,63/999a00,nf-63999a0084f37efe9104fd06f60d767d-573ac,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767580722787,1767580723000,1767580810000,87213,70000,-,103.7,0.5,1041170432,4764663808,1041170432,4765962240,886090770,1754307,1696906,5524,50995200,2215936,119,4,wow://input/data/work/63/999a0084f37efe9104fd06f60d767d,true,-
-,19,siena07,e1/d21af4,nf-e1d21af467a36821e6aac67ce6296947-b6e94,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767580722990,1767580724000,1767580818000,95010,92000,-,88.8,0.6,1132769280,4912906240,1133838336,4978225152,1006890254,1751387,1932843,5517,0,2318336,3,2,wow://input/data/work/e1/d21af467a36821e6aac67ce6296947,true,-
-,12,siena15,d7/55bdfe,nf-d755bdfe37469e7abd97ca40f24a2478-58375,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767580721957,1767580723000,1767580822000,100043,83000,-,102.1,0.5,1040011264,4832825344,1040011264,4899938304,1042605508,1756190,2002538,5481,15667200,2252800,88,4,wow://input/data/work/d7/55bdfe37469e7abd97ca40f24a2478,true,-
-,9,siena09,19/c4f18b,nf-19c4f18b8b541583515d59ab35605056-b49cb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1767580720556,1767580721000,1767580838000,117444,102000,-,100.0,0.5,1039802368,4900986880,1039802368,4968099840,1241572243,1747024,2391145,5505,23318528,2318336,93,2,wow://input/data/work/19/c4f18b8b541583515d59ab35605056,true,-
-,13,siena15,41/f25c4c,nf-41f25c4c15d904c71550d084f2e002eb-f436f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,12,57600000,-,77309411328,1,1767580721683,1767580722000,1767580862000,140317,138000,-,410.2,1.2,2405158912,3404447744,2441367552,3406135296,16369867032,15529519516,2201962,465209,23789568,686272512,795578,6320,wow://input/data/work/41/f25c4c15d904c71550d084f2e002eb,true,-
