task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,siena13,fb/7d31dc,nf-fb7d31dc7dd92d10d6bdcd3399e1d9fc-78014,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,10,14400000,-,6442450944,1,1756505079668,1756505084000,1756505139000,59332,47127,-,936.1,0.0,32350208,37072896,34201600,38961152,8178042425,43183089,2717394,40991,0,41652224,6394,1514,/input/data/work/fb/7d31dc7dd92d10d6bdcd3399e1d9fc,true,-
2,siena09,c4/7875cf,nf-c47875cf04ec693210de1ece68663972-474df,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,2,14400000,-,21474836480,1,1756505079573,1756505080000,1756505751000,671427,670762,-,195.0,0.0,431243264,9998372864,433094656,10149027840,8261113035,62820136,2872064,52470,5218304,66945024,9446,3384,/input/data/work/c4/7875cf04ec693210de1ece68663972,true,-
19,siena11,ce/dd464e,nf-cedd464ebf61789e410ba64648ac985b-0286e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1756505758289,1756505759000,1756505805000,46711,45485,-,140.3,1.5,3115036672,3488428032,3115036672,3488477184,580800197,5517,58719,28,0,28672,127,335,/input/data/work/ce/dd464ebf61789e410ba64648ac985b,true,-
24,siena13,0a/438886,nf-0a43888632d7ccf0a2788375fe8a0669-1da38,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1756505758772,1756505759000,1756505805000,46228,45936,-,146.1,1.5,3132461056,3506991104,3132461056,3507040256,563320068,5517,58756,28,4194304,28672,155,631,/input/data/work/0a/43888632d7ccf0a2788375fe8a0669,true,-
35,siena11,d0/00e97b,nf-d000e97b57867d2affcce8378c139946-8b53a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850413_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850413_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1756505760084,1756505761000,1756505813000,52916,50533,-,138.3,1.6,3249909760,3654172672,3249909760,3654221824,557561885,5517,56583,28,4194304,28672,151,319,/input/data/work/d0/00e97b57867d2affcce8378c139946,true,-
36,siena14,91/2f7970,nf-912f7970ebdffbd2c536d4abf351ce86-cb025,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860619_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860619_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1756505760438,1756505761000,1756505812000,51562,50156,-,137.0,1.6,3225366528,3650052096,3225366528,3650101248,523827287,5517,55927,28,0,28672,141,246,/input/data/work/91/2f7970ebdffbd2c536d4abf351ce86,true,-
34,siena15,9e/09fb28,nf-9e09fb2889eb105370c9fb5b2fb0b4a3-2def3,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850107_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850107_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1756505760214,1756505764000,1756505817000,56786,52472,-,130.0,1.6,3143065600,3635372032,3211730944,3635421184,539176864,5517,56775,28,0,28672,128,236,/input/data/work/9e/09fb2889eb105370c9fb5b2fb0b4a3,true,-
699,siena14,06/2ec549,nf-062ec549b92f88aaf740b0abfd3003d1-9b4f2,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_202030_19840622_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_202030_19840622_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1756505807699,1756505815000,1756505855000,47301,40503,-,161.2,1.6,3181395968,3567632384,3181395968,3567681536,514214233,5517,54948,28,4194304,28672,84,344,/input/data/work/06/2ec549b92f88aaf740b0abfd3003d1,true,-
17,siena13,eb/0faa38,nf-eb0faa38e195e8d5c788acc55ffb8b09-da19b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840507_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840507_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1756505758085,1756505758000,1756505862000,103915,103466,-,125.1,1.4,2862010368,3376267264,3281682432,3573207040,552378947,5518,58603,28,0,28672,178,187,/input/data/work/eb/0faa38e195e8d5c788acc55ffb8b09,true,-
8,siena09,80/858629,nf-80858629447f197eea68fafa9bab9b5c-e2c4a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1756505757287,1756505766000,1756505896000,138713,129746,-,126.9,1.6,3261628416,3717926912,3281633280,3717976064,603554582,5518,59088,28,0,28672,134,259,/input/data/work/80/858629447f197eea68fafa9bab9b5c,true,-
