cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena07,81/9fc5d7,nf-819fc5d7bd4fb61b83931b76f0f10267-5919a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,10,14400000,-,6442450944,1,1757415756872,1757415757000,1757415813000,56128,47110,-,937.9,0.0,32133120,37064704,33984512,38952960,8177509767,43018795,2716102,40912,4722688,41484288,6513,1748,/input/data/work/81/9fc5d7bd4fb61b83931b76f0f10267,true,-
-,-,1,siena09,94/ca2d05,nf-94ca2d057743e1f1c8615ad78f00f8c9-5919a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,2,14400000,-,21474836480,1,1757415757088,1757415762000,1757416422000,664912,659645,-,194.6,0.0,417611776,9809797120,431255552,10111913984,8260794116,62779067,2871701,52451,8192,67735552,10958,2247,/input/data/work/94/ca2d057743e1f1c8615ad78f00f8c9,true,-
-,-,19,siena11,72/cffab3,nf-72cffab3166f5871c6894df584c3149c-a6858,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1757416430468,1757416433000,1757416487000,56532,53132,-,125.7,1.4,2892496896,3265708032,3115073536,3488473088,580800311,5522,58721,29,4194304,28672,192,302,/input/data/work/72/cffab3166f5871c6894df584c3149c,true,-
-,-,24,siena13,30/4b2603,nf-304b26034f19086d0f43544490ed246d-d10cc,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1757416430887,1757416433000,1757416482000,51113,47649,-,140.3,1.5,3131555840,3506991104,3131555840,3507040256,563320173,5523,58758,29,0,28672,152,564,/input/data/work/30/4b26034f19086d0f43544490ed246d,true,-
-,-,34,siena11,9b/2edf61,nf-9b2edf61e484cbafa44d61c0ab75d4bb-da23d,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850107_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850107_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1757416432008,1757416433000,1757416489000,56992,53725,-,128.1,1.4,2936139776,3456917504,3212574720,3635421184,539176994,5522,56777,29,0,28672,146,249,/input/data/work/9b/2edf61e484cbafa44d61c0ab75d4bb,true,-
-,-,35,siena12,72/bfe433,nf-72bfe433ba715084730eebdc1577a60e-c4bc8,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850413_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850413_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1757416432179,1757416432000,1757416486000,53821,52932,-,131.8,1.6,3249664000,3654168576,3249664000,3654217728,557561996,5523,56585,29,0,28672,146,248,/input/data/work/72/bfe433ba715084730eebdc1577a60e,true,-
-,-,36,siena07,1a/5c4abf,nf-1a5c4abfd77c9b15ccb12c054de3eb86-f725f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860619_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860619_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1757416432331,1757416433000,1757416482000,49669,49475,-,142.9,1.5,2986487808,3411783680,3224698880,3650097152,523827398,5523,55929,29,0,28672,5091,23629,/input/data/work/1a/5c4abfd77c9b15ccb12c054de3eb86,true,-
-,-,17,siena13,26/7b9ec7,nf-267b9ec7b9ffe0c3fa70a0adaf508a50-250c4,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840507_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840507_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1757416430077,1757416432000,1757416538000,107923,104203,-,122.9,1.4,2860945408,3376263168,3280617472,3573202944,552379052,5524,58605,29,0,28672,135,131,/input/data/work/26/7b9ec7b9ffe0c3fa70a0adaf508a50,true,-
-,-,8,siena12,bf/5dd1fa,nf-bf5dd1faf990895cc62d4442a1a92b10-09d7e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1757416428689,1757416432000,1757416562000,133311,127918,-,127.3,1.6,3281743872,3717922816,3281743872,3717971968,603554696,5524,59090,29,0,28672,123,301,/input/data/work/bf/5dd1faf990895cc62d4442a1a92b10,true,-
-,-,66,siena12,fd/45ccdc,nf-fd45ccdca20ca69dd5544df20d6897e3-6e86b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200033_19840523_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200033_19840523_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1757416437823,1757416488000,1757416587000,149177,97999,-,168.3,1.7,3360911360,3749445632,3360911360,3749494784,600132150,5524,59115,29,0,28672,113,288,/input/data/work/fd/45ccdca20ca69dd5544df20d6897e3,true,-
