cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena07,de/62fe74,nf-de62fe74d620ac10abad49f1b54b7f1e-26fd0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1760027358304,1760027359000,1760027881000,522696,516769,-,98.0,0.0,38612992,45510656,40464384,47497216,8165873563,38919709,2684313,38921,4468736,37994496,4624,2030,wow://input/data/work/de/62fe74d620ac10abad49f1b54b7f1e,true,-
-,-,2,siena07,10/44ab01,nf-1044ab015f82a4411aaf5d3fc75b3328-26fd0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1760027358470,1760027359000,1760028654000,1295530,1295120,-,98.5,0.0,42000384,49725440,43851776,51712000,8258779831,62656113,2870533,52396,61440,67661824,13036,2789,wow://input/data/work/10/44ab015f82a4411aaf5d3fc75b3328,true,-
-,-,19,siena11,76/23f11c,nf-7623f11c7e117c2f9390585c48044c2b-b2a30,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760028659382,1760028660000,1760028709000,49618,48580,-,138.1,1.4,2892361728,3265712128,3114938368,3488477184,580825514,5722,58801,34,0,28672,187,272,wow://input/data/work/76/23f11c7e117c2f9390585c48044c2b,true,-
-,-,17,siena11,d9/8c3f97,nf-d98c3f97835c6bc73759ff865293f2a2-480b9,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840507_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840507_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760028659282,1760028660000,1760028765000,105718,105031,-,122.8,1.6,3169337344,3461791744,3280498688,3573202944,552404262,5723,58685,34,843776,28672,214,409,wow://input/data/work/d9/8c3f97835c6bc73759ff865293f2a2,true,-
1.381,3249537024,470,siena13,cb/42741b,nf-cb42741bb86ca4ff6c1b70e17f1fc562-ae5c4,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_204030_19861016_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_204030_19861016_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760028692288,1760028728000,1760028775000,82712,46326,-,139.5,1.5,3083280384,3447697408,3083280384,3447746560,547926988,5521,54832,29,0,28672,104,721,wow://input/data/work/cb/42741bb86ca4ff6c1b70e17f1fc562,true,-
1.381,3249537024,624,siena14,d5/48d7bd,nf-d548d7bd892821aedc93740cf6167e35-ab5ff,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_199033_19850807_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_199033_19850807_20200918_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760028697696,1760028728000,1760028773000,75304,45000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/d5/48d7bd892821aedc93740cf6167e35,true,RETRY
1.381,3249537024,705,siena11,bc/a1657e,nf-bca1657e00be26863eaa6d3143dee2fa-a49e8,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_202030_19850508_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_202030_19850508_20200918_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760028700602,1760028728000,1760028785000,84398,57000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/bc/a1657e00be26863eaa6d3143dee2fa,true,RETRY
1.381,3249537024,777,siena12,6b/a389a0,nf-6ba389a055c0cd737ae356d94e3e3008-ec4f4,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_201034_19860909_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_201034_19860909_20200917_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760028702919,1760028728000,1760028773000,70081,45000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/6b/a389a055c0cd737ae356d94e3e3008,true,RETRY
1.381,3249537024,853,siena11,2e/00a1fa,nf-2e00a1fa57555579a9a25cd3dbbaa86b-acbaf,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_199032_19860420_20201008_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_199032_19860420_20201008_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760028705433,1760028728000,1760028787000,81567,59000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/2e/00a1fa57555579a9a25cd3dbbaa86b,true,RETRY
1.381,3249537024,892,siena12,81/f2f1de,nf-81f2f1de179cbb4e1a6f8ccfaf3ff244-36ab2,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_201032_19860707_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_201032_19860707_20200918_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760028707027,1760028729000,1760028772000,64973,43000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/81/f2f1de179cbb4e1a6f8ccfaf3ff244,true,RETRY
1.381,3249537024,896,siena15,68/97791d,nf-6897791d2a56e81607177c88ba8eded6-a35af,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_201032_19860621_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_201032_19860621_20200917_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760028707174,1760028729000,1760028778000,70826,49000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/68/97791d2a56e81607177c88ba8eded6,true,RETRY
1.381,3249537024,909,siena12,06/14402a,nf-0614402a3b8d7ca6379d090781bf2383-b1504,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_201032_19860925_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_201032_19860925_20200917_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760028707985,1760028729000,1760028770000,62015,41000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/06/14402a3b8d7ca6379d090781bf2383,true,RETRY
