cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena15,75/fa5f55,nf-75fa5f5584acff50004f74cc2feb01dc-2f89c,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1766562821971,1766562824000,1766562826000,4029,0,-,62.2,0.0,3309568,5640192,3309568,5644288,712409,4914,281,19,5644288,16384,15,5,/input/data/work/75/fa5f5584acff50004f74cc2feb01dc,true,-
-,1,siena14,87/afd2e0,nf-87afd2e0e3ac2566a0f52eba7b4f199b-2f89c,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1766562821774,1766562828000,1766562875000,53226,46000,-,26.4,0.5,1061986304,1073414144,1174745088,1186754560,4064228052,838279371,496318,104482,6008832,838287360,463,2319,/input/data/work/87/afd2e0e3ac2566a0f52eba7b4f199b,true,-
-,2,siena13,1b/96c1bf,nf-1b96c1bfb445253762a3a2496fd6631f-2f89c,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1766562821575,1766562831000,1766562887000,65425,55000,-,20.0,0.0,4907008,12550144,4907008,12554240,3147402720,5953,48263,21,8335360,16384,304,1052,/input/data/work/1b/96c1bfb445253762a3a2496fd6631f,true,-
-,11,siena12,ad/47a8bf,nf-ad47a8bfd821ce90cdd9cb2f58790322-79950,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766562832662,1766562837000,1766562912000,79338,72000,-,198.7,0.6,1209749504,4844744704,1209749504,4899938304,1740145123,3670765,3365680,11315,19636224,4288512,11,8,/input/data/work/ad/47a8bfd821ce90cdd9cb2f58790322,true,-
-,14,siena13,21/f7db89,nf-21f7db896b0ec43ab437cda547435406-5b92d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766562832776,1766562833000,1766562927000,94224,92000,-,196.5,0.6,1212178432,5049229312,1213399040,5049233408,2183675440,3676836,4231881,11279,19636224,4366336,12,8,/input/data/work/21/f7db896b0ec43ab437cda547435406,true,-
-,5,siena15,ed/d73fe3,nf-edd73fe3829dd65a580fd774276af78c-5ef95,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766562830772,1766562835000,1766562940000,109228,103000,-,200.8,0.5,1096695808,4764663808,1097093120,4766306304,2508593543,3693311,4866300,11354,50995200,4390912,125,8,/input/data/work/ed/d73fe3829dd65a580fd774276af78c,true,-
-,7,siena12,2c/bd7105,nf-2cbd7105eed9137ef6e138a3cb1850ee-14a4a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766562831056,1766562837000,1766562941000,109944,102000,-,198.3,0.6,1188069376,4981067776,1188147200,5043986432,2508431955,3693312,4866149,11270,225280,4411392,7,0,/input/data/work/2c/bd7105eed9137ef6e138a3cb1850ee,true,-
-,9,siena13,aa/b92e1c,nf-aab92e1cf8c6a0dcb716303dc04008fc-c18da,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766562831857,1766562832000,1766562939000,107143,105000,-,196.8,0.5,1093423104,4832825344,1093754880,4897841152,2508432215,3693312,4866149,11228,31358976,4440064,127,8,/input/data/work/aa/b92e1cf8c6a0dcb716303dc04008fc,true,-
-,19,siena11,66/6fb586,nf-666fb586a01992f2ffbf22fe2e14fc45-d8576,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766562833391,1766562836000,1766562942000,108609,104000,-,201.8,0.5,1094643712,4764663808,1094774784,4764672000,2518974938,3693319,4886774,11265,50995200,4399104,129,4,/input/data/work/66/6fb586a01992f2ffbf22fe2e14fc45,true,-
-,18,siena09,60/d3eea7,nf-60d3eea742d705be8e6dd1b773094405-ef826,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766562833168,1766562839000,1766562953000,119832,111000,-,201.1,0.6,1199718400,4981067776,1199730688,4985831424,2677429780,3684422,5196251,11214,50995200,4395008,119,2,/input/data/work/60/d3eea742d705be8e6dd1b773094405,true,-
