task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
3,siena13,c4/0b2a94,nf-c40b2a94eac25da54e39f6b75304c80b-1949f,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1760134316495,1760134325000,1760134325000,8505,0,-,56.7,0.0,3346432,5640192,3346432,5644288,712513,4914,279,18,5353472,16384,3,3,/input/data/work/c4/0b2a94eac25da54e39f6b75304c80b,true,-
1,siena14,fa/2b1e88,nf-fa2b1e88be0dca8869dd410ed17113f7-e27c1,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1760134316681,1760134327000,1760134354000,37319,27000,-,40.9,0.0,4915200,12550144,4915200,12554240,3147403007,5958,48261,20,8192000,16384,249,1651,/input/data/work/fa/2b1e88be0dca8869dd410ed17113f7,true,-
2,siena12,99/3b3616,nf-993b3616f8350af2699eafde0e57d0f1-f1b9c,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1760134316780,1760134322000,1760134362000,45220,39000,-,35.2,0.6,1156628480,1168924672,1156628480,1168928768,4064228344,838279376,496316,104481,5885952,838287360,484,1445,/input/data/work/99/3b3616f8350af2699eafde0e57d0f1,true,-
11,siena09,c8/745910,nf-c87459107d42bac27e4950364448faa5-a6954,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760134332773,1760134339000,1760134412000,79227,72000,-,201.5,0.6,1133756416,4976873472,1133756416,5043986432,1740145385,3670769,3365676,11230,5898240,4288512,7,2,/input/data/work/c8/7459107d42bac27e4950364448faa5,true,-
14,siena11,41/5f8279,nf-415f827959a6084347c5e2213fb15828-f146e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760134332794,1760134342000,1760134435000,102206,92000,-,199.6,0.6,1213214720,4981067776,1214992384,5038358528,2183675718,3676841,4231880,11278,5906432,4333568,7,4,/input/data/work/41/5f827959a6084347c5e2213fb15828,true,-
4,siena13,70/e3f735,nf-70e3f735820e4461f5ec7abbb92414c0-a005d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760134330991,1760134336000,1760134440000,109009,103000,-,200.6,0.5,1102807040,4903084032,1102807040,4968099840,2508431788,3693311,4866146,11269,50995200,4390912,122,3,/input/data/work/70/e3f735820e4461f5ec7abbb92414c0,true,-
6,siena09,17/b78045,nf-17b78045c33e28f77d3ba7de0dc6a109-ffe55,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760134331274,1760134339000,1760134442000,110726,102000,-,200.1,0.6,1200836608,5049229312,1201352704,5112147968,2508432474,3693317,4866147,11311,25624576,4407296,110,0,/input/data/work/17/b78045c33e28f77d3ba7de0dc6a109,true,-
19,siena09,12/099a29,nf-12099a29900b138eb194c9785bd9be27-5298f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760134333183,1760134339000,1760134443000,109817,103000,-,200.8,0.5,1093156864,4969148416,1093562368,5036261376,2518975189,3693324,4886772,11222,651264,4415488,7,4,/input/data/work/12/099a29900b138eb194c9785bd9be27,true,-
8,siena11,df/8722bc,nf-df8722bc7283362bf229476e8782e41e-03f1d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760134331977,1760134342000,1760134446000,114023,103000,-,202.0,0.5,1099612160,4834922496,1099612160,4899938304,2508432236,3693317,4866146,11269,26542080,4411392,117,1,/input/data/work/df/8722bc7283362bf229476e8782e41e,true,-
18,siena15,ee/b2b931,nf-eeb2b9317055a946b2ff9eebe9215230-039ac,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760134332989,1760134340000,1760134451000,118011,110000,-,201.0,0.5,1095376896,4900986880,1095802880,4900995072,2677430060,3684427,5196249,11297,27439104,4399104,91,2,/input/data/work/ee/b2b9317055a946b2ff9eebe9215230,true,-
