cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena09,d6/1e1587,nf-d61e15875e4f2417d85e72a4de40b139-042ba,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1757625982578,1757625986000,1757625988000,5422,0,-,46.7,0.0,3227648,5640192,3227648,5644288,712592,4920,281,19,8192,16384,1,1,/input/data/work/d6/1e15875e4f2417d85e72a4de40b139,true,-
-,-,3,siena13,f8/538c63,nf-f8538c63d4596e5b69162c5251ff6bdd-042ba,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1757625982690,1757625984000,1757626030000,47310,45000,-,25.8,0.0,4816896,12550144,4816896,12554240,3147402896,5959,48263,21,9547776,16384,262,2197,/input/data/work/f8/538c63d4596e5b69162c5251ff6bdd,true,-
-,-,2,siena07,39/2b35e6,nf-392b35e68860f95b941a340b89d61094-042ba,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1757625982375,1757625982000,1757626036000,53625,51000,-,26.7,0.1,201826304,213921792,201826304,213925888,4064228234,838279377,496318,104482,270336,838291456,285,2612,/input/data/work/39/2b35e68860f95b941a340b89d61094,true,-
-,-,13,siena11,7a/018191,nf-7a018191f17a221a58ff1a7927b233de-309b2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757625993391,1757625998000,1757626100000,106609,100000,-,149.2,0.3,549318656,3893317632,556883968,3956236288,1740179357,3670770,3365692,11315,6262784,4358144,7,3,/input/data/work/7a/018191f17a221a58ff1a7927b233de,true,-
-,-,9,siena13,f1/31b83d,nf-f131b83dded93902da6c33cdd25cf5ff-1397f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757625992777,1757625993000,1757626106000,113223,109000,-,190.3,0.2,463966208,3745075200,464191488,3812188160,2508433666,3693318,4866154,11270,60383232,4448256,127,4,/input/data/work/f1/31b83dded93902da6c33cdd25cf5ff,true,-
-,-,6,siena12,29/cbce8c,nf-29cbce8c3c96e1f32a2a1eef85b0b72a-29d17,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757625991893,1757625998000,1757626111000,119107,111000,-,189.2,0.3,555651072,3957284864,559849472,4024397824,2508433666,3693317,4866153,11312,60313600,4407296,121,0,/input/data/work/29/cbce8c3c96e1f32a2a1eef85b0b72a,true,-
-,-,16,siena07,1d/d557db,nf-1dd557db628d6b3b6965c983e382f9da-6b95d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757625993703,1757625994000,1757626108000,114297,112000,-,164.4,0.3,545030144,4029640704,552075264,4092559360,2183676446,3676841,4231885,11237,59596800,4431872,116,1,/input/data/work/1d/d557db628d6b3b6965c983e382f9da,true,-
-,-,12,siena14,bd/31f70f,nf-bd31f70f8e9479559d0d4ce01b444e27-a66b2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757625992983,1757625996000,1757626111000,118017,113000,-,189.8,0.3,530972672,3688833024,537448448,3715694592,2589104966,3695794,5023750,11313,60518400,4415488,127,3,/input/data/work/bd/31f70f8e9479559d0d4ce01b444e27,true,-
-,-,30,siena09,55/19c20b,nf-5519c20b09d58f2165253d18d398746f-205ee,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757625996302,1757625997000,1757626112000,115698,112000,-,193.2,0.3,553295872,3893317632,556408832,3956236288,2627194853,3685679,5098142,11265,68255744,4407296,124,11,/input/data/work/55/19c20b09d58f2165253d18d398746f,true,-
-,-,38,siena13,0c/8d64c4,nf-0c8d64c4e0b2fb1f4136d309aa6dfa22-71e82,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757625997479,1757625998000,1757626112000,114521,111000,-,189.6,0.2,463126528,3745075200,463126528,3812188160,2559989003,3690881,4966872,11304,4198400,4481024,26,23,/input/data/work/0c/8d64c4e0b2fb1f4136d309aa6dfa22,true,-
