cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena09,1b/e5accd,nf-1be5accd540507e227b4ed6da3eea072-04e14,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1757614197707,1757614203000,1757614204000,6293,0,-,47.6,0.0,3170304,5640192,3170304,5644288,712592,4920,281,19,5353472,16384,1,1,/input/data/work/1b/e5accd540507e227b4ed6da3eea072,true,-
-,-,2,siena07,d6/565563,nf-d656556345a83346ea6c958c3d84c564-04e14,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1757614197477,1757614198000,1757614249000,51523,49000,-,28.6,0.6,1173680128,1186750464,1173680128,1186754560,4064228230,838279376,496318,104482,6725632,838287360,392,2835,/input/data/work/d6/56556345a83346ea6c958c3d84c564,true,-
-,-,3,siena13,a5/b89713,nf-a5b89713cdea6b4c80d436daa3645dd4-04e14,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1757614197799,1757614201000,1757614292000,94201,90000,-,13.0,0.0,5955584,12550144,5955584,12554240,3147402891,5959,48263,21,9543680,16384,265,2677,/input/data/work/a5/b89713cdea6b4c80d436daa3645dd4,true,-
-,-,11,siena15,67/70aff6,nf-6770aff69613fb489bd4f8967c40e119-79d17,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757614211890,1757614212000,1757614311000,99110,97000,-,154.2,0.3,542318592,3825156096,550162432,3852017664,1740178771,3670769,3365690,11231,24670208,4341760,12,10,/input/data/work/67/70aff69613fb489bd4f8967c40e119,true,-
-,-,49,siena13,ab/e70f17,nf-abe70f174a1b825eb26057ec62e039c7-4b4f0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757614215890,1757614217000,1757614312000,96110,92000,-,129.9,0.3,558096384,3893317632,566743040,3956236288,1417816328,3669196,2736073,11269,28016640,4370432,12,10,/input/data/work/ab/e70f174a1b825eb26057ec62e039c7,true,-
-,-,14,siena07,54/47dd78,nf-5447dd78ed73bb310492497ecba9cf19-fe259,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757614212317,1757614213000,1757614330000,117683,115000,-,160.4,0.2,492449792,3820961792,492449792,3852017664,2183677466,3676840,4231890,11237,27951104,4440064,4,0,/input/data/work/54/47dd78ed73bb310492497ecba9cf19,true,-
-,-,8,siena14,47/4a1e16,nf-474a1e161d0d9d8b436dfccae4747f62-c2503,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757614210185,1757614218000,1757614327000,116815,107000,-,193.3,0.3,576348160,3961479168,579145728,4024397824,2508433422,3693318,4866152,11270,68243456,4390912,122,2,/input/data/work/47/4a1e161d0d9d8b436dfccae4747f62,true,-
-,-,21,siena11,ac/e3a831,nf-ace3a831b54e0ec3992b09d73e3ca76f-7faf9,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757614212770,1757614213000,1757614328000,115230,112000,-,188.1,0.3,536743936,3893317632,547983360,3897671680,2518975877,3693327,4886778,11265,55586816,4407296,129,8,/input/data/work/ac/e3a831b54e0ec3992b09d73e3ca76f,true,-
-,-,41,siena11,ff/851a59,nf-ff851a5994abc3553cb9ee355b3b11e4-5e19c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757614215029,1757614216000,1757614330000,114971,111000,-,191.0,0.3,534556672,3889123328,535007232,3956236288,2544323221,3679549,4936285,11210,0,4411392,12,11,/input/data/work/ff/851a5994abc3553cb9ee355b3b11e4,true,-
-,-,48,siena09,1c/530d86,nf-1c530d867592f5f002d7e9116ae75bd0-f23f8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757614215739,1757614217000,1757614332000,116261,113000,-,176.3,0.3,552644608,3825156096,556818432,3829575680,2401471076,3695703,4657272,11267,32698368,4435968,12,7,/input/data/work/1c/530d867592f5f002d7e9116ae75bd0,true,-
