cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena07,81/067885,nf-810678854580127e2e3b0fbe190e0665-9db8e,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1757572974471,1757572975000,1757572976000,1529,0,-,43.2,0.0,3616768,11280384,3616768,11284480,712586,4919,281,19,8192,16384,2,2,wow://input/data/work/81/0678854580127e2e3b0fbe190e0665,true,-
-,2,siena07,9d/f71d3f,nf-9df71d3feb48ef7d6d0c077bb3dd5156-9db8e,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1757572974285,1757572975000,1757573006000,31715,30000,-,35.2,0.0,4907008,12550144,4907008,12554240,3147402887,5958,48263,21,8192000,16384,235,1366,wow://input/data/work/9d/f71d3feb48ef7d6d0c077bb3dd5156,true,-
-,3,siena07,5f/50e956,nf-5f50e956ac070e27e4e90924b09242a0-9db8e,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1757572974094,1757572975000,1757573011000,36906,35000,-,37.1,0.1,194576384,206581760,194576384,206585856,4064228223,838279376,496318,104482,245760,838291456,288,2945,wow://input/data/work/5f/50e956ac070e27e4e90924b09242a0,true,-
-,13,siena07,ff/5875f4,nf-ff5875f4b7ccc0c7a8931047b7ada276-2e4e6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757572983477,1757572984000,1757573068000,84523,82000,-,182.9,0.3,538185728,3825156096,549683200,3830333440,1740179623,3670770,3365692,11273,30203904,4358144,4,87,wow://input/data/work/ff/5875f4b7ccc0c7a8931047b7ada276,true,-
-,14,siena13,51/cf7353,nf-51cf735385feb6f2ac8f39bd0e910610-5d94b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757572984292,1757572985000,1757573082000,97708,95000,-,192.3,0.2,461324288,3747172352,461324288,3814285312,2183677108,3676840,4231885,11237,60026880,4362240,127,7,wow://input/data/work/51/cf735385feb6f2ac8f39bd0e910610,true,-
-,32,siena15,44/ead1ad,nf-44ead1ad2eb377a58e9d9bfd2578c2cc-7fa6f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757572987472,1757572988000,1757573094000,106528,103000,-,185.5,0.3,543940608,3961479168,569229312,4031909888,2256973272,3675338,4375047,11201,28467200,4374528,12,8,wow://input/data/work/44/ead1ad2eb377a58e9d9bfd2578c2cc,true,-
-,6,siena07,c0/953588,nf-c09535881347d6108c0a2ff3841b2f6a-a0c60,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757572981781,1757572982000,1757573097000,115219,113000,-,185.3,0.2,499089408,3820961792,499695616,3888074752,2508457300,3693317,4866170,11312,31977472,4476928,119,2,wow://input/data/work/c0/9535881347d6108c0a2ff3841b2f6a,true,-
-,5,siena07,a7/fe0b01,nf-a7fe0b01f037e0a0baa867c24a06e46d-6dd91,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757572982377,1757572983000,1757573098000,115623,113000,-,183.7,0.2,506634240,3823058944,506720256,3882446848,2508433686,3693316,4866153,11354,0,4505600,4,133,wow://input/data/work/a7/fe0b01f037e0a0baa867c24a06e46d,true,-
-,7,siena07,b8/0af52a,nf-b80af52ab9e7b378b35c313d8986f70a-6d37b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757572982770,1757572983000,1757573098000,115230,113000,-,185.0,0.3,550207488,3893317632,551346176,3956236288,2508433432,3693317,4866152,11270,65536,4509696,4,5,wow://input/data/work/b8/0af52ab9e7b378b35c313d8986f70a,true,-
-,10,siena09,0a/acb397,nf-0aacb3971977860b8b8b983bcce0e2ea-57ece,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1757572983782,1757572984000,1757573095000,111218,109000,-,194.5,0.3,517054464,3896856576,518041600,3956301824,2589106927,3695793,5023756,11313,72704000,4399104,124,12,wow://input/data/work/0a/acb3971977860b8b8b983bcce0e2ea,true,-
