cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,5,siena12,2d/d2cc14,nf-2dd2cc14cdc62a6455ba521306862e57-98ecd,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767334058465,1767334059000,1767334062000,3535,1000,-,80.7,0.0,2932736,11575296,2932736,11579392,9300007,37200245,492,1169,0,37253120,5,4,/input/data/work/2d/d2cc14cdc62a6455ba521306862e57,true,-
-,3,siena09,e1/4cb1cc,nf-e14cb1cc113206207a0dbfe7e61824b3-98ecd,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1767334058578,1767334060000,1767334062000,3422,0,-,61.5,0.0,2879488,11575296,2879488,11579392,52192,2587,147,18,0,12288,4,3,/input/data/work/e1/4cb1cc113206207a0dbfe7e61824b3,true,-
-,7,siena13,75/e1c898,nf-75e1c898bb5186dad0bd58070f0860ec-98ecd,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767334057357,1767334066000,1767334069000,11643,0,-,71.3,0.0,2789376,11575296,2789376,11579392,11009358,33652570,507,1059,0,33701888,1,1,/input/data/work/75/e1c898bb5186dad0bd58070f0860ec,true,-
-,15,siena14,78/808271,nf-78808271864c7ee5a415e036202bec25-98ecd,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767334057861,1767334060000,1767334067000,9139,3000,-,91.0,0.0,9867264,42328064,9867264,42336256,113274381,388442027,1078,11876,4194304,388448256,16,65,/input/data/work/78/808271864c7ee5a415e036202bec25,true,-
-,8,siena13,ab/241e99,nf-ab241e994784c183c475c088cd3f9772-98ecd,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767334058757,1767334066000,1767334073000,14243,4000,-,74.1,0.0,9584640,42328064,9584640,42336256,114384217,435495665,1086,13312,0,435499008,19,389,/input/data/work/ab/241e994784c183c475c088cd3f9772,true,-
-,90,siena14,d3/0f761f,nf-d30f761f8f8a2313a78c7c2a240d48d6-c3531,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,12884901888,1,1767334068718,1767334069000,1767334091000,22282,20000,-,15.0,0.1,138563584,3409825792,138563584,3610537984,53569746,119119,7680,35,94642176,147456,1544,90,/input/data/work/d3/0f761f8f8a2313a78c7c2a240d48d6,true,-
-,89,siena15,de/0bce56,nf-de0bce569b7bb538c5579b5d51a9bca9-059cf,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1767334068862,1767334069000,1767334080000,11138,6000,-,0.5,0.0,2875392,11575296,2875392,11579392,51327,2610,147,59,0,180224,16,14,/input/data/work/de/0bce569b7bb538c5579b5d51a9bca9,true,-
-,93,siena14,f8/036cd0,nf-f8036cd049c5f8f2d42151143eba4e6c-633a4,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334099491,1767334100000,1767334102000,2509,1000,-,5.9,0.0,3325952,5640192,3325952,5644288,87241,3411,228,48,0,16384,1,2,/input/data/work/f8/036cd049c5f8f2d42151143eba4e6c,true,-
-,95,siena09,60/e2e610,nf-60e2e610e1ef91613935f8ef9388b6f1-a6416,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,4_1-191154276,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_1-191154276),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334099866,1767334100000,1767334102000,2134,0,-,6.7,0.0,3289088,5640192,3289088,5644288,87228,3385,221,48,0,16384,1,1,/input/data/work/60/e2e610e1ef91613935f8ef9388b6f1,true,-
-,92,siena15,97/4772cf,nf-974772cf4bd3e4e7608fa157a084801d-09135,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334099661,1767334100000,1767334105000,5339,1000,-,6.3,0.0,3153920,5640192,3153920,5644288,87247,3413,225,48,0,16384,1,4,/input/data/work/97/4772cf4bd3e4e7608fa157a084801d,true,-
-,96,siena11,70/6165dd,nf-706165dd237234753492ec5e9425309b-8baca,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334100004,1767334100000,1767334103000,2996,0,-,5.4,0.0,3203072,5640192,3203072,5644288,87236,3380,228,48,0,16384,1,1,/input/data/work/70/6165dd237234753492ec5e9425309b,true,-
-,94,siena12,98/3af582,nf-983af582c0223c93f36d5636c613ef4e-05f11,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334099767,1767334100000,1767334105000,5233,2000,-,1.4,0.0,3231744,5640192,3231744,5644288,87100,3384,213,48,0,16384,14,10,/input/data/work/98/3af582c0223c93f36d5636c613ef4e,true,-
-,97,siena14,fb/8073ed,nf-fb8073ed398870efe6c83fa7890ffc2d-41e8b,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,6_1-171115067,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_1-171115067),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334100157,1767334100000,1767334102000,1843,0,-,22.2,0.0,3284992,5640192,3284992,5644288,87243,3378,228,48,0,16384,1,1,/input/data/work/fb/8073ed398870efe6c83fa7890ffc2d,true,-
-,98,siena15,84/e6fc30,nf-84e6fc307f6b19002a954d40612c378d-93d79,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,7_1-159138663,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_1-159138663),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334100195,1767334101000,1767334103000,2805,1000,-,2.8,0.0,3223552,5640192,3223552,5644288,87249,3371,213,48,0,16384,9,12,/input/data/work/84/e6fc307f6b19002a954d40612c378d,true,-
-,100,siena09,c8/dc4f70,nf-c8dc4f70f510968bc241f33bba026a52-0daa0,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,8_1-146364022,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_1-146364022),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334100405,1767334101000,1767334102000,1595,0,-,12.3,0.0,3248128,5640192,3248128,5644288,87228,3365,213,48,0,16384,1,2,/input/data/work/c8/dc4f70f510968bc241f33bba026a52,true,-
-,99,siena12,53/41dc73,nf-5341dc7313c4028a86ada681b7b6ab68-7620e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,X_1-155270560,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (X_1-155270560),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334100301,1767334101000,1767334105000,4699,2000,-,1.4,0.0,3186688,5640192,3186688,5644288,87125,3382,220,48,0,16384,14,11,/input/data/work/53/41dc7313c4028a86ada681b7b6ab68,true,-
-,101,siena11,a0/4c6fa2,nf-a04c6fa2cfa69662a424bb8b30a7c10b-ffa42,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,9_1-141213431,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (9_1-141213431),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334100644,1767334101000,1767334104000,3356,0,-,10.8,0.0,3194880,5640192,3194880,5644288,87237,3363,222,48,0,16384,1,1,/input/data/work/a0/4c6fa2cfa69662a424bb8b30a7c10b,true,-
-,102,siena14,a4/d01dbf,nf-a4d01dbf1aa03e459e98064775dbc2af-6871b,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,10_1-135534747,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (10_1-135534747),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334100706,1767334101000,1767334103000,2294,1000,-,4.3,0.0,3309568,5640192,3309568,5644288,87248,3354,219,48,0,16384,1,1,/input/data/work/a4/d01dbf1aa03e459e98064775dbc2af,true,-
-,103,siena15,03/a733b1,nf-03a733b1c7765bcbbf662f93cea1e46b-bafea,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,11_1-135006516,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (11_1-135006516),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334100875,1767334101000,1767334105000,4125,1000,-,3.3,0.0,3256320,5640192,3256320,5644288,87255,3351,213,48,0,16384,14,11,/input/data/work/03/a733b1c7765bcbbf662f93cea1e46b,true,-
-,104,siena12,e6/36a107,nf-e636a107dddc73f35939f580a869ce37-c5809,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,12_1-133851895,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (12_1-133851895),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334100976,1767334101000,1767334103000,2024,0,-,16.1,0.0,3338240,5640192,3338240,5644288,87107,3347,218,48,0,16384,1,1,/input/data/work/e6/36a107dddc73f35939f580a869ce37,true,-
-,105,siena13,07/72f607,nf-0772f60749d9cf5e3c4a882385e4bb11-b87cc,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,13_1-115169878,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (13_1-115169878),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334101102,1767334101000,1767334103000,1898,0,-,11.9,0.0,3248128,5640192,3248128,5644288,87241,3310,214,48,0,16384,1,1,/input/data/work/07/72f60749d9cf5e3c4a882385e4bb11,true,-
-,106,siena11,1e/97c6bf,nf-1e97c6bfe385679212f506cd579cd8bd-466e2,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,14_1-107349540,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (14_1-107349540),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767334101177,1767334111000,1767334113000,11823,0,-,33.8,0.0,3293184,5640192,3293184,5644288,87244,3307,217,48,0,16384,1,1,/input/data/work/1e/97c6bfe385679212f506cd579cd8bd,true,-
