cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,11,siena13,de/d6d250,nf-ded6d2509a4fd1f2fef251c8fdeae53b-db278,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1756650291780,1756650298000,1756650300000,8220,0,-,23.1,0.0,2912256,11575296,2912256,11579392,52166,2585,147,18,0,12288,2,1,/input/data/work/de/d6d2509a4fd1f2fef251c8fdeae53b,true,-
-,15,siena13,fa/3e6c46,nf-fa3e6c46352b6d175cf43befece5513a-db278,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1756650292785,1756650301000,1756650308000,15215,4000,-,8.5,0.0,9568256,42328064,9568256,42336256,11009327,33652567,507,1059,0,33701888,10,56,/input/data/work/fa/3e6c46352b6d175cf43befece5513a,true,-
-,3,siena11,15/39dd14,nf-1539dd142255149fbcfa911013865004-db278,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1756650292884,1756650305000,1756650309000,16116,0,-,74.0,0.0,2797568,11575296,2797568,11579392,9300108,37200247,492,1169,0,37253120,1,1,/input/data/work/15/39dd142255149fbcfa911013865004,true,-
-,5,siena13,e7/4f7a05,nf-e74f7a05b00a301bfbe86aec05e801d1-db278,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1756650292980,1756650302000,1756650315000,22020,10000,-,30.9,0.0,9748480,42328064,9748480,42336256,114384190,435495663,1086,13312,0,435499008,19,83,/input/data/work/e7/4f7a05b00a301bfbe86aec05e801d1,true,-
-,8,siena11,74/cab483,nf-74cab48390d9ee7af0daf6a392a4e4f1-db278,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1756650292609,1756650306000,1756650319000,26391,10000,-,27.1,0.0,9814016,42328064,9814016,42336256,113274340,388442025,1078,11876,0,388448256,36,101,/input/data/work/74/cab48390d9ee7af0daf6a392a4e4f1,true,-
-,89,siena11,f8/84ae80,nf-f884ae809a5dd8fd8b026b02cd7bef49-d7462,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1756650313187,1756650314000,1756650330000,16813,3000,-,1.0,0.0,3907584,21848064,3907584,21852160,51259,2594,147,59,0,180224,8,15,/input/data/work/f8/84ae809a5dd8fd8b026b02cd7bef49,true,-
-,90,siena11,b4/b4e631,nf-b4b4e631a11aec235d4343d506087275-41ede,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1756650313069,1756650334000,1756650347000,33931,3000,-,99.2,0.0,90308608,3445137408,90308608,3445141504,53569703,119117,7680,35,0,147456,14,67,/input/data/work/b4/b4e631a11aec235d4343d506087275,true,-
-,20,siena15,b0/4f7288,nf-b04f728885acbea1c79e0a34471825a4-db278,NFCORE_SAREK:SAREK:FASTP,SRR11452394-5,NFCORE_SAREK:SAREK:FASTP (SRR11452394-5),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1756650292384,1756650305000,1756650634000,341616,272000,-,201.6,1.0,2040406016,2330148864,2040406016,2397261824,4363598801,4487768029,1240,11987,4194304,4487794688,18,13,/input/data/work/b0/4f728885acbea1c79e0a34471825a4,true,-
-,24,siena07,b8/59ef9b,nf-b859ef9b445eff34003d39a90ab8975d-e0a34,NFCORE_SAREK:SAREK:FASTP,SRR11452396-3,NFCORE_SAREK:SAREK:FASTP (SRR11452396-3),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1756650293293,1756650293000,1756650666000,372707,312000,-,206.1,1.0,2048086016,2330148864,2048086016,2330152960,5073654785,5218979894,1410,13787,745472,5219004416,15,4,/input/data/work/b8/59ef9b445eff34003d39a90ab8975d,true,-
-,40,siena07,18/91cbef,nf-1891cbefb1e2c6bf69106752f43f519b-d4bf1,NFCORE_SAREK:SAREK:FASTP,SRR11452403-2,NFCORE_SAREK:SAREK:FASTP (SRR11452403-2),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1756650294287,1756650294000,1756650743000,448713,316000,-,205.3,1.0,2048684032,2330148864,2048684032,2330152960,5098853574,5256311076,1416,14183,0,5256339456,5,252,/input/data/work/18/91cbefb1e2c6bf69106752f43f519b,true,-
