task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
6,siena14,48/6a8b90,nf-486a8b906b5fcab3fb83bc4d2a8e3d18-82a35,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767266176555,1767266178000,1767266179000,2445,0,-,90.0,0.0,2932736,11575296,2932736,11579392,11009357,33652567,505,1058,286720,33701888,4,3,/input/data/work/48/6a8b906b5fcab3fb83bc4d2a8e3d18,true,-,-,-,7,293
15,siena14,f5/e9b95c,nf-f5e9b95c3037b30cfa7b925ef7ba9d97-82a35,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1767266177390,1767266178000,1767266179000,1610,0,-,33.8,0.0,2912256,11575296,2912256,11579392,52196,2584,145,17,0,12288,4,3,/input/data/work/f5/e9b95c3037b30cfa7b925ef7ba9d97,true,-,-,-,5,105
90,siena13,92/e7122b,nf-92e7122b47751adc3d884ff0bb54c9fc-925d8,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,12884901888,1,1767266182208,1767266182000,1767266186000,3792,3000,-,114.0,0.1,136998912,3499286528,136998912,3610537984,53569728,119117,7678,34,4198400,147456,28,42,/input/data/work/92/e7122b47751adc3d884ff0bb54c9fc,true,-,-,-,44,94
9,siena11,50/620837,nf-50620837a4f5912d5bd856df25e85c9d-82a35,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767266177576,1767266188000,1767266191000,13424,1000,-,35.8,0.0,2949120,11575296,2949120,11579392,9300140,37200246,490,1168,0,37253120,1,1,/input/data/work/50/620837a4f5912d5bd856df25e85c9d,true,-,-,-,6,84
8,siena11,38/245f7e,nf-38245f7ee808c889cfd675c522b5e82c-82a35,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767266177278,1767266188000,1767266199000,21722,9000,-,31.6,0.0,9699328,42328064,9699328,42336256,113274371,388442024,1076,11875,0,388448256,20,1504,/input/data/work/38/245f7ee808c889cfd675c522b5e82c,true,-,-,-,4,116
2,siena15,6f/6db915,nf-6f6db9157132392521b13dc763da70cc-82a35,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767266176782,1767266186000,1767266196000,19218,8000,-,38.4,0.0,9859072,42328064,9859072,42336256,114384226,435495662,1084,13311,0,435499008,23,48,/input/data/work/6f/6db9157132392521b13dc763da70cc,true,-,-,-,5,220
89,siena14,a6/47c75d,nf-a647c75d91606ba6fe127d3b1a1b01dc-64995,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1767266182275,1767266182000,1767266185000,2725,0,-,29.0,0.0,2916352,11575296,2916352,11579392,51292,2594,145,58,4198400,180224,1,1,/input/data/work/a6/47c75d91606ba6fe127d3b1a1b01dc,true,-,-,-,42,24
93,siena14,88/629f87,nf-88629f876420e48c7f4517cf910c6d1b-45b57,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767266221709,1767266222000,1767266223000,1291,1000,-,19.7,0.0,3284992,5640192,3284992,5644288,87235,3409,221,47,0,16384,1,1,/input/data/work/88/629f876420e48c7f4517cf910c6d1b,true,-,-,-,6,136
94,siena12,ab/71b307,nf-ab71b307703b498e8c4af2bf898476dd-68a50,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767266221933,1767266222000,1767266223000,1067,0,-,19.0,0.0,3301376,5640192,3301376,5644288,87068,3381,226,47,0,16384,1,1,/input/data/work/ab/71b307703b498e8c4af2bf898476dd,true,-,-,-,3,71
97,siena14,71/1775b2,nf-711775b2b38eab5790fd24f2c4aa61e7-6c174,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,6_1-171115067,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_1-171115067),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767266222262,1767266223000,1767266223000,738,0,-,25.7,0.0,3198976,5640192,3198976,5644288,87234,3375,214,47,0,16384,1,1,/input/data/work/71/1775b2b38eab5790fd24f2c4aa61e7,true,-,-,-,9,88
