task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,siena13,07/a7b6a4,nf-07a7b6a4374b510c126a11097912aeba-44264,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767383372370,1767383376000,1767383379000,6630,1000,-,57.3,0.0,2871296,11575296,2871296,11579392,9300139,37200246,490,1168,4194304,37253120,1,1,/input/data/work/07/a7b6a4374b510c126a11097912aeba,true,-
13,siena11,9f/46505a,nf-9f46505a7ac6823430b332f57d977bc1-3356c,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767383373400,1767383383000,1767383385000,11600,0,-,59.0,0.0,2854912,11575296,2854912,11579392,11008691,33652547,504,1058,2674688,33701888,1,2,/input/data/work/9f/46505a7ac6823430b332f57d977bc1,true,-
15,siena11,02/eda340,nf-02eda340bb125ca4053bdc4d3b73d37c-9e5ae,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1767383373064,1767383382000,1767383384000,10936,0,-,18.7,0.0,2875392,11575296,2875392,11579392,51555,2582,144,17,0,12288,1,1,/input/data/work/02/eda340bb125ca4053bdc4d3b73d37c,true,-
11,siena13,00/f0088b,nf-00f0088bb20042923d2877704c8b5bb7-1f9be,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767383372062,1767383376000,1767383381000,8938,3000,-,88.8,0.0,9846784,42328064,9846784,42336256,113274371,388442024,1076,11875,2523136,388448256,47,36,/input/data/work/00/f0088bb20042923d2877704c8b5bb7,true,-
5,siena13,94/755c64,nf-94755c6416b99f147f6bf499e0505c85-e3849,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767383373284,1767383376000,1767383388000,14716,5000,-,69.2,0.0,9777152,42328064,9777152,42336256,114384220,435495662,1084,13311,0,435499008,29,147,/input/data/work/94/755c6416b99f147f6bf499e0505c85,true,-
89,siena15,46/891a20,nf-46891a20b93cc1f57f23b9e0831fa9ef-08820,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1767383387971,1767383389000,1767383395000,7029,3000,-,1.2,0.0,3866624,21848064,3866624,21852160,51325,2608,145,58,0,180224,11,10,/input/data/work/46/891a20b93cc1f57f23b9e0831fa9ef,true,-
90,siena12,c5/05d5eb,nf-c505d5ebb81ab6ce15607c7ab1b6e82c-8cdea,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,12884901888,1,1767383387569,1767383388000,1767383406000,18431,3000,-,92.7,0.0,66945024,3407618048,66945024,3407622144,53569609,119112,7678,34,0,147456,15,74,/input/data/work/c5/05d5ebb81ab6ce15607c7ab1b6e82c,true,-
92,siena12,83/a00024,nf-83a00024935ca22a8df84bb9a22a0ec1-d3393,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767383421203,1767383421000,1767383423000,1797,1000,-,3.9,0.0,3207168,5640192,3207168,5644288,87110,3406,223,47,0,16384,1,1,/input/data/work/83/a00024935ca22a8df84bb9a22a0ec1,true,-
94,siena14,5f/80e82a,nf-5f80e82ad76bb98649bdfbd93eaa38b2-c0604,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767383421613,1767383423000,1767383424000,2387,0,-,23.8,0.0,3284992,5640192,3284992,5644288,87246,3386,223,47,0,16384,1,0,/input/data/work/5f/80e82ad76bb98649bdfbd93eaa38b2,true,-
93,siena15,5a/92749f,nf-5a92749f2946e2dd36c3052fa5e8447c-80876,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767383421471,1767383422000,1767383426000,4529,0,-,6.9,0.0,3301376,5640192,3301376,5644288,87248,3408,220,47,0,16384,1,1,/input/data/work/5a/92749f2946e2dd36c3052fa5e8447c,true,-
