cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,8,siena13,8c/7d7666,nf-8c7d766642a2e00d0730bc5d76ea33b3-dad2b,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1758020889087,1758020891000,1758020894000,4913,0,-,85.6,0.0,2899968,11575296,2899968,11579392,9300209,37200251,492,1169,2523136,37253120,3,1,/input/data/work/8c/7d766642a2e00d0730bc5d76ea33b3,true,-
-,-,10,siena07,c8/9ffb8c,nf-c89ffb8c6a1f0fa163f8635677e9ceb4-dad2b,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1758020889399,1758020890000,1758020892000,2601,0,-,133.3,0.0,0,0,0,0,52300,2605,147,18,0,12288,0,0,/input/data/work/c8/9ffb8c6a1f0fa163f8635677e9ceb4,true,-
-,-,3,siena09,c6/cd99e7,nf-c6cd99e7244d05391d284919252972e2-dad2b,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1758020889481,1758020898000,1758020902000,12519,1000,-,46.9,0.0,2859008,11575296,2859008,11579392,11009428,33652572,507,1059,2523136,33701888,2,1,/input/data/work/c6/cd99e7244d05391d284919252972e2,true,-
-,-,5,siena11,e7/fc5fd1,nf-e7fc5fd1d3b4ec5dd3dfdb0cbc11bfb9-dad2b,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1758020889282,1758020899000,1758020907000,17718,4000,-,61.2,0.0,9818112,42328064,9818112,42336256,113274444,388442029,1078,11876,2523136,388448256,66,311,/input/data/work/e7/fc5fd1d3b4ec5dd3dfdb0cbc11bfb9,true,-
-,-,89,siena13,f1/cfce9a,nf-f1cfce9a887ed4eb42756ed0661ea6df-e8afc,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1758020898895,1758020899000,1758020912000,13105,11000,-,0.2,0.0,3829760,21848064,3829760,21852160,51384,2615,147,59,4194304,180224,11,12,/input/data/work/f1/cfce9a887ed4eb42756ed0661ea6df,true,-
-,-,15,siena14,1a/3f59c5,nf-1a3f59c50b3d6a46b5e0519016883872-dad2b,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1758020889169,1758020893000,1758020916000,26831,17000,-,18.0,0.0,9711616,42328064,9711616,42336256,114384298,435495667,1086,13312,2523136,435499008,46,761,/input/data/work/1a/3f59c50b3d6a46b5e0519016883872,true,-
-,-,90,siena14,e7/c6654f,nf-e7c6654f581cef57aecd820bd1437665-a03cc,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1758020898768,1758020919000,1758020930000,31232,7000,-,38.1,0.1,138620928,3490455552,138620928,3610537984,53569817,119121,7680,35,128135168,147456,2768,645,/input/data/work/e7/c6654f581cef57aecd820bd1437665,true,-
-,-,25,siena11,a7/6e6634,nf-a76e66345decbbfeb8fe0ac7b8389af8-228bd,NFCORE_SAREK:SAREK:FASTP,SRR11452396-3,NFCORE_SAREK:SAREK:FASTP (SRR11452396-3),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1758020889815,1758020900000,1758021366000,476185,394000,-,164.4,1.0,2020401152,2330148864,2020401152,2397261824,5073654888,5218979898,1409,13787,1605632,5219004416,18,45,/input/data/work/a7/6e66345decbbfeb8fe0ac7b8389af8,true,-
-,-,33,siena12,4b/a2388d,nf-4ba2388d9fdc52b406ec063295a56c8c-3bbfe,NFCORE_SAREK:SAREK:FASTP,SRR11452400-5,NFCORE_SAREK:SAREK:FASTP (SRR11452400-5),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1758020890293,1758020891000,1758021340000,449707,345000,-,169.1,1.0,2021163008,2330148864,2021163008,2397261824,4570495243,4700416016,1292,12539,1605632,4700446720,21,26,/input/data/work/4b/a2388d9fdc52b406ec063295a56c8c,true,-
-,-,19,siena15,06/1883d4,nf-061883d4d47dd1be383cdca706e269c7-dad2b,NFCORE_SAREK:SAREK:FASTP,SRR11452394-5,NFCORE_SAREK:SAREK:FASTP (SRR11452394-5),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1758020889200,1758020895000,1758021285000,395800,344000,-,163.9,1.0,1983082496,2263040000,1983082496,2330152960,4363598842,4487768030,1239,11987,4456448,4487794688,35,10,/input/data/work/06/1883d4d47dd1be383cdca706e269c7,true,-
-,-,32,siena09,5f/9dca7a,nf-5f9dca7a4be278cda36edf024615f206-2310f,NFCORE_SAREK:SAREK:FASTQC,SRR11452401-4,NFCORE_SAREK:SAREK:FASTQC (SRR11452401-4),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1610612736,1,1758020890396,1758020898000,1758021393000,502604,492000,-,79.5,0.3,565346304,3893317632,565346304,3960430592,4264343917,3610000,8295630,11195,22700032,5484544,7,3,/input/data/work/5f/9dca7a4be278cda36edf024615f206,true,-
-,-,34,siena13,7a/7702fe,nf-7a7702fe47c31a891d9dcfa96a4fcb72-08c48,NFCORE_SAREK:SAREK:FASTP,SRR11452401-4,NFCORE_SAREK:SAREK:FASTP (SRR11452401-4),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1758020890476,1758020891000,1758021277000,386524,324000,-,167.0,1.0,2016432128,2330148864,2016972800,2330152960,4255300826,4375507284,1216,11735,4628480,4375535616,40,16,/input/data/work/7a/7702fe47c31a891d9dcfa96a4fcb72,true,-
-,-,42,siena14,48/28f7e0,nf-4828f7e01f2eaa9a758d658da8845575-d8690,NFCORE_SAREK:SAREK:FASTP,SRR11452471-6,NFCORE_SAREK:SAREK:FASTP (SRR11452471-6),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1758020890896,1758020893000,1758021409000,518104,398000,-,155.0,1.0,2047561728,2330148864,2048102400,2397261824,4815989699,4963831114,1349,13427,1589248,4963856384,28,20,/input/data/work/48/28f7e01f2eaa9a758d658da8845575,true,-
-,-,48,siena09,85/be751b,nf-85be751b93e08fbddf1cb997575d753d-46fce,NFCORE_SAREK:SAREK:FASTQC,SRR11452475-2,NFCORE_SAREK:SAREK:FASTQC (SRR11452475-2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1610612736,1,1758020891180,1758020897000,1758021448000,556820,540000,-,89.4,0.3,541892608,3893317632,548065280,3958333440,5312434421,3575502,10342685,11105,12087296,5754880,67,1,/input/data/work/85/be751b93e08fbddf1cb997575d753d,true,-
-,-,55,siena07,65/4972b7,nf-654972b792869d005c63652c5df5518a-93196,NFCORE_SAREK:SAREK:FASTP,SRR11452476-1,NFCORE_SAREK:SAREK:FASTP (SRR11452476-1),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1758020891505,1758020892000,1758021304000,412495,354000,-,177.9,1.0,2038632448,2330148864,2038632448,2397261824,4951456776,5101348550,1381,13667,1572864,5101375488,6,25,/input/data/work/65/4972b792869d005c63652c5df5518a,true,-
-,-,51,siena11,76/3b03a0,nf-763b03a0167e5dffe40f4e7a2de68e41-e9e60,NFCORE_SAREK:SAREK:FASTP,SRR11452475-2,NFCORE_SAREK:SAREK:FASTP (SRR11452475-2),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1758020891400,1758020900000,1758021509000,617600,509000,-,138.4,1.0,2010578944,2330148864,2010959872,2397261824,5303409937,5466507858,1465,14699,0,5466537984,15,906,/input/data/work/76/3b03a0167e5dffe40f4e7a2de68e41,true,-
