cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena07,31/7948ad,nf-317948ad9e7fd51e8e5f08b9ee549b92-d7de3,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1758038944171,1758038944000,1758038946000,1829,0,-,137.1,0.0,0,0,0,0,52301,2606,147,18,0,12288,0,0,/input/data/work/31/7948ad9e7fd51e8e5f08b9ee549b92,true,-
-,-,4,siena07,77/3b606e,nf-773b606e3f3c23216d56b1dc36055417-44d56,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1758038944995,1758038945000,1758038948000,3005,1000,-,84.2,0.0,9539584,42192896,9539584,42201088,9300224,37200252,492,1169,2650112,37253120,32,3,/input/data/work/77/3b606e3f3c23216d56b1dc36055417,true,-
-,-,5,siena13,6d/b2532e,nf-6db2532ed63baa4b5010faf4b0428d86-44d56,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1758038944586,1758038956000,1758038958000,13414,0,-,75.7,0.0,2859008,11575296,2859008,11579392,11009429,33652572,507,1059,0,33701888,1,1,/input/data/work/6d/b2532ed63baa4b5010faf4b0428d86,true,-
-,-,6,siena11,d1/d459d7,nf-d1d459d759d5449c415e546130d0c228-44d56,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1758038944869,1758038949000,1758038957000,12131,5000,-,66.5,0.0,9646080,42328064,9646080,42336256,114384299,435495667,1086,13312,0,435499008,58,1191,/input/data/work/d1/d459d759d5449c415e546130d0c228,true,-
-,-,90,siena13,de/349760,nf-de349760a8bee2c8a7f4978ecd14b150-be368,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1758038953264,1758038957000,1758038966000,12736,0,-,20.3,0.0,2871296,11575296,2871296,11579392,51363,2599,147,59,4194304,180224,2,1,/input/data/work/de/349760a8bee2c8a7f4978ecd14b150,true,-
-,-,2,siena12,af/6ddd02,nf-af6ddd0259cededaac3e2d9e20c64d40-44d56,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1758038944905,1758038954000,1758038979000,34095,22000,-,12.5,0.0,10022912,42328064,10022912,42336256,113274454,388442029,1078,11876,2682880,388448256,54,87,/input/data/work/af/6ddd0259cededaac3e2d9e20c64d40,true,-
-,-,89,siena13,17/ae6b49,nf-17ae6b49eab7e86f29a904846ab1d051-94ddd,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1758038953130,1758038970000,1758038978000,24870,3000,-,95.6,0.0,99696640,3458256896,99696640,3458260992,53569808,119121,7680,35,123707392,147456,1554,544,/input/data/work/17/ae6b49eab7e86f29a904846ab1d051,true,-
-,-,40,siena07,52/b52958,nf-52b52958d1db2d7fd69bcae117019433-05d09,NFCORE_SAREK:SAREK:FASTP,SRR11452471-6,NFCORE_SAREK:SAREK:FASTP (SRR11452471-6),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1758038946381,1758038946000,1758039288000,341619,290000,-,209.1,1.0,2045128704,2330148864,2045128704,2330152960,4815989705,4963831115,1349,13427,2703360,4963860480,29,16,/input/data/work/52/b52958d1db2d7fd69bcae117019433,true,-
-,-,112,siena07,3c/d5d015,nf-3cd5d015397a71b9121053b5d604b185-69b64,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,Y_1-59373566,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (Y_1-59373566),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1758039015615,1758039296000,1758039297000,281385,0,-,66.1,0.0,3272704,5640192,3272704,5644288,88404,4303,214,48,0,16384,1,1,/input/data/work/3c/d5d015397a71b9121053b5d604b185,true,-
-,-,118,siena07,69/a0a547,nf-69a0a54771a1aab66c67232d96e28803-03a4c,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,GL000225.1_1-211173,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (GL000225.1_1-211173),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1758039015903,1758039297000,1758039298000,282097,0,-,80.0,0.0,3158016,5640192,3158016,5644288,87355,3254,213,48,0,16384,2,1,/input/data/work/69/a0a54771a1aab66c67232d96e28803,true,-
