cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,15,siena07,e9/b11e3d,nf-e9b11e3dd23010fcbbdd52fca9eeed97-03198,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1757762881873,1757762882000,1757762884000,2127,0,-,68.6,0.0,0,0,0,0,52238,2588,147,18,0,12288,0,0,wow://input/data/work/e9/b11e3dd23010fcbbdd52fca9eeed97,true,-
-,-,14,siena07,52/b9991a,nf-52b9991a9748c477ad63e1f8d5421e07-03198,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1757762882183,1757762882000,1757762885000,2817,1000,-,84.8,0.0,9924608,42328064,9924608,42336256,11009400,33652571,507,1059,0,33701888,5,1,wow://input/data/work/52/b9991a9748c477ad63e1f8d5421e07,true,-
-,-,6,siena07,14/ac519e,nf-14ac519e2764f4cf17d4d089b436732e-03198,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1757762882589,1757762883000,1757762888000,5411,3000,-,90.7,0.0,9760768,42328064,9760768,42336256,114384262,435495666,1086,13312,0,435499008,82,681,wow://input/data/work/14/ac519e2764f4cf17d4d089b436732e,true,-
-,-,3,siena07,31/5ff3c9,nf-315ff3c977f3d3160970abc989ac9363-03198,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1757762882788,1757762883000,1757762888000,5212,3000,-,90.1,0.0,9732096,42328064,9732096,42336256,113274413,388442028,1078,11876,0,388448256,87,1559,wow://input/data/work/31/5ff3c977f3d3160970abc989ac9363,true,-
-,-,1,siena07,f2/59ca2d,nf-f259ca2d664dd4a51bb5c56c65eff8b8-03198,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1757762882903,1757762883000,1757762885000,2097,0,-,75.3,0.0,9715712,42328064,9715712,42336256,9300182,37200250,492,1169,0,37253120,3,15,wow://input/data/work/f2/59ca2d664dd4a51bb5c56c65eff8b8,true,-
-,-,89,siena07,9f/d4236d,nf-9fd4236dd8c3d5e13523a36a50412204-fc542,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1757762889672,1757762893000,1757762895000,5328,0,-,34.8,0.0,2887680,11575296,2887680,11579392,51333,2598,147,59,0,180224,3,8,wow://input/data/work/9f/d4236dd8c3d5e13523a36a50412204,true,-
-,-,90,siena07,28/e601ed,nf-28e601ed425931760035517016cb509b-f387a,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,localdata,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (localdata),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1757762889518,1757762898000,1757762901000,11482,2000,-,114.4,0.1,141381632,3406413824,141381632,3610542080,53569781,119125,7680,35,4096,147456,22,48,wow://input/data/work/28/e601ed425931760035517016cb509b,true,-
-,-,111,siena07,c0/e3368e,nf-c0e3368e954eadedba2f77821c80fc7c-854b7,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,Y_1-59373566,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (Y_1-59373566),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1757762902048,1757762904000,1757762906000,3952,0,-,53.7,0.0,3235840,5640192,3235840,5644288,88363,4301,228,48,0,16384,2,1,wow://input/data/work/c0/e3368e954eadedba2f77821c80fc7c,true,-
-,-,133,siena07,ec/f26867,nf-ecf26867ec1211c21fb13cb2b231d43e-3c560,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE,human_g1k_v37_decoy.fasta,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,1,14400000,-,1610612736,1,1757762904730,1757762909000,1757762975000,70270,65000,-,97.6,0.2,388186112,3653554176,888676352,4154122240,6484009050,129140,8506,124,0,155648,9,3522,wow://input/data/work/ec/f26867ec1211c21fb13cb2b231d43e,true,-
-,-,20,siena07,1a/083aa4,nf-1a083aa4c9bf39bf0fe0ebf25afd159f-03198,NFCORE_SAREK:SAREK:FASTP,SRR11452394-5,NFCORE_SAREK:SAREK:FASTP (SRR11452394-5),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1757762882708,1757762883000,1757763094000,211292,211000,-,260.0,1.0,2047377408,2330148864,2047377408,2397261824,4363598891,4487768032,1241,11987,0,4487794688,11,77,wow://input/data/work/1a/083aa4c9bf39bf0fe0ebf25afd159f,true,-
