cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,8,siena07,e7/7ff7f1,nf-e77ff7f18a22d25ebd0cdf7573a73557-67ed2,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1757973488780,1757973489000,1757973491000,2220,0,-,80.6,0.0,9756672,42328064,9756672,42336256,9300215,37200251,492,1169,286720,37253120,8,11,wow://input/data/work/e7/7ff7f18a22d25ebd0cdf7573a73557,true,-
-,2,siena07,cd/f79523,nf-cdf795235d90958d15f023a794e8e10f-67ed2,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1757973489297,1757973489000,1757973492000,2703,0,-,63.2,0.0,0,0,0,0,52291,2604,147,18,0,12288,0,0,wow://input/data/work/cd/f795235d90958d15f023a794e8e10f,true,-
-,4,siena07,85/fe02e7,nf-85fe02e741c51cf6ca17089f79a754a1-67ed2,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1757973489469,1757973490000,1757973492000,2531,0,-,80.2,0.0,9756672,42328064,9756672,42336256,11009432,33652572,507,1059,0,33701888,4,6,wow://input/data/work/85/fe02e741c51cf6ca17089f79a754a1,true,-
-,6,siena07,84/c0a482,nf-84c0a482cbf7a51a0d8e118af31090b3-67ed2,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1757973489386,1757973490000,1757973495000,5614,3000,-,74.4,0.0,9637888,42328064,9637888,42336256,113274445,388442029,1078,11876,0,388448256,110,273,wow://input/data/work/84/c0a482cbf7a51a0d8e118af31090b3,true,-
-,10,siena07,ec/0e6fc8,nf-ec0e6fc8e90758e62de7f039d9f4c50d-67ed2,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1757973489577,1757973490000,1757973497000,7423,5000,-,64.7,0.0,9867264,42328064,9867264,42336256,114384293,435495667,1086,13312,0,435499008,91,603,wow://input/data/work/ec/0e6fc8e90758e62de7f039d9f4c50d,true,-
-,89,siena07,ad/8b8e41,nf-ad8b8e41c0ae0fa7a62780db4813b220-c777e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1757973496934,1757973498000,1757973500000,3066,0,-,49.0,0.0,0,0,0,0,51366,2599,147,59,0,180224,0,0,wow://input/data/work/ad/8b8e41c0ae0fa7a62780db4813b220,true,-
-,90,siena07,ac/89fb88,nf-ac89fb88ca88239d68b1435902fc7a61-c777e,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,localdata,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (localdata),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1757973497001,1757973501000,1757973505000,7999,3000,-,104.9,0.1,112590848,3442270208,112590848,3610542080,53569816,119126,7680,35,62464000,147456,1594,102,wow://input/data/work/ac/89fb88ca88239d68b1435902fc7a61,true,-
-,91,siena07,87/fa6aeb,nf-87fa6aeb05cbf682e254f90258c02686-be26f,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE,human_g1k_v37_decoy.fasta,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,1,14400000,-,1610612736,1,1757973507427,1757973508000,1757973592000,84573,83000,-,76.8,0.2,393535488,3659341824,887975936,4154118144,6484009083,129141,8506,124,106496,155648,1102,13704,wow://input/data/work/87/fa6aeb05cbf682e254f90258c02686,true,-
-,19,siena07,f3/49725d,nf-f349725d6ec5f283249fa665216ca2e5-67ed2,NFCORE_SAREK:SAREK:FASTP,SRR11452394-5,NFCORE_SAREK:SAREK:FASTP (SRR11452394-5),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1757973489187,1757973489000,1757973702000,212813,212000,-,259.4,1.0,2034421760,2330148864,2034421760,2330152960,4363598924,4487768033,1239,11987,376832,4487794688,8,16,wow://input/data/work/f3/49725d6ec5f283249fa665216ca2e5,true,-
-,112,siena07,9a/8430a3,nf-9a8430a3223b0462ba5869f4561b3d3d-0d4e0,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,Y_1-59373566,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (Y_1-59373566),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1757973509599,1757973705000,1757973709000,199401,2000,-,1.2,0.0,3182592,5640192,3182592,5644288,88395,4301,216,48,1810432,16384,2,2,wow://input/data/work/9a/8430a3223b0462ba5869f4561b3d3d,true,-
